name,Size(in),Ties(in),Pairs(in),Densit(in),AvgDis(in),Diamet(in),nWeakC(in),pWeakC(in),2StepR(in),2StepP(in),ReachE(in),Broker(in),nBroke(in),EgoBet(in),nEgoBe(in),Size(out),Ties(out),Pairs(out),Densit(out),AvgDis(out),Diamet(out),nWeakC(out),pWeakC(out),2StepR(out),2StepP(out),ReachE(out),Broker(out),nBroke(out),EgoBet(out),nEgoBe(out),Size(un),Ties(un),Pairs(un),Densit(un),AvgDis(un),Diamet(un),nWeakC(un),pWeakC(un),2StepR(un),2StepP(un),ReachE(un),Broker(un),nBroke(un),EgoBet(un),nEgoBe(un),Degree_x,EffSize,Efficienc,Constrain,Hierarchy,EgoBetwe,Ln(Constr,Indirects,Density,Degree_y,Closeness,Betweenness,Eigenvector,EffSize(g),Efficie(g),Constra(g),Hierarc(g),Indirec(g),Project,Version,wmc,dit,noc,cbo,rfc,lcom,ca,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max(cc),avg(cc),bugs
org.apache.catalina.startup.WrapperCreateRule,1.0,0.0,0.0,0.0,0.0,1.0,100.0,20.0,0.98,100.0,0.0,0.0,,,,9.0,7.0,72.0,9.72,3.0,33.33,401.0,19.74,55.39,32.5,0.9,0.0,0.0,,,10.0,9.0,90.0,10.0,3.0,30.0,402.0,19.79,54.03,40.5,0.9,5.5,6.11,,,10.0,8.955,0.896,0.416,0.299,5.5,-0.877,0.688,0.1,0.492,4.124,0.044,2.506,8.633,0.863,0.326,0.678,0.072,Tomcat,6.0.389418,3,2,0,6,17,1,1,3,2.0,68,0.0,0,0.84615386,0.6666667,0,0,21.666666,1,0.6666667,0
org.apache.catalina.startup.SetJspConfig,1.0,0.0,0.0,0.0,0.0,1.0,100.0,20.0,0.98,100.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,2.0,100.0,41.0,2.02,51.9,1.0,1.0,0.0,0.0,,,3.0,0.0,6.0,0.0,3.0,100.0,45.0,2.22,45.45,3.0,1.0,2.0,33.33,,,3.0,3.0,1.0,0.5,0.612,2.0,-0.693,0.0,0.0,0.148,3.869,0.0,0.094,3.0,1.0,0.796,0.954,0.0,Tomcat,6.0.389418,2,2,0,2,4,0,1,2,0.0,21,1.0,0,0.9166667,0.6666667,0,0,9.0,1,0.5,0
org.apache.catalina.core.StandardWrapperValve,1.0,0.0,0.0,0.0,0.0,1.0,100.0,59.0,2.9,100.0,0.0,0.0,,,,38.0,117.0,1406.0,8.32,3.0,7.89,636.0,31.31,28.65,644.5,0.92,41.33,2.94,,,38.0,117.0,1406.0,8.32,3.0,7.89,636.0,31.31,28.65,644.5,0.92,41.33,2.94,,,38.0,34.915,0.919,0.152,0.319,41.333,-1.884,0.667,0.083,1.871,4.174,0.382,10.635,37.384,0.984,0.157,0.442,0.329,Tomcat,6.0.389418,15,2,0,15,55,71,1,12,0.8877551,630,1.0,1,0.6060606,0.23214285,0,0,40.533333,1,0.8666667,0
org.apache.catalina.core.StandardEngineValve,1.0,0.0,0.0,0.0,0.0,1.0,100.0,46.0,2.26,100.0,0.0,0.0,,,,22.0,52.0,462.0,11.26,3.0,13.64,361.0,17.77,25.23,205.0,0.89,0.0,0.0,,,23.0,64.0,506.0,12.65,3.0,13.04,370.0,18.22,25.05,221.0,0.87,7.5,1.48,,,23.0,20.08,0.873,0.239,0.276,7.5,-1.431,0.842,0.126,1.132,4.118,0.027,7.905,22.347,0.972,0.155,0.553,0.061,Tomcat,6.0.389418,4,2,0,8,13,4,1,2,1.0,36,1.0,1,0.90909094,0.5555556,0,0,7.5,1,0.5,0
org.apache.catalina.startup.SetAuthConstraintRule,1.0,0.0,0.0,0.0,0.0,1.0,100.0,20.0,0.98,100.0,0.0,0.0,,,,7.0,5.0,42.0,11.9,3.0,42.86,360.0,17.73,66.18,18.5,0.88,0.0,0.0,,,8.0,7.0,56.0,12.5,3.0,37.5,361.0,17.77,64.01,24.5,0.88,3.5,6.25,,,8.0,7.091,0.886,0.462,0.261,3.5,-0.773,0.681,0.125,0.394,4.114,0.03,1.339,6.598,0.825,0.351,0.698,0.066,Tomcat,6.0.389418,2,2,0,5,8,1,1,2,2.0,24,0.0,0,0.9166667,0.6666667,0,0,11.0,1,0.5,0
org.apache.catalina.startup.SetParentClassLoaderRule,1.0,0.0,0.0,0.0,0.0,1.0,100.0,27.0,1.33,100.0,0.0,0.0,,,,7.0,6.0,42.0,14.29,2.0,28.57,394.0,19.4,53.83,18.0,0.86,0.0,0.0,,,8.0,9.0,56.0,16.07,2.0,25.0,404.0,19.89,53.23,23.5,0.84,3.0,5.36,,,8.0,6.987,0.873,0.452,0.216,3.0,-0.795,0.708,0.161,0.394,4.124,0.025,2.605,7.041,0.88,0.308,0.672,0.04,Tomcat,6.0.389418,2,2,0,5,8,0,1,2,0.0,32,0.0,0,0.9166667,0.625,0,0,14.5,1,0.5,0
org.apache.catalina.core.StandardContextValve,1.0,0.0,0.0,0.0,0.0,1.0,100.0,116.0,5.71,100.0,0.0,0.0,,,,38.0,112.0,1406.0,7.97,2.0,5.26,658.0,32.4,28.4,647.0,0.92,23.0,1.64,,,38.0,112.0,1406.0,7.97,2.0,5.26,658.0,32.4,28.4,647.0,0.92,23.0,1.64,,,38.0,35.629,0.938,0.138,0.291,23.0,-1.979,0.724,0.08,1.871,4.177,0.422,11.194,37.115,0.977,0.405,0.658,0.329,Tomcat,6.0.389418,8,2,0,12,35,20,1,3,0.9285714,245,1.0,2,0.7692308,0.3809524,0,0,29.125,1,0.75,2
org.apache.catalina.core.StandardHostValve,1.0,0.0,0.0,0.0,0.0,1.0,100.0,42.0,2.07,100.0,0.0,0.0,,,,37.0,96.0,1332.0,7.21,4.0,10.81,600.0,29.54,27.52,618.0,0.93,0.0,0.0,,,38.0,109.0,1406.0,7.75,3.0,7.89,605.0,29.79,27.23,648.5,0.92,14.58,1.04,,,38.0,34.157,0.899,0.176,0.423,14.583,-1.737,0.65,0.078,1.871,4.178,0.241,11.311,36.936,0.972,0.138,0.522,0.12,Tomcat,6.0.389418,8,2,0,16,65,16,1,2,0.85714287,408,1.0,1,0.7692308,0.42857143,0,0,49.625,10,3.25,0
org.apache.catalina.realm.MemoryUserRule,1.0,0.0,0.0,0.0,0.0,1.0,100.0,7.0,0.34,100.0,0.0,0.0,,,,6.0,6.0,30.0,20.0,2.0,33.33,93.0,4.58,38.59,12.0,0.8,0.0,0.0,,,7.0,9.0,42.0,21.43,2.0,28.57,94.0,4.63,37.9,16.5,0.79,4.0,9.52,,,7.0,5.464,0.781,0.492,0.158,4.0,-0.709,0.721,0.214,0.345,3.992,0.003,0.395,5.71,0.816,0.247,0.303,0.118,Tomcat,6.0.389418,2,2,0,4,7,1,1,2,2.0,39,0.0,0,0.9166667,0.6666667,0,0,18.5,1,0.5,0
org.apache.catalina.session.StandardSessionContext,1.0,0.0,0.0,0.0,0.0,1.0,100.0,61.0,3.0,100.0,0.0,0.0,,,,5.0,4.0,20.0,20.0,2.0,40.0,39.0,1.92,47.56,8.0,0.8,0.0,0.0,,,6.0,9.0,30.0,30.0,1.0,16.67,86.0,4.23,60.14,10.5,0.7,0.0,0.0,,,6.0,3.75,0.625,0.593,0.156,0.0,-0.523,0.761,0.3,0.295,4.043,0.001,0.59,4.827,0.805,0.345,0.356,0.206,Tomcat,6.0.389418,3,1,0,2,6,1,1,2,0.5,20,1.0,0,0.0,0.6666667,0,0,5.3333335,1,0.6666667,0
