name,Size(in),Ties(in),Pairs(in),Densit(in),AvgDis(in),Diamet(in),nWeakC(in),pWeakC(in),2StepR(in),2StepP(in),ReachE(in),Broker(in),nBroke(in),EgoBet(in),nEgoBe(in),Size(out),Ties(out),Pairs(out),Densit(out),AvgDis(out),Diamet(out),nWeakC(out),pWeakC(out),2StepR(out),2StepP(out),ReachE(out),Broker(out),nBroke(out),EgoBet(out),nEgoBe(out),Size(un),Ties(un),Pairs(un),Densit(un),AvgDis(un),Diamet(un),nWeakC(un),pWeakC(un),2StepR(un),2StepP(un),ReachE(un),Broker(un),nBroke(un),EgoBet(un),nEgoBe(un),Degree_x,EffSize,Efficienc,Constrain,Hierarchy,EgoBetwe,Ln(Constr,Indirects,Density,Degree_y,Closeness,Betweenness,Eigenvector,EffSize(g),Efficie(g),Constra(g),Hierarc(g),Indirec(g),Project,Version,wmc,dit,noc,cbo,rfc,lcom,ca,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max(cc),avg(cc),bugs
org.apache.tools.ant.Diagnostics,2.0,0.0,2.0,0.0,2.0,100.0,32.0,2.33,94.12,1.0,1.0,1.0,50.0,,,16.0,21.0,240.0,8.75,3.0,18.75,666.0,48.47,32.47,109.5,0.91,14.0,5.83,,,17.0,23.0,272.0,8.46,3.0,17.65,666.0,48.47,32.39,124.5,0.92,28.0,10.29,,,17.0,15.309,0.901,0.271,0.29,28.0,-1.307,0.587,0.085,1.237,17.863,0.207,2.97,15.717,0.925,0.146,0.306,0.165,ant,1.7,30,1,0,10,104,429,2,5,1.0137931,1038,0.8,0,0.0,0.108333334,0,0,33.266666,9,1.9,3
org.apache.tools.ant.filters.StripLineComments,1.0,0.0,0.0,0.0,0.0,1.0,100.0,41.0,2.98,100.0,0.0,0.0,,,,7.0,3.0,42.0,7.14,4.0,57.14,46.0,3.35,39.66,19.5,0.93,0.0,0.0,,,8.0,4.0,56.0,7.14,4.0,50.0,68.0,4.95,43.31,26.0,0.93,6.0,10.71,,,8.0,7.014,0.877,0.338,0.272,6.0,-1.084,0.395,0.071,0.582,15.501,0.147,0.146,7.276,0.909,0.175,0.168,0.058,ant,1.7,8,5,0,5,26,0,1,5,0.5714286,172,1.0,0,0.8235294,0.375,2,5,20.125,4,1.125,0
org.apache.tools.ant.MagicNames,19.0,34.0,342.0,9.94,1.0,5.26,528.0,38.43,63.85,154.0,0.9,0.0,0.0,,,2.0,0.0,2.0,0.0,2.0,100.0,7.0,0.51,77.78,1.0,1.0,0.0,0.0,,,21.0,38.0,420.0,9.05,1.0,4.76,529.0,38.5,63.28,191.0,0.91,30.0,7.14,,,21.0,17.786,0.847,0.506,0.673,30.0,-0.681,0.798,0.09,1.528,17.39,0.067,2.131,18.862,0.898,0.14,0.435,0.166,ant,1.7,1,1,0,0,2,0,0,0,2.0,26,0.0,0,0.0,1.0,0,0,3.0,0,0.0,2
org.apache.tools.ant.util.JavaEnvUtils,27.0,55.0,702.0,7.83,5.0,18.52,580.0,42.21,51.74,323.5,0.92,0.0,0.0,,,4.0,2.0,12.0,16.67,2.0,50.0,148.0,10.77,48.37,5.0,0.83,0.0,0.0,,,31.0,82.0,930.0,8.82,5.0,16.13,604.0,43.96,42.33,424.0,0.91,73.17,7.87,,,31.0,27.385,0.883,0.304,0.477,73.167,-1.191,0.818,0.088,2.256,17.665,0.188,3.606,28.06,0.905,0.149,0.579,0.184,ant,1.7,16,1,0,29,40,72,27,11,0.9291667,463,0.5625,1,0.0,0.17777778,0,0,26.9375,5,1.9375,0
org.apache.tools.ant.util.TaskLogger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,12.0,33.33,1.0,25.0,489.0,35.59,35.15,4.0,0.67,0.0,0.0,,,4.0,4.0,12.0,33.33,1.0,25.0,489.0,35.59,35.15,4.0,0.67,0.0,0.0,,,4.0,2.732,0.683,0.864,0.119,0.0,-0.146,0.777,0.333,0.291,17.268,0.0,2.122,3.627,0.907,0.265,0.035,0.016,ant,1.7,6,1,0,1,8,0,0,6,0.0,43,1.0,1,0.0,0.6666667,0,0,6.0,1,0.8333333,0
org.apache.tools.ant.taskdefs.optional.native2ascii.KaffeNative2Ascii,1.0,0.0,0.0,0.0,0.0,1.0,100.0,12.0,0.87,100.0,0.0,0.0,,,,12.0,20.0,132.0,15.15,3.0,25.0,613.0,44.61,31.28,56.0,0.85,0.0,0.0,,,13.0,25.0,156.0,16.03,3.0,23.08,614.0,44.69,31.14,65.5,0.84,18.0,11.54,,,13.0,10.523,0.809,0.294,0.159,18.0,-1.224,0.735,0.16,0.946,17.727,0.131,3.007,11.556,0.889,0.119,0.142,0.136,ant,1.7,5,2,0,8,16,8,1,1,0.875,77,0.5,0,0.5714286,0.4375,1,2,14.0,2,0.8,0
org.apache.tools.ant.filters.FixCrLfFilter,5.0,1.0,20.0,5.0,4.0,80.0,35.0,2.55,81.4,9.5,0.95,12.0,60.0,,,23.0,2.0,506.0,0.4,21.0,91.3,579.0,42.14,48.53,252.0,1.0,66.0,13.04,,,25.0,12.0,600.0,2.0,16.0,64.0,592.0,43.09,48.13,294.0,0.98,100.5,16.75,,,25.0,24.359,0.974,0.134,0.402,100.5,-2.01,0.217,0.02,1.82,17.67,2.056,1.675,24.634,0.985,0.114,0.406,0.114,ant,1.7,18,5,0,14,44,77,2,16,0.7132353,331,1.0,3,0.6363636,0.24074075,2,8,16.944445,6,1.4444444,0
org.apache.tools.ant.taskdefs.compilers.CompilerAdapterFactory,1.0,0.0,0.0,0.0,0.0,1.0,100.0,33.0,2.4,100.0,0.0,0.0,,,,27.0,65.0,702.0,9.26,11.0,40.74,681.0,49.56,25.64,318.5,0.91,0.0,0.0,,,28.0,80.0,756.0,10.58,10.0,35.71,687.0,50.0,25.55,338.0,0.89,121.0,16.01,,,28.0,24.599,0.879,0.186,0.305,121.0,-1.683,0.702,0.106,2.038,17.942,1.21,4.479,26.573,0.949,0.07,0.203,0.158,ant,1.7,4,1,0,14,27,4,1,1,0.7777778,221,0.33333334,0,0.0,0.33333334,0,0,53.5,3,1.25,0
org.apache.tools.ant.filters.StripLineBreaks,1.0,0.0,0.0,0.0,0.0,1.0,100.0,41.0,2.98,100.0,0.0,0.0,,,,6.0,3.0,30.0,10.0,3.0,50.0,45.0,3.28,39.13,13.5,0.9,0.0,0.0,,,7.0,4.0,42.0,9.52,3.0,42.86,67.0,4.88,42.95,19.0,0.9,5.0,11.9,,,7.0,5.829,0.833,0.409,0.271,5.0,-0.893,0.466,0.095,0.509,15.497,0.002,0.146,6.258,0.894,0.192,0.135,0.064,ant,1.7,7,5,0,4,17,0,1,5,0.7777778,107,1.0,0,0.8484849,0.47619048,2,5,13.857142,5,1.2857143,0
org.apache.tools.ant.taskdefs.optional.junit.DOMUtil,1.0,0.0,0.0,0.0,0.0,1.0,100.0,22.0,1.6,100.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,2.0,100.0,2.0,0.15,1.0,1.0,0.0,0.0,,,,3.0,0.0,6.0,0.0,3.0,100.0,24.0,1.75,100.0,3.0,1.0,2.0,33.33,,,3.0,3.0,1.0,0.36,0.122,2.0,-1.022,0.0,0.0,0.218,15.304,0.29,0.105,3.0,1.0,0.36,0.122,0.0,ant,1.7,5,1,0,3,41,10,1,4,2.0,241,0.0,0,0.0,0.36,0,0,47.2,7,4.2,0
