name,Size(in),Ties(in),Pairs(in),Densit(in),AvgDis(in),Diamet(in),nWeakC(in),pWeakC(in),2StepR(in),2StepP(in),ReachE(in),Broker(in),nBroke(in),EgoBet(in),nEgoBe(in),Size(out),Ties(out),Pairs(out),Densit(out),AvgDis(out),Diamet(out),nWeakC(out),pWeakC(out),2StepR(out),2StepP(out),ReachE(out),Broker(out),nBroke(out),EgoBet(out),nEgoBe(out),Size(un),Ties(un),Pairs(un),Densit(un),AvgDis(un),Diamet(un),nWeakC(un),pWeakC(un),2StepR(un),2StepP(un),ReachE(un),Broker(un),nBroke(un),EgoBet(un),nEgoBe(un),Degree_x,EffSize,Efficienc,Constrain,Hierarchy,EgoBetwe,Ln(Constr,Indirects,Density,Degree_y,Closeness,Betweenness,Eigenvector,EffSize(g),Efficie(g),Constra(g),Hierarc(g),Indirec(g),Project,Version,wmc,dit,noc,cbo,rfc,lcom,ca,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max(cc),avg(cc),bugs
org.apache.ivy.plugins.parser.ModuleDescriptorParserRegistry,9.0,6.0,72.0,8.33,4.0,44.44,279.0,43.87,51.01,33.0,0.92,0.0,0.0,,,14.0,31.0,182.0,17.03,2.0,14.29,244.0,38.36,35.99,75.5,0.83,0.0,0.0,,,23.0,101.0,506.0,19.96,1.0,4.35,377.0,59.28,30.78,202.5,0.8,54.92,10.85,,,23.0,19.419,0.844,0.214,0.213,54.917,-1.543,0.833,0.2,3.616,18.526,0.169,8.094,20.225,0.879,0.138,0.331,0.35,ivy,2.0,9,2,0,17,28,22,9,7,0.5,127,1.0,1,0.3,0.25,1,1,12.888889,2,1.0,0
org.apache.ivy.util.filter.NoFilter,3.0,0.0,6.0,0.0,3.0,100.0,41.0,6.45,95.35,3.0,1.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,1.0,100.0,29.0,4.56,100.0,0.0,0.0,,,,4.0,3.0,12.0,25.0,1.0,25.0,54.0,8.49,75.0,4.5,0.75,0.0,0.0,,,4.0,2.589,0.647,0.998,0.302,0.0,-0.002,0.774,0.25,0.629,16.081,0.003,0.389,3.172,0.793,0.365,0.135,0.144,ivy,2.0,4,1,0,4,5,6,3,2,1.0,17,0.0,1,0.0,0.6666667,0,0,3.0,1,0.5,0
org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorWriter,5.0,1.0,20.0,5.0,4.0,80.0,139.0,21.86,75.96,9.5,0.95,3.0,15.0,,,44.0,131.0,1892.0,6.92,5.0,11.36,356.0,55.97,21.28,880.5,0.93,7.17,0.38,,,48.0,160.0,2256.0,7.09,4.0,8.33,380.0,59.75,21.23,1048.0,0.93,101.88,4.52,,,48.0,45.521,0.948,0.116,0.392,101.883,-2.158,0.486,0.071,7.547,18.739,1.124,12.222,46.357,0.966,0.073,0.384,0.16,ivy,2.0,16,1,0,27,123,120,5,2,2.0,1851,0.0,0,0.0,0.20454545,0,0,114.6875,20,5.9375,0
org.apache.ivy.Main,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,102.0,2162.0,4.72,7.0,14.89,393.0,61.79,24.79,1030.0,0.95,0.0,0.0,,,47.0,102.0,2162.0,4.72,7.0,14.89,393.0,61.79,24.79,1030.0,0.95,0.0,0.0,,,47.0,46.07,0.98,0.121,0.554,0.0,-2.108,0.229,0.047,7.39,18.778,3.467,9.949,46.612,0.992,0.113,0.61,0.063,ivy,2.0,13,1,0,29,148,78,0,1,0.9722222,1407,0.33333334,0,0.0,0.1923077,0,0,107.0,8,2.3076923,1
org.apache.ivy.plugins.matcher.MatcherHelper,5.0,5.0,20.0,25.0,1.0,20.0,160.0,25.16,58.39,7.5,0.75,0.0,0.0,,,9.0,7.0,72.0,9.72,4.0,44.44,180.0,28.3,34.82,32.5,0.9,0.0,0.0,,,14.0,45.0,182.0,24.73,1.0,7.14,260.0,40.88,32.87,68.5,0.75,9.33,5.13,,,14.0,11.18,0.799,0.249,0.091,9.333,-1.391,0.741,0.247,2.201,17.642,0.087,5.323,12.186,0.87,0.126,0.154,0.163,ivy,2.0,8,1,0,10,21,28,5,7,2.0,130,0.0,0,0.0,0.3125,0,0,15.25,5,2.625,0
org.apache.ivy.util.extendable.ExtendableItemHelper,3.0,0.0,6.0,0.0,3.0,100.0,86.0,13.52,77.48,3.0,1.0,0.0,0.0,,,4.0,0.0,12.0,0.0,4.0,100.0,54.0,8.49,62.07,6.0,1.0,0.0,0.0,,,7.0,4.0,42.0,9.52,4.0,57.14,121.0,19.03,61.11,19.0,0.9,8.0,19.05,,,7.0,5.777,0.825,0.489,0.31,8.0,-0.715,0.563,0.095,1.101,16.507,0.091,1.245,6.141,0.877,0.231,0.385,0.06,ivy,2.0,4,1,0,5,22,6,3,3,2.0,100,0.0,0,0.0,0.41666666,0,0,24.0,3,2.0,0
org.apache.ivy.core.IvyPatternHelper,35.0,66.0,1190.0,5.55,4.0,11.43,382.0,60.06,33.1,562.0,0.94,84.08,7.07,,,16.0,22.0,240.0,9.17,4.0,25.0,204.0,32.08,32.59,109.0,0.91,56.5,23.54,,,49.0,184.0,2352.0,7.82,4.0,8.16,396.0,62.26,24.32,1084.0,0.92,453.5,19.28,,,49.0,44.026,0.898,0.165,0.382,453.5,-1.803,0.796,0.078,7.704,18.711,2.158,11.327,45.11,0.921,0.09,0.422,0.305,ivy,2.0,28,1,0,32,82,374,26,24,1.0123457,926,0.16666667,0,0.0,0.22633745,0,0,31.642857,23,2.6785715,2
org.apache.ivy.plugins.resolver.util.ResolverHelper,2.0,0.0,2.0,0.0,2.0,100.0,56.0,8.81,94.92,1.0,1.0,0.0,0.0,,,13.0,11.0,156.0,7.05,6.0,46.15,266.0,41.82,32.72,72.5,0.93,0.0,0.0,,,15.0,27.0,210.0,12.86,1.0,6.67,286.0,44.97,32.8,91.5,0.87,9.0,4.29,,,15.0,13.745,0.916,0.241,0.347,9.0,-1.424,0.434,0.129,2.358,17.936,0.41,5.089,14.12,0.941,0.15,0.359,0.124,ivy,2.0,7,1,0,10,63,21,2,5,2.0,1034,0.0,0,0.0,0.2857143,0,0,146.71428,10,4.857143,0
org.apache.ivy.plugins.circular.IgnoreCircularDependencyStrategy,2.0,0.0,2.0,0.0,2.0,100.0,146.0,22.96,94.81,1.0,1.0,0.0,0.0,,,9.0,6.0,72.0,8.33,5.0,55.56,216.0,33.96,38.99,33.0,0.92,0.0,0.0,,,11.0,15.0,110.0,13.64,2.0,18.18,288.0,45.28,40.68,47.5,0.86,19.5,17.73,,,11.0,9.582,0.871,0.351,0.211,19.5,-1.047,0.746,0.136,1.73,17.966,0.213,3.929,10.318,0.938,0.134,0.059,0.169,ivy,2.0,4,3,0,7,10,4,2,1,0.6666667,27,1.0,1,0.71428573,0.5,1,1,5.5,1,0.5,0
org.apache.ivy.util.url.URLHandlerRegistry,8.0,6.0,56.0,10.71,3.0,37.5,209.0,32.86,72.07,25.0,0.89,0.0,0.0,,,6.0,4.0,30.0,13.33,2.0,33.33,123.0,19.34,46.95,13.0,0.87,0.0,0.0,,,14.0,39.0,182.0,21.43,2.0,14.29,271.0,42.61,49.09,71.5,0.79,23.0,12.64,,,14.0,11.608,0.829,0.261,0.157,23.0,-1.345,0.673,0.214,2.201,17.875,0.37,2.62,12.925,0.923,0.142,0.223,0.18,ivy,2.0,5,1,0,11,14,4,8,3,0.5,72,1.0,1,0.0,0.25,0,0,13.2,1,0.6,0
org.apache.ivy.plugins.matcher.GlobPatternMatcher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,42.0,11.9,3.0,42.86,50.0,7.86,45.05,18.5,0.88,0.0,0.0,,,7.0,5.0,42.0,11.9,3.0,42.86,50.0,7.86,45.05,18.5,0.88,0.0,0.0,,,7.0,5.955,0.851,0.302,0.083,0.0,-1.197,0.398,0.119,1.101,15.669,0.364,0.464,6.539,0.934,0.191,0.034,0.137,ivy,2.0,3,2,0,3,5,3,0,1,1.0,18,0.0,1,0.8,0.75,1,1,4.6666665,1,0.33333334,0
