name,Size(in),Ties(in),Pairs(in),Densit(in),AvgDis(in),Diamet(in),nWeakC(in),pWeakC(in),2StepR(in),2StepP(in),ReachE(in),Broker(in),nBroke(in),EgoBet(in),nEgoBe(in),Size(out),Ties(out),Pairs(out),Densit(out),AvgDis(out),Diamet(out),nWeakC(out),pWeakC(out),2StepR(out),2StepP(out),ReachE(out),Broker(out),nBroke(out),EgoBet(out),nEgoBe(out),Size(un),Ties(un),Pairs(un),Densit(un),AvgDis(un),Diamet(un),nWeakC(un),pWeakC(un),2StepR(un),2StepP(un),ReachE(un),Broker(un),nBroke(un),EgoBet(un),nEgoBe(un),Degree_x,EffSize,Efficienc,Constrain,Hierarchy,EgoBetwe,Ln(Constr,Indirects,Density,Degree_y,Closeness,Betweenness,Eigenvector,EffSize(g),Efficie(g),Constra(g),Hierarc(g),Indirec(g),Project,Version,wmc,dit,noc,cbo,rfc,lcom,ca,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max(cc),avg(cc),bugs
org.gjt.sp.jedit.io.VFS,17.0,43.0,272.0,15.81,1.0,5.88,149.0,30.35,40.93,114.5,0.84,42.17,15.5,,,11.0,19.0,110.0,17.27,1.0,9.09,192.0,39.1,36.36,45.5,0.83,10.5,9.55,,,25.0,104.0,600.0,17.33,1.0,4.0,210.0,42.77,28.26,248.0,0.83,86.08,14.35,,,25.0,21.14,0.846,0.231,0.324,86.083,-1.464,0.751,0.173,5.092,38.121,0.31,12.151,22.002,0.88,0.157,0.369,0.39,jEdit,3.2.1,22,1,4,23,36,175,20,22,0.99319726,239,0.14285715,0,0.0,0.39204547,0,0,9.545455,4,1.3181819,4
org.gjt.sp.jedit.EditAction,15.0,20.0,210.0,9.52,4.0,26.67,184.0,37.47,56.27,95.0,0.9,0.0,0.0,,,4.0,4.0,12.0,33.33,1.0,25.0,141.0,28.72,43.25,4.0,0.67,0.0,0.0,,,19.0,46.0,342.0,13.45,2.0,10.53,258.0,52.55,39.51,148.0,0.87,72.67,21.25,,,19.0,16.199,0.853,0.287,0.273,72.667,-1.25,0.808,0.135,3.87,40.246,1.016,9.526,17.123,0.901,0.148,0.276,0.307,jEdit,3.2.1,16,1,2,23,25,106,21,15,0.8,128,1.0,0,0.0,0.20535715,0,0,6.875,3,1.1875,0
org.gjt.sp.jedit.EditPlugin,10.0,17.0,90.0,18.89,1.0,10.0,174.0,35.44,64.21,36.5,0.81,19.0,21.11,,,6.0,2.0,30.0,6.67,4.0,66.67,141.0,28.72,60.26,14.0,0.93,8.0,26.67,,,14.0,27.0,182.0,14.84,2.0,14.29,227.0,46.23,49.46,77.5,0.85,51.5,28.3,,,14.0,11.152,0.797,0.388,0.383,51.5,-0.947,0.75,0.148,2.851,39.124,0.808,6.069,12.501,0.893,0.183,0.282,0.278,jEdit,3.2.1,10,1,2,11,13,39,10,8,0.7777778,33,1.0,1,0.0,0.25,0,0,2.2,1,0.9,1
org.gjt.sp.jedit.textarea.Selection,9.0,17.0,72.0,23.61,1.0,11.11,121.0,24.64,54.5,27.5,0.76,0.0,0.0,,,2.0,0.0,2.0,0.0,2.0,100.0,89.0,18.13,60.54,1.0,1.0,0.0,0.0,,,11.0,33.0,110.0,30.0,1.0,9.09,154.0,31.36,41.73,38.5,0.7,2.5,2.27,,,11.0,5.666,0.515,0.708,0.68,2.5,-0.345,0.703,0.3,2.24,34.003,0.018,5.901,6.364,0.579,0.57,0.776,0.388,jEdit,3.2.1,10,1,2,15,17,23,14,7,0.7777778,80,0.0,0,0.0,0.4,0,0,6.6,1,0.7,1
org.gjt.sp.jedit.EBPlugin,1.0,0.0,0.0,0.0,0.0,1.0,100.0,11.0,2.24,100.0,0.0,0.0,,,,4.0,3.0,12.0,25.0,2.0,50.0,37.0,7.54,53.62,4.5,0.75,0.0,0.0,,,5.0,5.0,20.0,25.0,2.0,40.0,40.0,8.15,50.0,7.5,0.75,6.0,30.0,,,5.0,3.875,0.775,0.715,0.088,6.0,-0.335,0.819,0.25,1.018,29.866,0.008,1.181,4.156,0.831,0.294,0.105,0.164,jEdit,3.2.1,2,2,0,4,3,1,1,1,2.0,6,0.0,0,0.9,0.75,0,0,2.0,1,0.5,0
org.gjt.sp.jedit.gui.InputHandler,6.0,14.0,30.0,46.67,1.0,16.67,163.0,33.2,59.71,8.0,0.53,4.92,16.39,,,19.0,80.0,342.0,23.39,1.0,5.26,271.0,55.19,26.34,131.0,0.77,11.79,3.45,,,21.0,105.0,420.0,25.0,1.0,4.76,275.0,56.01,25.56,157.5,0.75,19.61,4.67,,,21.0,17.526,0.835,0.265,0.268,19.611,-1.329,0.843,0.25,4.277,41.054,0.171,15.473,17.931,0.854,0.153,0.265,0.399,jEdit,3.2.1,16,2,1,13,47,48,8,14,0.7809524,443,1.0,2,0.16666667,0.24107143,0,0,26.25,14,2.625,6
org.gjt.sp.jedit.EBMessage,18.0,44.0,306.0,14.38,1.0,5.56,172.0,35.03,44.79,131.0,0.86,2.83,0.93,,,2.0,0.0,2.0,0.0,2.0,100.0,19.0,3.87,52.78,1.0,1.0,1.0,50.0,,,19.0,55.0,342.0,16.08,1.0,5.26,172.0,35.03,42.79,143.5,0.84,6.67,1.95,,,19.0,16.612,0.874,0.212,0.14,6.667,-1.551,0.788,0.161,3.87,35.426,0.257,6.43,17.308,0.911,0.128,0.121,0.416,jEdit,3.2.1,6,1,3,29,14,7,29,6,0.6,49,1.0,1,0.0,0.5833333,0,0,6.8333335,1,0.8333333,0
org.gjt.sp.util.WorkRequest,3.0,0.0,6.0,0.0,3.0,100.0,32.0,6.52,65.31,3.0,1.0,0.0,0.0,,,2.0,0.0,2.0,0.0,2.0,100.0,11.0,2.24,73.33,1.0,1.0,0.0,0.0,,,5.0,0.0,20.0,0.0,5.0,100.0,41.0,8.35,64.06,10.0,1.0,6.0,30.0,,,5.0,5.0,1.0,0.236,0.196,6.0,-1.444,0.0,0.0,1.018,29.794,0.033,1.145,5.0,1.0,0.236,0.196,0.0,jEdit,3.2.1,6,1,3,4,12,15,3,6,2.0,49,0.0,0,0.0,0.41666666,0,0,7.1666665,2,1.5,0
org.gjt.sp.jedit.gui.EnhancedDialog,19.0,0.0,342.0,0.0,19.0,100.0,141.0,28.72,62.95,171.0,1.0,54.0,15.79,,,6.0,0.0,30.0,0.0,6.0,100.0,6.0,1.22,15.0,1.0,15.0,50.0,,,,22.0,0.0,462.0,0.0,22.0,100.0,144.0,29.33,63.44,231.0,1.0,111.0,24.03,,,22.0,22.0,1.0,0.049,0.058,111.0,-3.009,0.0,0.0,4.481,35.375,2.731,4.762,22.0,1.0,0.049,0.058,0.0,jEdit,3.2.1,3,6,16,19,13,3,19,3,1.0,59,1.0,1,0.9969372,0.5,0,0,18.333334,1,0.6666667,0
org.gjt.sp.jedit.AbstractOptionPane,15.0,1.0,210.0,0.48,14.0,93.33,70.0,14.26,55.12,104.5,1.0,0.0,0.0,,,3.0,0.0,6.0,0.0,3.0,100.0,137.0,27.9,54.37,3.0,1.0,0.0,0.0,,,18.0,27.0,306.0,8.82,4.0,22.22,169.0,34.42,44.59,139.5,0.91,19.0,6.21,,,18.0,16.484,0.916,0.397,0.444,19.0,-0.925,0.775,0.088,3.666,37.253,0.46,5.271,16.826,0.935,0.293,0.379,0.618,jEdit,3.2.1,10,5,15,17,27,29,15,5,0.8055556,258,1.0,0,0.98640484,0.5,0,0,24.4,2,1.1,1
