name,Size(in),Ties(in),Pairs(in),Densit(in),AvgDis(in),Diamet(in),nWeakC(in),pWeakC(in),2StepR(in),2StepP(in),ReachE(in),Broker(in),nBroke(in),EgoBet(in),nEgoBe(in),Size(out),Ties(out),Pairs(out),Densit(out),AvgDis(out),Diamet(out),nWeakC(out),pWeakC(out),2StepR(out),2StepP(out),ReachE(out),Broker(out),nBroke(out),EgoBet(out),nEgoBe(out),Size(un),Ties(un),Pairs(un),Densit(un),AvgDis(un),Diamet(un),nWeakC(un),pWeakC(un),2StepR(un),2StepP(un),ReachE(un),Broker(un),nBroke(un),EgoBet(un),nEgoBe(un),Degree_x,EffSize,Efficienc,Constrain,Hierarchy,EgoBetwe,Ln(Constr,Indirects,Density,Degree_y,Closeness,Betweenness,Eigenvector,EffSize(g),Efficie(g),Constra(g),Hierarc(g),Indirec(g),Project,Version,wmc,dit,noc,cbo,rfc,lcom,ca,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max(cc),avg(cc),bugs
org.apache.log4j.spi.Filter,6.0,2.0,30.0,6.67,4.0,66.67,56.0,29.32,65.12,14.0,0.93,0.0,0.0,,,3.0,0.0,6.0,0.0,3.0,100.0,56.0,29.32,53.85,3.0,1.0,0.0,0.0,,,9.0,14.0,72.0,19.44,1.0,11.11,86.0,45.03,45.26,29.0,0.81,5.0,6.94,,,9.0,7.385,0.821,0.352,0.197,5.0,-1.043,0.593,0.194,4.712,10.535,0.195,8.703,8.259,0.918,0.258,0.311,0.265,log4j,1.0,5,1,3,8,6,10,6,5,1.25,13,0.0,1,0.0,0.46666667,0,0,0.8,1,0.8,1
org.apache.log4j.helpers.FileWatchdog,3.0,2.0,6.0,33.33,2.0,66.67,54.0,28.27,78.26,2.0,0.67,0.0,0.0,,,2.0,0.0,2.0,0.0,2.0,100.0,30.0,15.71,51.72,1.0,1.0,0.0,0.0,,,5.0,6.0,20.0,30.0,1.0,20.0,74.0,38.74,58.27,7.0,0.7,1.0,5.0,,,5.0,3.61,0.722,0.812,0.215,1.0,-0.209,0.842,0.3,2.618,10.431,0.124,5.827,3.61,0.722,0.497,0.254,0.409,log4j,1.0,5,2,2,5,17,2,4,2,0.625,95,0.33333334,0,0.93846154,0.46666667,1,1,16.8,3,1.4,2
org.apache.log4j.Layout,26.0,33.0,650.0,5.08,3.0,11.54,114.0,59.69,37.87,308.5,0.95,0.0,0.0,,,3.0,0.0,6.0,0.0,3.0,100.0,56.0,29.32,53.85,3.0,1.0,0.0,0.0,,,29.0,66.0,812.0,8.13,2.0,6.9,128.0,67.02,31.6,373.0,0.92,40.35,4.97,,,29.0,26.544,0.915,0.188,0.259,40.35,-1.671,0.846,0.081,15.183,10.958,4.26,20.278,26.936,0.929,0.111,0.234,0.452,log4j,1.0,10,1,5,34,13,45,32,9,1.0,28,0.0,0,0.0,0.4074074,0,0,1.6,1,0.8,0
org.apache.log4j.helpers.DateLayout,1.0,0.0,0.0,0.0,0.0,1.0,100.0,8.0,4.19,100.0,0.0,0.0,,,,9.0,4.0,72.0,5.56,5.0,55.56,69.0,36.13,48.94,34.0,0.94,0.0,0.0,,,10.0,7.0,90.0,7.78,5.0,50.0,70.0,36.65,46.98,41.5,0.92,6.0,6.67,,,10.0,8.453,0.845,0.326,0.271,6.0,-1.122,0.523,0.078,5.236,10.426,2.453,5.468,9.053,0.905,0.212,0.22,0.269,log4j,1.0,8,2,1,7,24,12,1,8,0.93650794,179,0.5555556,0,0.53333336,0.33333334,0,0,20.25,7,2.25,0
org.apache.log4j.AppenderSkeleton,12.0,2.0,132.0,1.52,10.0,83.33,64.0,33.51,48.48,65.0,0.98,0.0,0.0,,,14.0,18.0,182.0,9.89,3.0,21.43,107.0,56.02,35.79,82.0,0.9,0.0,0.0,,,26.0,75.0,650.0,11.54,2.0,7.69,119.0,62.3,27.61,287.5,0.88,97.0,14.92,,,26.0,22.704,0.873,0.152,0.164,97.0,-1.881,0.686,0.115,13.613,10.865,2.671,20.682,23.814,0.916,0.108,0.199,0.381,log4j,1.0,19,1,9,20,31,131,11,18,0.9097222,181,0.875,5,0.0,0.21052632,0,0,8.105263,4,1.4210526,0
org.apache.log4j.helpers.PatternConverter,8.0,7.0,56.0,12.5,3.0,37.5,39.0,20.42,50.0,24.5,0.88,0.0,0.0,,,4.0,0.0,12.0,0.0,4.0,100.0,57.0,29.84,49.14,6.0,1.0,0.0,0.0,,,12.0,33.0,132.0,25.0,1.0,8.33,76.0,39.79,39.18,49.5,0.75,3.4,2.58,,,12.0,9.032,0.753,0.405,0.321,3.4,-0.904,0.819,0.25,6.283,10.489,0.215,6.942,9.299,0.775,0.289,0.347,0.51,log4j,1.0,6,1,5,9,10,7,7,2,0.72,174,0.0,1,0.0,0.44,0,0,27.166666,6,1.8333334,0
org.apache.log4j.net.DefaultEvaluator,1.0,0.0,0.0,0.0,0.0,1.0,100.0,14.0,7.33,100.0,0.0,0.0,,,,5.0,3.0,20.0,15.0,2.0,40.0,76.0,39.79,53.52,8.5,0.85,0.0,0.0,,,6.0,7.0,30.0,23.33,1.0,16.67,82.0,42.93,52.56,11.5,0.77,0.5,1.67,,,6.0,4.333,0.722,0.597,0.148,0.5,-0.517,0.759,0.233,3.141,10.489,0.382,6.086,5.346,0.891,0.277,0.086,0.234,log4j,1.0,2,1,0,4,4,1,1,1,2.0,10,0.0,0,0.0,0.75,0,0,4.0,1,0.5,0
org.apache.log4j.xml.XMLWatchdog,1.0,0.0,0.0,0.0,0.0,1.0,100.0,31.0,16.23,100.0,0.0,0.0,,,,3.0,1.0,6.0,16.67,2.0,66.67,33.0,17.28,70.21,2.5,0.83,1.0,16.67,,,3.0,1.0,6.0,16.67,2.0,66.67,33.0,17.28,70.21,2.5,0.83,1.0,16.67,,,3.0,2.547,0.849,0.621,0.238,1.0,-0.477,0.263,0.167,1.571,10.005,0.008,2.294,2.648,0.883,0.464,0.295,0.08,log4j,1.0,2,3,0,4,6,1,1,1,2.0,14,0.0,0,0.9848485,0.75,1,1,6.0,1,0.5,0
org.apache.log4j.Dispatcher,1.0,0.0,0.0,0.0,0.0,1.0,100.0,15.0,7.85,100.0,0.0,0.0,,,,6.0,4.0,30.0,13.33,3.0,50.0,57.0,29.84,49.14,13.0,0.87,0.0,0.0,,,7.0,10.0,42.0,23.81,1.0,14.29,60.0,31.41,45.8,16.0,0.76,0.0,0.0,,,7.0,4.885,0.698,0.577,0.285,0.0,-0.549,0.744,0.238,3.665,10.313,0.186,5.406,5.749,0.821,0.296,0.156,0.319,log4j,1.0,2,2,0,4,11,0,1,1,0.0,67,0.0,2,0.983871,0.6666667,0,0,31.5,5,2.5,0
org.apache.log4j.DefaultCategoryFactory,2.0,1.0,2.0,50.0,1.0,50.0,46.0,24.08,82.14,0.5,0.5,0.0,0.0,,,4.0,2.0,12.0,16.67,2.0,50.0,76.0,39.79,50.67,5.0,0.83,0.0,0.0,,,6.0,12.0,30.0,40.0,1.0,16.67,85.0,44.5,41.26,9.0,0.6,0.0,0.0,,,6.0,3.903,0.65,0.865,0.318,0.0,-0.145,0.93,0.4,3.141,10.46,0.045,8.601,4.129,0.688,0.354,0.158,0.333,log4j,1.0,2,1,0,4,4,1,2,1,2.0,10,0.0,0,0.0,0.75,0,0,4.0,1,0.5,0
org.apache.log4j.xml.DC,1.0,0.0,0.0,0.0,0.0,1.0,100.0,3.0,1.57,100.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,2.0,100.0,75.0,39.27,55.15,1.0,1.0,0.0,0.0,,,3.0,0.0,6.0,0.0,3.0,100.0,76.0,39.79,54.68,3.0,1.0,2.0,33.33,,,3.0,3.0,1.0,0.44,0.454,2.0,-0.821,0.0,0.0,1.571,10.369,0.059,5.365,3.0,1.0,0.44,0.454,0.0,log4j,1.0,13,1,0,1,35,0,0,11,0.083333336,236,0.0,1,0.0,0.29761904,0,0,17.0,1,0.84615386,0
org.apache.log4j.test.A,1.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,0.52,0.0,0.0,,,,,2.0,0.0,2.0,0.0,2.0,100.0,3.0,1.57,100.0,1.0,1.0,0.0,0.0,,,3.0,0.0,6.0,0.0,3.0,100.0,4.0,2.09,100.0,3.0,1.0,2.0,33.33,,,3.0,3.0,1.0,0.333,0.0,2.0,-1.099,0.0,0.0,1.571,0.532,0.028,-0.0,3.0,1.0,0.333,0.0,0.0,log4j,1.0,1,1,1,2,2,0,1,0,2.0,4,0.0,0,0.0,1.0,0,0,3.0,0,0.0,0
org.apache.log4j.test.UTObjectRenderer,1.0,0.0,0.0,0.0,0.0,1.0,100.0,3.0,1.57,100.0,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,1.0,100.0,8.0,4.19,100.0,0.0,0.0,,,,2.0,1.0,2.0,50.0,1.0,50.0,8.0,4.19,72.73,0.5,0.5,0.0,0.0,,,2.0,1.021,0.511,1.093,0.561,0.0,0.089,0.312,0.5,1.047,9.276,0.0,0.213,1.027,0.513,0.985,0.815,0.145,log4j,1.0,3,1,0,1,7,0,0,2,0.0,23,0.0,0,0.0,0.5555556,0,0,6.3333335,1,0.6666667,0
org.apache.log4j.net.SyslogTracerPrintWriter,1.0,0.0,0.0,0.0,0.0,1.0,100.0,11.0,5.76,100.0,0.0,0.0,,,,4.0,2.0,12.0,16.67,2.0,50.0,12.0,6.28,50.0,5.0,0.83,0.0,0.0,,,5.0,2.0,20.0,10.0,3.0,60.0,19.0,9.95,54.29,9.0,0.9,4.0,20.0,,,5.0,4.176,0.835,0.463,0.155,4.0,-0.77,0.43,0.1,2.618,9.78,0.027,1.282,4.281,0.856,0.29,0.039,0.185,log4j,1.0,4,4,0,3,11,4,1,2,0.6666667,32,0.0,0,0.96825397,0.5,2,2,6.75,1,0.5,0
org.apache.log4j.varia.HUP,1.0,0.0,0.0,0.0,0.0,1.0,100.0,9.0,4.71,100.0,0.0,0.0,,,,5.0,6.0,20.0,30.0,1.0,20.0,34.0,17.8,44.16,7.0,0.7,2.0,10.0,,,5.0,6.0,20.0,30.0,1.0,20.0,34.0,17.8,44.16,7.0,0.7,2.0,10.0,,,5.0,3.091,0.618,0.722,0.282,2.0,-0.326,0.661,0.3,2.618,10.149,0.163,3.252,3.86,0.772,0.468,0.265,0.356,log4j,1.0,2,2,0,3,16,0,1,1,0.0,51,0.0,1,0.983871,0.6666667,0,0,23.5,2,1.0,0
org.apache.log4j.ProvisionNode,1.0,0.0,0.0,0.0,0.0,1.0,100.0,21.0,10.99,100.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,2.0,100.0,75.0,39.27,55.15,1.0,1.0,0.0,0.0,,,3.0,3.0,6.0,50.0,1.0,33.33,81.0,42.41,51.59,1.5,0.5,0.0,0.0,,,3.0,1.21,0.403,1.419,0.252,0.0,0.35,0.921,0.5,1.571,10.42,0.0,6.247,1.288,0.429,0.87,0.409,0.429,log4j,1.0,1,4,0,2,3,0,1,0,2.0,7,0.0,0,1.0,1.0,0,0,6.0,0,0.0,0
org.apache.log4j.varia.HUPNode,1.0,0.0,0.0,0.0,0.0,1.0,100.0,5.0,2.62,100.0,0.0,0.0,,,,6.0,4.0,30.0,13.33,2.0,33.33,38.0,19.9,46.91,13.0,0.87,0.0,0.0,,,7.0,9.0,42.0,21.43,1.0,14.29,38.0,19.9,44.19,16.5,0.79,1.0,2.38,,,7.0,5.412,0.773,0.476,0.247,1.0,-0.743,0.596,0.214,3.665,10.219,0.549,3.796,5.981,0.854,0.327,0.188,0.368,log4j,1.0,2,1,0,4,15,0,1,2,0.25,77,0.0,1,0.0,0.6666667,0,0,35.5,2,1.0,0
org.apache.log4j.StressCategory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,42.0,14.29,2.0,28.57,95.0,49.74,45.02,18.0,0.86,0.0,0.0,,,7.0,6.0,42.0,14.29,2.0,28.57,95.0,49.74,45.02,18.0,0.86,0.0,0.0,,,7.0,6.645,0.949,0.297,0.214,0.0,-1.215,0.253,0.143,3.665,10.582,1.224,8.863,6.702,0.957,0.252,0.311,0.072,log4j,1.0,13,1,0,4,40,8,0,2,0.6979167,516,0.0,4,0.0,0.15,0,0,38.076923,7,2.7692308,0
org.apache.log4j.test.B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,3.0,1.57,100.0,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,1.0,100.0,3.0,1.57,100.0,0.0,0.0,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.524,0.532,0.0,-0.0,1.0,1.0,1.0,1.0,0.0,log4j,1.0,1,2,0,1,2,0,0,0,2.0,4,0.0,0,0.0,1.0,0,0,3.0,0,0.0,0
org.apache.log4j.or.DefaultRenderer,1.0,0.0,0.0,0.0,0.0,1.0,100.0,5.0,2.62,100.0,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,1.0,100.0,8.0,4.19,100.0,0.0,0.0,,,,2.0,1.0,2.0,50.0,1.0,50.0,8.0,4.19,61.54,0.5,0.5,0.0,0.0,,,2.0,1.0,0.5,1.73,0.005,0.0,0.548,0.859,0.5,1.047,9.276,0.0,0.363,1.316,0.658,0.812,0.206,0.227,log4j,1.0,2,1,0,2,4,1,1,1,2.0,8,0.0,0,0.0,0.75,0,0,3.0,1,0.5,0
