name,Size(in),Ties(in),Pairs(in),Densit(in),AvgDis(in),Diamet(in),nWeakC(in),pWeakC(in),2StepR(in),2StepP(in),ReachE(in),Broker(in),nBroke(in),EgoBet(in),nEgoBe(in),Size(out),Ties(out),Pairs(out),Densit(out),AvgDis(out),Diamet(out),nWeakC(out),pWeakC(out),2StepR(out),2StepP(out),ReachE(out),Broker(out),nBroke(out),EgoBet(out),nEgoBe(out),Size(un),Ties(un),Pairs(un),Densit(un),AvgDis(un),Diamet(un),nWeakC(un),pWeakC(un),2StepR(un),2StepP(un),ReachE(un),Broker(un),nBroke(un),EgoBet(un),nEgoBe(un),Degree_x,EffSize,Efficienc,Constrain,Hierarchy,EgoBetwe,Ln(Constr,Indirects,Density,Degree_y,Closeness,Betweenness,Eigenvector,EffSize(g),Efficie(g),Constra(g),Hierarc(g),Indirec(g),Project,Version,wmc,dit,noc,cbo,rfc,lcom,ca,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max(cc),avg(cc),bugs
org.apache.lucene.index.SegmentTermEnum,2.0,1.0,2.0,50.0,1.0,50.0,23.0,4.7,79.31,0.5,0.5,0.0,0.0,,,9.0,9.0,72.0,12.5,2.0,22.22,112.0,22.9,48.48,31.5,0.88,0.0,0.0,,,11.0,20.0,110.0,18.18,1.0,9.09,116.0,23.72,44.62,45.0,0.82,7.0,6.36,,,11.0,9.003,0.818,0.356,0.374,7.0,-1.034,0.499,0.182,2.249,32.15,0.056,3.346,9.749,0.886,0.298,0.44,0.3,lucene,2.2,13,2,0,10,38,0,3,4,0.76666665,367,0.53333336,6,0.29411766,0.21153846,1,2,26.076923,1,0.9230769,3
org.apache.lucene.index.IndexFileNames,7.0,10.0,42.0,23.81,1.0,14.29,70.0,14.31,51.47,16.0,0.76,6.5,15.48,,,1.0,0.0,0.0,0.0,0.0,1.0,100.0,12.0,2.45,100.0,0.0,0.0,,,,7.0,10.0,42.0,23.81,1.0,14.29,70.0,14.31,51.47,16.0,0.76,6.5,15.48,,,7.0,5.331,0.762,0.482,0.206,6.5,-0.73,0.646,0.238,1.431,29.142,0.049,1.823,5.677,0.811,0.304,0.272,0.267,lucene,2.2,3,1,0,5,8,3,5,0,1.3333334,205,0.0,0,0.0,0.5,0,0,63.333332,3,1.0,3
org.apache.lucene.index.TermInfosReader,2.0,2.0,2.0,100.0,1.0,1.0,1.0,50.0,48.0,9.82,78.69,0.0,0.0,0.0,0.0,9.0,6.0,72.0,8.33,3.0,33.33,113.0,23.11,52.56,33.0,0.92,0.0,0.0,,,11.0,20.0,110.0,18.18,1.0,9.09,128.0,26.18,46.38,45.0,0.82,2.5,2.27,,,11.0,8.891,0.808,0.484,0.567,2.5,-0.725,0.531,0.182,2.249,32.622,0.097,3.412,9.553,0.868,0.373,0.682,0.213,lucene,2.2,17,1,0,9,35,72,2,4,0.65,474,1.0,6,0.0,0.3137255,0,0,26.294117,4,1.117647,4
org.apache.lucene.index.TermBuffer,1.0,0.0,0.0,0.0,0.0,1.0,100.0,11.0,2.25,100.0,0.0,0.0,,,,3.0,1.0,6.0,16.67,2.0,66.67,103.0,21.06,85.83,2.5,0.83,0.0,0.0,,,4.0,4.0,12.0,33.33,1.0,25.0,106.0,21.68,80.92,4.0,0.67,0.0,0.0,,,4.0,2.671,0.668,0.8,0.336,0.0,-0.224,0.552,0.333,0.818,31.692,0.016,1.562,3.519,0.88,0.439,0.393,0.121,lucene,2.2,11,1,0,4,25,0,1,6,0.52,241,1.0,1,0.0,0.24285714,0,0,20.454546,3,1.4545455,0
org.apache.lucene.search.PhrasePositions,5.0,3.0,20.0,15.0,2.0,40.0,18.0,3.68,40.91,8.5,0.85,0.0,0.0,,,4.0,2.0,12.0,16.67,2.0,50.0,43.0,8.79,40.95,5.0,0.83,0.0,0.0,,,9.0,11.0,72.0,15.28,2.0,22.22,54.0,11.04,36.24,30.5,0.85,11.0,15.28,,,9.0,7.917,0.88,0.382,0.469,11.0,-0.962,0.328,0.153,1.84,28.68,0.477,2.465,8.266,0.918,0.31,0.479,0.188,lucene,2.2,5,1,0,6,12,0,5,0,0.6785714,95,0.0,2,0.0,0.53333336,0,0,16.6,1,0.8,0
org.apache.lucene.index.FieldInfos,12.0,19.0,132.0,14.39,1.0,8.33,96.0,19.63,41.38,56.5,0.86,0.0,0.0,,,9.0,4.0,72.0,5.56,5.0,55.56,75.0,15.34,40.54,34.0,0.94,0.0,0.0,,,21.0,72.0,420.0,17.14,1.0,4.76,129.0,26.38,30.94,174.0,0.83,45.67,10.87,,,21.0,17.586,0.837,0.242,0.237,45.667,-1.418,0.86,0.171,4.294,32.513,0.368,4.452,18.324,0.873,0.176,0.275,0.532,lucene,2.2,20,1,0,18,51,164,12,16,0.94078946,482,0.25,0,0.0,0.2611111,0,0,22.7,8,1.5,2
org.apache.lucene.index.FieldsReader,2.0,0.0,2.0,0.0,2.0,100.0,57.0,11.66,98.28,1.0,1.0,1.0,50.0,,,29.0,42.0,812.0,5.17,7.0,24.14,95.0,19.43,26.61,385.0,0.95,19.0,2.34,,,30.0,54.0,870.0,6.21,3.0,10.0,111.0,22.7,27.75,408.0,0.94,33.17,3.81,,,30.0,28.238,0.941,0.126,0.224,33.167,-2.068,0.534,0.062,6.135,32.024,3.105,4.246,28.67,0.956,0.092,0.226,0.307,lucene,2.2,18,1,0,17,61,69,2,0,0.8067227,745,1.0,4,0.0,0.23737374,0,0,40.0,5,1.3333334,11
org.apache.lucene.index.SegmentInfos,11.0,22.0,110.0,20.0,1.0,9.09,160.0,32.72,55.17,44.0,0.8,8.17,7.42,,,9.0,13.0,72.0,18.06,2.0,22.22,69.0,14.11,39.2,29.5,0.82,8.0,11.11,,,18.0,64.0,306.0,20.92,1.0,5.56,188.0,38.45,42.53,121.0,0.79,29.77,9.73,,,18.0,14.313,0.795,0.283,0.279,29.767,-1.263,0.789,0.209,3.681,35.409,0.412,5.73,14.608,0.812,0.195,0.322,0.449,lucene,2.2,30,4,0,16,75,349,10,23,0.9367816,515,0.6666667,0,0.7383177,0.15517241,1,3,15.766666,6,1.2666667,8
org.apache.lucene.search.PhraseQueue,1.0,0.0,0.0,0.0,0.0,1.0,100.0,14.0,2.86,100.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,2.0,100.0,29.0,5.93,90.63,1.0,1.0,0.0,0.0,,,3.0,2.0,6.0,33.33,1.0,33.33,36.0,7.36,78.26,2.0,0.67,0.0,0.0,,,3.0,1.933,0.644,1.287,0.332,0.0,0.253,0.712,0.333,0.613,26.707,0.009,0.578,2.092,0.697,0.747,0.533,0.239,lucene,2.2,2,2,0,5,4,1,3,0,2.0,51,0.0,0,0.9166667,0.6666667,1,3,24.5,6,3.0,0
org.apache.lucene.index.TermInfosWriter,3.0,0.0,6.0,0.0,3.0,100.0,55.0,11.25,75.34,3.0,1.0,0.0,0.0,,,8.0,4.0,56.0,7.14,5.0,62.5,111.0,22.7,53.37,26.0,0.93,0.0,0.0,,,11.0,22.0,110.0,20.0,2.0,18.18,133.0,27.2,47.33,44.0,0.8,4.5,4.09,,,11.0,8.731,0.794,0.348,0.173,4.5,-1.056,0.707,0.2,2.249,33.539,0.328,3.349,10.04,0.913,0.194,0.227,0.241,lucene,2.2,6,1,0,9,29,0,2,0,0.45,395,0.6666667,5,0.0,0.47916666,0,0,62.833332,1,0.6666667,3
org.apache.lucene.index.Posting,1.0,0.0,0.0,0.0,0.0,1.0,100.0,28.0,5.73,100.0,0.0,0.0,,,,3.0,0.0,6.0,0.0,3.0,100.0,77.0,15.75,97.47,3.0,1.0,0.0,0.0,,,4.0,3.0,12.0,25.0,1.0,25.0,96.0,19.63,89.72,4.5,0.75,0.0,0.0,,,4.0,1.382,0.345,1.03,0.733,0.0,0.03,0.471,0.25,0.818,31.528,0.102,1.318,1.727,0.432,0.855,0.894,0.169,lucene,2.2,1,1,0,4,2,0,1,0,2.0,54,0.0,3,0.0,1.0,0,0,48.0,0,0.0,3
org.apache.lucene.index.DocumentWriter,1.0,0.0,0.0,0.0,0.0,1.0,100.0,33.0,6.75,100.0,0.0,0.0,,,,28.0,53.0,756.0,7.01,2.0,7.14,192.0,39.26,35.1,351.5,0.93,14.5,1.92,,,28.0,53.0,756.0,7.01,2.0,7.14,192.0,39.26,35.1,351.5,0.93,14.5,1.92,,,28.0,26.284,0.939,0.136,0.241,14.5,-1.997,0.574,0.07,5.726,36.712,7.253,6.243,26.521,0.947,0.098,0.291,0.303,lucene,2.2,11,1,0,20,102,1,1,0,0.73333335,1192,1.0,5,0.0,0.22727273,0,0,106.0,10,2.3636363,0
org.apache.lucene.index.SegmentInfo,8.0,19.0,56.0,33.93,1.0,12.5,157.0,32.11,61.81,18.5,0.66,2.75,4.91,,,6.0,7.0,30.0,23.33,1.0,16.67,60.0,12.27,44.12,11.5,0.77,5.0,16.67,,,12.0,39.0,132.0,29.55,1.0,8.33,180.0,36.81,49.32,46.5,0.7,10.2,7.73,,,12.0,9.006,0.751,0.328,0.171,10.2,-1.114,0.758,0.295,2.454,34.929,0.207,4.52,9.726,0.81,0.21,0.221,0.359,lucene,2.2,18,1,0,12,44,0,8,4,0.67873305,981,0.46153846,1,0.0,0.24305555,0,0,52.77778,4,1.3333334,3
org.apache.lucene.search.ExactPhraseScorer,2.0,0.0,2.0,0.0,2.0,100.0,27.0,5.52,61.36,1.0,1.0,0.0,0.0,,,10.0,10.0,90.0,11.11,2.0,20.0,101.0,20.65,39.45,40.0,0.89,0.0,0.0,,,12.0,22.0,132.0,16.67,2.0,16.67,106.0,21.68,35.33,55.0,0.83,8.0,6.06,,,12.0,9.042,0.753,0.44,0.471,8.0,-0.82,0.585,0.167,2.454,31.487,0.281,5.998,10.846,0.904,0.276,0.465,0.224,lucene,2.2,2,3,0,8,9,1,2,0,2.0,64,0.0,0,0.95238096,0.5833333,1,1,31.0,1,0.5,0
org.apache.lucene.search.HitQueue,4.0,2.0,12.0,16.67,2.0,50.0,34.0,6.95,44.16,5.0,0.83,0.0,0.0,,,2.0,0.0,2.0,0.0,2.0,100.0,36.0,7.36,83.72,1.0,1.0,0.0,0.0,,,6.0,10.0,30.0,33.33,1.0,16.67,60.0,12.27,50.0,10.0,0.67,0.0,0.0,,,6.0,3.522,0.587,0.705,0.245,0.0,-0.349,0.836,0.333,1.227,28.299,0.011,1.584,3.683,0.614,0.406,0.393,0.297,lucene,2.2,2,2,0,6,4,1,4,0,2.0,39,0.0,0,0.9166667,0.6666667,1,3,18.5,4,2.0,0
org.apache.lucene.index.FieldsWriter,3.0,0.0,6.0,0.0,3.0,100.0,68.0,13.91,73.91,3.0,1.0,0.0,0.0,,,10.0,10.0,90.0,11.11,3.0,30.0,66.0,13.5,37.29,40.0,0.89,0.0,0.0,,,13.0,31.0,156.0,19.87,1.0,7.69,106.0,21.68,39.41,62.5,0.8,6.33,4.06,,,13.0,10.095,0.777,0.364,0.194,6.333,-1.01,0.827,0.199,2.658,31.836,0.32,2.797,11.407,0.877,0.262,0.247,0.489,lucene,2.2,4,1,0,8,39,0,2,0,0.8888889,235,0.5,3,0.0,0.375,0,0,56.25,2,1.0,7
org.apache.lucene.search.TermScorer,1.0,0.0,0.0,0.0,0.0,1.0,100.0,21.0,4.29,100.0,0.0,0.0,,,,13.0,12.0,156.0,7.69,3.0,23.08,143.0,29.24,30.95,72.0,0.92,0.0,0.0,,,14.0,25.0,182.0,13.74,1.0,7.14,144.0,29.45,29.81,78.5,0.86,0.83,0.46,,,14.0,13.271,0.948,0.189,0.177,0.833,-1.668,0.432,0.137,2.863,33.018,0.287,8.812,13.546,0.968,0.108,0.182,0.076,lucene,2.2,9,2,0,10,31,0,1,7,0.54545456,409,1.0,2,0.5,0.2857143,1,3,43.22222,2,1.0,0
org.apache.lucene.search.SloppyPhraseScorer,2.0,0.0,2.0,0.0,2.0,100.0,27.0,5.52,61.36,1.0,1.0,0.0,0.0,,,12.0,16.0,132.0,12.12,2.0,16.67,112.0,22.9,33.33,58.0,0.88,0.0,0.0,,,14.0,32.0,182.0,17.58,2.0,14.29,117.0,23.93,30.79,75.0,0.82,8.0,4.4,,,14.0,10.957,0.783,0.485,0.621,8.0,-0.724,0.494,0.176,2.863,31.877,0.375,7.191,12.717,0.908,0.383,0.674,0.248,lucene,2.2,4,3,0,9,19,0,3,0,0.5555556,326,1.0,1,0.8695652,0.34375,1,1,79.75,4,1.5,1
