name,Size(in),Ties(in),Pairs(in),Densit(in),AvgDis(in),Diamet(in),nWeakC(in),pWeakC(in),2StepR(in),2StepP(in),ReachE(in),Broker(in),nBroke(in),EgoBet(in),nEgoBe(in),Size(out),Ties(out),Pairs(out),Densit(out),AvgDis(out),Diamet(out),nWeakC(out),pWeakC(out),2StepR(out),2StepP(out),ReachE(out),Broker(out),nBroke(out),EgoBet(out),nEgoBe(out),Size(un),Ties(un),Pairs(un),Densit(un),AvgDis(un),Diamet(un),nWeakC(un),pWeakC(un),2StepR(un),2StepP(un),ReachE(un),Broker(un),nBroke(un),EgoBet(un),nEgoBe(un),Degree_x,EffSize,Efficienc,Constrain,Hierarchy,EgoBetwe,Ln(Constr,Indirects,Density,Degree_y,Closeness,Betweenness,Eigenvector,EffSize(g),Efficie(g),Constra(g),Hierarc(g),Indirec(g),Project,Version,wmc,dit,noc,cbo,rfc,lcom,ca,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max(cc),avg(cc),bugs
net.sourceforge.pbeans.AbstractStoreInfo,3,0,6,0,3,100,9,24.32,90,3,1,0,0,,,8,12,56,21.43,1,12.5,30,81.08,46.15,22,0.79,0,0,,,11,17,110,15.45,1,9.09,30,81.08,40,46.5,0.85,18.5,16.82,,,11,10.032,0.912,0.493,0.515,18.5,-0.707,0.569,0.155,29.73,52.857,8.56,38.966,10.046,0.913,0.395,0.54,0.387,pBeans,1,7,1,3,9,39,13,3,6,0.75,446,1,0,0,0.4047619,0,0,62.42857,27,5.142857,4
net.sourceforge.pbeans.data.AbstractDatabase,5,3,20,15,2,40,14,37.84,63.64,8.5,0.85,0,0,,,11,6,110,5.45,6,54.55,22,59.46,53.66,52,0.95,0,0,,,16,17,240,7.08,4,25,23,62.16,36.51,111.5,0.93,44.7,18.63,,,16,14.566,0.91,0.189,0.273,44.7,-1.664,0.385,0.071,43.243,50.685,32.197,27.983,14.736,0.921,0.183,0.297,0.327,pBeans,1,27,1,3,13,122,283,7,11,0.88076925,1394,1,1,0,0.19088319,0,0,50.25926,2,1.037037,4
net.sourceforge.pbeans.data.ConnectionPool,2,1,2,50,1,50,16,43.24,80,0.5,0.5,0,0,,,2,0,2,0,2,100,5,13.51,71.43,1,1,1,50,,,3,2,6,33.33,1,33.33,16,43.24,69.57,2,0.67,1,16.67,,,3,1.898,0.633,0.746,0.013,1,-0.293,0.49,0.333,8.108,34.579,0.05,5.137,2.325,0.775,0.611,0.023,0.346,pBeans,1,8,1,0,2,24,0,2,4,0.64285713,235,1,0,0,0.375,0,0,27.625,1,0.875,1
net.sourceforge.pbeans.PersistentMapEntry_StoreInfo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,50,1,50,11,29.73,73.33,0.5,0.5,0,0,,,2,1,2,50,1,50,11,29.73,73.33,0.5,0.5,0,0,,,2,1.042,0.521,1.211,0.134,0,0.192,0.519,0.5,5.405,35.238,0,7.611,1.658,0.829,0.806,0.172,0.23,pBeans,1,2,2,0,2,4,1,0,2,2,25,0,0,0.9444444,1,0,0,11.5,1,0.5,1
net.sourceforge.pbeans.DefaultStoreInfo,1,0,0,0,0,1,100,23,62.16,100,0,0,,,,1,0,0,0,0,1,100,11,29.73,100,0,0,,,,2,1,2,50,1,50,25,67.57,73.53,0.5,0.5,1,50,,,2,1,0.5,1.389,0,1,0.329,0.667,0.5,5.405,41.111,0,14.05,1.903,0.951,0.542,0.002,0.041,pBeans,1,1,2,0,2,2,0,1,1,2,5,0,0,1,1,0,0,4,0,0,2
net.sourceforge.pbeans.PersistentMapEntry,1,0,0,0,0,1,100,6,16.22,100,0,0,,,,3,1,6,16.67,2,66.67,11,29.73,64.71,2.5,0.83,1,16.67,,,3,1,6,16.67,2,66.67,11,29.73,64.71,2.5,0.83,1,16.67,,,3,2.224,0.741,0.838,0.418,1,-0.177,0.369,0.167,8.108,32.456,0.1,9.334,2.783,0.928,0.572,0.519,0.104,pBeans,1,7,1,0,2,8,15,1,6,0.8333333,34,1,2,0,0.35714287,0,0,3.4285715,1,0.85714287,2
net.sourceforge.pbeans.ObjectClass,2,2,2,100,1,1,1,50,24,64.86,75,0,0,0,0,1,0,0,0,0,1,100,8,21.62,100,0,0,,,,3,4,6,66.67,1,33.33,25,67.57,62.5,1,0.33,0,0,,,3,1.612,0.538,1.434,0.212,0,0.361,0.927,0.667,8.108,41.573,0,17.626,1.872,0.624,0.941,0.262,0.522,pBeans,1,6,1,0,3,7,3,2,6,0.6,34,1,0,0,0.5555556,0,0,4.3333335,1,0.6666667,0
net.sourceforge.pbeans.PersistentMap_StoreInfo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,30,30,1,16.67,26,70.27,45.61,10.5,0.7,0,0,,,6,9,30,30,1,16.67,26,70.27,45.61,10.5,0.7,0,0,,,6,4.579,0.763,0.697,0.16,0,-0.361,0.909,0.3,16.216,43.529,0.573,26.363,5.056,0.843,0.416,0.137,0.486,pBeans,1,2,2,0,4,4,1,0,2,2,11,0,0,0.9444444,0.75,0,0,4.5,1,0.5,1
net.sourceforge.pbeans.data.GenericDatabase,1,0,0,0,0,1,100,9,24.32,100,0,0,,,,2,1,2,50,1,50,19,51.35,79.17,0.5,0.5,0,0,,,3,2,6,33.33,1,33.33,21,56.76,63.64,2,0.67,0.5,8.33,,,3,1.604,0.535,1.354,0.271,0.5,0.303,0.838,0.333,8.108,42.045,0.025,11.305,1.604,0.535,0.662,0.31,0.279,pBeans,1,2,2,0,3,7,1,1,1,2,33,0,0,0.9811321,0.6,1,1,15.5,1,0.5,1
net.sourceforge.pbeans.PersistentMap,3,1,6,16.67,2,66.67,25,67.57,78.13,2.5,0.83,3,50,,,5,3,20,15,2,40,25,67.57,53.19,8.5,0.85,5,25,,,6,6,30,20,1,16.67,25,67.57,47.17,12,0.8,6.5,21.67,,,6,4.767,0.795,0.59,0.3,6.5,-0.527,0.6,0.2,16.216,43.023,1.753,24.891,4.768,0.795,0.44,0.333,0.366,pBeans,1,7,1,0,5,24,9,3,7,0,202,1,1,0,0.42857143,0,0,27.714285,1,0.85714287,2
