name,Size(in),Ties(in),Pairs(in),Densit(in),AvgDis(in),Diamet(in),nWeakC(in),pWeakC(in),2StepR(in),2StepP(in),ReachE(in),Broker(in),nBroke(in),EgoBet(in),nEgoBe(in),Size(out),Ties(out),Pairs(out),Densit(out),AvgDis(out),Diamet(out),nWeakC(out),pWeakC(out),2StepR(out),2StepP(out),ReachE(out),Broker(out),nBroke(out),EgoBet(out),nEgoBe(out),Size(un),Ties(un),Pairs(un),Densit(un),AvgDis(un),Diamet(un),nWeakC(un),pWeakC(un),2StepR(un),2StepP(un),ReachE(un),Broker(un),nBroke(un),EgoBet(un),nEgoBe(un),Degree_x,EffSize,Efficienc,Constrain,Hierarchy,EgoBetwe,Ln(Constr,Indirects,Density,Degree_y,Closeness,Betweenness,Eigenvector,EffSize(g),Efficie(g),Constra(g),Hierarc(g),Indirec(g),Project,Version,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max(cc),avg(cc),bugs
net.sourceforge.pbeans.GlobalPersistentID,8,15,56,26.79,1,12.5,54,67.5,46.15,20.5,0.73,0,0,,,1,0,0,0,0,1,100,7,8.75,100,0,0,,,,9,21,72,29.17,1,11.11,54,67.5,43.55,25.5,0.71,1,1.39,,,9,5.172,0.575,0.721,0.527,1,-0.327,0.851,0.292,11.25,43.011,0.494,26.08,5.924,0.658,0.449,0.621,0.375,pBeans,2,8,1,0,9,24,0,8,1,8,0.14285715,110,1,1,0,0.325,1,1,12.5,4,1.25,1
net.sourceforge.pbeans.SimpleOperator,1,0,0,0,0,1,100,3,3.75,100,0,0,,,,2,0,2,0,2,100,4,5,66.67,1,1,1,50,,,2,0,2,0,2,100,4,5,66.67,1,1,1,50,,,2,2,1,0.867,0.948,1,-0.142,0,0,2.5,28.986,0.011,1.573,2,1,0.867,0.948,0,pBeans,2,5,1,0,1,10,0,1,1,5,0,46,1,0,0,0.53333336,0,0,8,3,1.2,0
net.sourceforge.pbeans.annotations.PersistentClass,1,0,0,0,0,1,100,14,17.5,100,0,0,,,,1,0,0,0,0,1,100,2,2.5,100,0,0,,,,2,1,2,50,1,50,14,17.5,87.5,0.5,0.5,0,0,,,2,1.028,0.514,1.211,0.278,0,0.191,0.476,0.5,2.5,32.258,0,3.383,1.083,0.542,0.994,0.827,0.144,pBeans,2,6,1,0,2,6,15,1,1,6,2,6,0,0,0,1,0,0,0,1,1,0
net.sourceforge.pbeans.servlet.ServletMapper,1,0,0,0,0,1,100,9,11.25,100,0,0,,,,1,0,0,0,0,1,100,1,1.25,0,0,,,,,2,0,2,0,2,100,10,12.5,100,1,1,1,50,,,2,2,1,0.702,0.726,1,-0.353,0,0,2.5,30.418,2.5,1.234,2,1,0.702,0.726,0,pBeans,2,6,1,0,2,33,15,1,1,4,2,236,0,0,0,0.30952382,0,0,38.333332,1,0.8333333,0
net.sourceforge.pbeans.servlet.RequestHelper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,72,5.56,5,55.56,53,66.25,74.65,34,0.94,0,0,,,9,4,72,5.56,5,55.56,53,66.25,74.65,34,0.94,0,0,,,9,8.148,0.905,0.293,0.274,0,-1.226,0.356,0.056,11.25,43.011,12.348,12.469,8.342,0.927,0.242,0.383,0.145,pBeans,2,7,1,0,7,32,9,0,7,7,0.6111111,244,1,0,0,0.46938777,0,0,33.42857,1,0.71428573,0
net.sourceforge.pbeans.DefaultStoreInfo,1,0,0,0,0,1,100,46,57.5,100,0,0,,,,14,17,182,9.34,3,21.43,57,71.25,41.01,82.5,0.91,6.5,3.57,,,14,17,182,9.34,3,21.43,57,71.25,41.01,82.5,0.91,6.5,3.57,,,14,12.159,0.869,0.443,0.566,6.5,-0.815,0.622,0.093,17.5,47.059,7.249,31.142,12.365,0.883,0.263,0.468,0.343,pBeans,2,21,1,0,11,123,156,1,11,16,0.93214285,2106,1,2,0,0.21111111,0,0,98.61905,35,2.6666667,0
net.sourceforge.pbeans.data.ConnectionPool,2,1,2,50,1,50,23,28.75,88.46,0.5,0.5,0,0,,,2,0,2,0,2,100,4,5,66.67,1,1,1,50,,,3,2,6,33.33,1,33.33,23,28.75,79.31,2,0.67,1,16.67,,,3,1.841,0.614,0.984,0.066,1,-0.016,0.687,0.333,3.75,29.412,0.011,2.989,2.255,0.752,0.852,0.099,0.555,pBeans,2,10,1,0,2,30,11,2,1,4,0.73015875,209,1,0,0,0.3611111,0,0,19.2,1,0.8,2
net.sourceforge.pbeans.servlet.InitServlet,1,0,0,0,0,1,100,9,11.25,100,0,0,,,,3,0,6,0,3,100,48,60,81.36,3,1,0,0,,,4,2,12,16.67,2,50,52,65,76.47,5,0.83,1,8.33,,,4,3,0.75,0.618,0.14,1,-0.482,0.476,0.167,5,41.667,1.338,10.545,3.618,0.905,0.337,0.202,0.072,pBeans,2,3,3,0,3,13,3,1,2,2,2,79,0,0,0.9230769,0.5555556,1,1,25.333334,1,0.6666667,0
net.sourceforge.pbeans.data.DefaultDatabaseFactory,1,0,0,0,0,1,100,46,57.5,100,0,0,,,,6,4,30,13.33,3,50,27,33.75,52.94,13,0.87,0,0,,,7,8,42,19.05,2,28.57,60,75,61.86,17,0.81,2,4.76,,,7,4.979,0.711,0.667,0.433,2,-0.405,0.659,0.19,8.75,45.977,2.03,15.209,5.179,0.74,0.5,0.627,0.295,pBeans,2,4,1,0,4,28,0,1,3,4,0.44444445,193,1,0,0,0.5,0,0,46.5,1,0.75,0
net.sourceforge.pbeans.Store,11,9,110,8.18,4,36.36,40,50,40.4,50.5,0.92,62,56.36,,,41,63,1640,3.84,6,14.63,64,80,27.95,788.5,0.96,229,13.96,,,46,81,2070,3.91,4,8.7,71,88.75,26.79,994.5,0.96,426.5,20.6,,,46,44.343,0.964,0.09,0.341,426.5,-2.41,0.386,0.039,57.5,65.041,68.058,69.282,44.457,0.966,0.083,0.344,0.332,pBeans,2,91,1,0,35,266,3549,12,30,45,0.8706349,3752,1,2,0,0.11898148,0,0,40.076923,8,1.1648352,3
net.sourceforge.pbeans.data.postgresql.DatabaseImpl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,30,16.67,2,33.33,29,36.25,49.15,12.5,0.83,0,0,,,6,5,30,16.67,2,33.33,29,36.25,49.15,12.5,0.83,0,0,,,6,4.853,0.809,0.761,0.381,0,-0.273,0.741,0.167,7.5,36.697,2.565,9.263,4.853,0.809,0.441,0.254,0.41,pBeans,2,20,2,0,4,67,182,0,4,4,0.92105263,479,1,0,0.74285716,0.23245615,2,7,22.85,3,1.3,0
net.sourceforge.pbeans.data.mysql.DatabaseImpl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12,33.33,1,25,28,35,51.85,4,0.67,0,0,,,4,4,12,33.33,1,25,28,35,51.85,4,0.67,0,0,,,4,2.809,0.702,0.988,0.245,0,-0.013,0.776,0.333,5,36.199,0.033,8.102,2.909,0.727,0.524,0.152,0.344,pBeans,2,15,2,0,2,37,105,0,2,5,2,301,0,0,0.7878788,0.26666668,1,5,19.066668,2,1,0
net.sourceforge.pbeans.Criteria,1,0,0,0,0,1,100,46,57.5,100,0,0,,,,5,3,20,15,3,60,7,8.75,43.75,8.5,0.85,0,0,,,6,8,30,26.67,1,16.67,47,58.75,75.81,11,0.73,0,0,,,6,4.879,0.813,0.402,0.16,0,-0.912,0.433,0.267,7.5,40.816,0.164,11.029,5.301,0.883,0.325,0.17,0.285,pBeans,2,20,3,0,4,28,70,1,3,20,0.5,257,1,2,0.7941176,0.47,1,1,11.65,2,0.8,1
net.sourceforge.pbeans.SimpleLogicalOperator,3,3,6,50,1,33.33,46,57.5,83.64,1.5,0.5,0,0,,,2,0,2,0,2,100,4,5,66.67,1,1,1,50,,,4,5,12,41.67,1,25,46,57.5,79.31,3.5,0.58,1,8.33,,,4,2.405,0.601,1.041,0.226,1,0.04,0.859,0.417,5,40.201,0.011,9.597,2.787,0.697,0.779,0.224,0.601,pBeans,2,4,1,0,3,5,0,3,1,4,0,20,1,0,0,0.75,0,0,3.75,1,0.75,0
net.sourceforge.pbeans.data.sqlserver.DatabaseImpl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12,33.33,1,25,28,35,51.85,4,0.67,0,0,,,4,4,12,33.33,1,25,28,35,51.85,4,0.67,0,0,,,4,2.933,0.733,0.851,0.168,0,-0.161,0.739,0.333,5,36.199,0.033,8.102,2.941,0.735,0.436,0.064,0.293,pBeans,2,10,2,0,2,33,45,0,2,3,2,230,0,0,0.852459,0.26363635,1,4,22,3,1.2,0
net.sourceforge.pbeans.DuplicateEntryException,2,1,2,50,1,50,51,63.75,92.73,0.5,0.5,0,0,,,1,0,0,0,0,1,100,11,13.75,100,0,0,,,,3,2,6,33.33,1,33.33,51,63.75,77.27,2,0.67,0.5,8.33,,,3,1.565,0.522,1.57,0.313,0.5,0.451,0.915,0.333,3.75,41.237,0.095,10.876,1.877,0.626,0.742,0.454,0.279,pBeans,2,3,4,0,3,6,3,2,1,3,2,18,0,0,1,0.7777778,0,0,5,0,0,0
net.sourceforge.pbeans.data.hsqldb.DatabaseImpl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,30,16.67,2,33.33,29,36.25,49.15,12.5,0.83,0,0,,,6,5,30,16.67,2,33.33,29,36.25,49.15,12.5,0.83,0,0,,,6,4.874,0.812,0.854,0.414,0,-0.158,0.795,0.167,7.5,36.697,2.565,9.263,4.935,0.822,0.463,0.252,0.433,pBeans,2,12,2,0,4,45,64,0,4,4,0.90909094,352,1,0,0.82539684,0.2962963,2,2,28.25,6,1.5,0
net.sourceforge.pbeans.MultiValueContainer,1,0,0,0,0,1,100,46,57.5,100,0,0,,,,1,0,0,0,0,1,100,2,2.5,100,0,0,,,,2,1,2,50,1,50,46,57.5,95.83,0.5,0.5,0,0,,,2,1.05,0.525,1.197,0.195,0,0.18,0.493,0.5,2.5,39.801,0,7.527,1.195,0.597,0.944,0.741,0.153,pBeans,2,4,1,0,2,9,0,1,1,4,0,28,1,0,0,0.625,0,0,5.75,1,0.75,0
net.sourceforge.pbeans.servlet.ServletAccess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,12,8.33,3,75,48,60,68.57,5.5,0.92,0,0,,,4,1,12,8.33,3,75,48,60,68.57,5.5,0.92,0,0,,,4,3.333,0.833,0.861,0.324,0,-0.15,0.595,0.083,5,40.609,1.267,12.188,3.333,0.833,0.526,0.256,0.294,pBeans,2,6,1,0,3,32,13,0,3,4,1.1142857,324,1,0,0,0.4,0,0,51.833332,1,0.6666667,0
net.sourceforge.pbeans.data.GenericDatabase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12,33.33,1,25,28,35,51.85,4,0.67,0,0,,,4,4,12,33.33,1,25,28,35,51.85,4,0.67,0,0,,,4,2.892,0.723,0.921,0.196,0,-0.083,0.785,0.333,5,36.199,0.033,8.102,2.933,0.733,0.446,0.063,0.306,pBeans,2,6,2,0,2,27,13,0,2,3,0.8,190,1,0,0.9122807,0.4047619,2,2,30.5,4,1.3333334,0
net.sourceforge.pbeans.data.FieldDescriptor,11,14,110,12.73,1,9.09,66,82.5,47.48,48,0.87,5,4.55,,,2,0,2,0,2,100,24,30,77.42,1,1,1,50,,,12,19,132,14.39,1,8.33,66,82.5,44.9,56.5,0.86,11,8.33,,,12,9.987,0.832,0.308,0.435,11,-1.178,0.442,0.144,15,49.08,7.632,25.425,10.125,0.844,0.249,0.529,0.172,pBeans,2,14,1,0,11,16,63,11,1,13,0.43589744,144,1,0,0,0.36734694,0,0,8.857142,3,0.64285713,0
net.sourceforge.pbeans.PersistentMapEntry,1,0,0,0,0,1,100,9,11.25,100,0,0,,,,8,9,56,16.07,2,25,52,65,56.52,23.5,0.84,2.5,4.46,,,8,9,56,16.07,2,25,52,65,56.52,23.5,0.84,2.5,4.46,,,8,6.716,0.839,0.544,0.349,2.5,-0.608,0.694,0.161,10,42.328,3.225,17.878,6.937,0.867,0.361,0.33,0.404,pBeans,2,9,1,0,4,13,20,1,4,8,0.7916667,65,1,2,0,0.2777778,0,0,5.888889,2,1,0
net.sourceforge.pbeans.PersistentMap,2,1,2,50,1,50,49,61.25,90.74,0.5,0.5,1,50,,,9,7,72,9.72,4,44.44,52,65,57.14,32.5,0.9,9,12.5,,,9,7,72,9.72,4,44.44,52,65,57.14,32.5,0.9,9,12.5,,,9,7.866,0.874,0.422,0.336,9,-0.863,0.535,0.097,11.25,42.553,7.972,17.417,7.951,0.883,0.273,0.351,0.24,pBeans,2,14,1,0,4,41,33,2,4,11,0.5769231,345,1,1,0,0.42857143,0,0,23.5,2,1,1
net.sourceforge.pbeans.data.DatabaseFactory,2,1,2,50,1,50,48,60,90.57,0.5,0.5,0,0,,,2,0,2,0,2,100,11,13.75,78.57,1,1,0,0,,,4,5,12,41.67,1,25,48,60,71.64,3.5,0.58,0,0,,,4,1.982,0.495,1.203,0.297,0,0.185,0.97,0.417,5,41.885,0.008,11.552,2.237,0.559,0.841,0.567,0.467,pBeans,2,1,1,0,3,1,0,2,1,1,2,1,0,0,0,1,0,0,0,1,1,0
net.sourceforge.pbeans.StoreInfo,6,10,30,33.33,1,16.67,50,62.5,50,10,0.67,0,0,,,6,4,30,13.33,2,33.33,54,67.5,56.84,13,0.87,1,3.33,,,11,30,110,27.27,1,9.09,57,71.25,38.26,40,0.73,4.7,4.27,,,11,5.045,0.459,0.873,0.719,4.7,-0.136,0.79,0.273,13.75,46.243,1.036,32.01,5.691,0.517,0.704,0.855,0.376,pBeans,2,15,1,0,9,15,105,6,4,15,2,15,0,0,0,0.3,0,0,0,1,1,0
net.sourceforge.pbeans.LogicalOperator,3,3,6,50,1,33.33,46,57.5,82.14,1.5,0.5,0,0,,,1,0,0,0,0,1,100,4,5,100,0,0,,,,3,3,6,50,1,33.33,46,57.5,82.14,1.5,0.5,0,0,,,3,1.853,0.618,0.933,0.266,0,-0.069,0.543,0.5,3.75,40,0,8.811,2.473,0.824,0.625,0.385,0.22,pBeans,2,2,1,0,3,3,1,3,1,1,1,15,0,2,0,1,0,0,5.5,1,0.5,1
