name,Size(in),Ties(in),Pairs(in),Densit(in),AvgDis(in),Diamet(in),nWeakC(in),pWeakC(in),2StepR(in),2StepP(in),ReachE(in),Broker(in),nBroke(in),EgoBet(in),nEgoBe(in),Size(out),Ties(out),Pairs(out),Densit(out),AvgDis(out),Diamet(out),nWeakC(out),pWeakC(out),2StepR(out),2StepP(out),ReachE(out),Broker(out),nBroke(out),EgoBet(out),nEgoBe(out),Size(un),Ties(un),Pairs(un),Densit(un),AvgDis(un),Diamet(un),nWeakC(un),pWeakC(un),2StepR(un),2StepP(un),ReachE(un),Broker(un),nBroke(un),EgoBet(un),nEgoBe(un),Degree_x,EffSize,Efficienc,Constrain,Hierarchy,EgoBetwe,Ln(Constr,Indirects,Density,Degree_y,Closeness,Betweenness,Eigenvector,EffSize(g),Efficie(g),Constra(g),Hierarc(g),Indirec(g),Project,Version,wmc,dit,noc,cbo,rfc,lcom,ca,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max(cc),avg(cc),bugs
org.apache.poi.hssf.record.formula.Ptg,21.0,26.0,420.0,6.19,6.0,28.57,78.0,22.61,49.37,197.0,0.94,253.58,60.38,,,26.0,0.0,650.0,0.0,26.0,100.0,32.0,9.28,43.24,325.0,1.0,325.0,50.0,,,34.0,38.0,1122.0,3.39,12.0,35.29,84.0,24.35,45.9,542.0,0.97,511.58,45.6,,,34.0,31.854,0.937,0.12,0.409,511.583,-2.121,0.43,0.034,9.855,1.379,7.681,2.664,31.961,0.94,0.106,0.421,0.345,poi,1.5,8,1,15,21,29,28,21,8,2.0,166,0.0,0,0.0,0.45833334,0,0,19.75,15,2.625,11
org.apache.poi.poifs.filesystem.EntryNode,3.0,5.0,6.0,83.33,1.17,2.0,1.0,33.33,43.0,12.46,60.56,0.5,0.17,0.0,0.0,7.0,9.0,42.0,21.43,2.0,28.57,39.0,11.3,53.42,16.5,0.79,1.0,2.38,,,9.0,22.0,72.0,30.56,1.0,11.11,59.0,17.1,47.2,25.0,0.69,2.33,3.24,,,9.0,5.479,0.609,0.622,0.471,2.333,-0.475,0.739,0.306,2.609,1.376,0.045,0.352,5.932,0.659,0.436,0.524,0.407,poi,1.5,10,1,2,6,14,19,3,6,0.6111111,71,1.0,2,0.0,0.325,0,0,5.9,3,1.3,0
org.apache.poi.poifs.property.Property,16.0,34.0,240.0,14.17,2.0,12.5,75.0,21.74,36.95,103.0,0.86,0.0,0.0,,,11.0,1.0,110.0,0.91,10.0,90.91,39.0,11.3,60.0,54.5,0.99,0.0,0.0,,,27.0,46.0,702.0,6.55,8.0,29.63,89.0,25.8,33.21,328.0,0.93,156.17,22.25,,,27.0,25.954,0.961,0.127,0.395,156.167,-2.067,0.25,0.066,7.826,1.381,4.219,1.003,26.087,0.966,0.119,0.426,0.171,poi,1.5,30,1,3,18,60,257,13,16,0.95841783,671,1.0,14,0.0,0.2,0,0,20.233334,3,1.1333333,1
org.apache.poi.hpsf.SpecialPropertySet,2.0,0.0,2.0,0.0,2.0,100.0,7.0,2.03,58.33,1.0,1.0,0.0,0.0,,,10.0,16.0,90.0,17.78,2.0,20.0,21.0,6.09,32.81,37.0,0.82,0.0,0.0,,,12.0,20.0,132.0,15.15,1.0,8.33,23.0,6.67,30.26,56.0,0.85,8.0,6.06,,,12.0,7.919,0.66,0.533,0.403,8.0,-0.63,0.877,0.152,3.478,0.312,0.06,0.0,8.281,0.69,0.452,0.41,0.717,poi,1.5,10,2,2,7,20,0,2,10,0.0,53,1.0,1,0.64,0.55,1,2,4.2,1,0.9,1
org.apache.poi.poifs.storage.BlockListImpl,4.0,3.0,12.0,25.0,1.0,25.0,24.0,6.96,61.54,4.5,0.75,0.0,0.0,,,5.0,6.0,20.0,30.0,1.0,20.0,18.0,5.22,47.37,7.0,0.7,0.0,0.0,,,9.0,13.0,72.0,18.06,1.0,11.11,30.0,8.7,38.96,29.5,0.82,15.33,21.3,,,9.0,7.301,0.811,0.387,0.193,15.333,-0.949,0.661,0.181,2.609,1.373,0.101,0.249,7.438,0.826,0.269,0.217,0.365,poi,1.5,6,1,2,5,13,0,2,4,0.5,107,1.0,2,0.0,0.45833334,0,0,16.5,3,1.1666666,0
org.apache.poi.hssf.dev.EFHSSFListener,1.0,0.0,0.0,0.0,0.0,1.0,100.0,15.0,4.35,100.0,0.0,0.0,,,,5.0,2.0,20.0,10.0,3.0,60.0,119.0,34.49,87.5,9.0,0.9,3.0,15.0,,,5.0,2.0,20.0,10.0,3.0,60.0,119.0,34.49,87.5,9.0,0.9,3.0,15.0,,,5.0,4.373,0.875,0.416,0.316,3.0,-0.876,0.244,0.1,1.449,1.378,0.603,2.801,4.944,0.989,0.311,0.416,0.025,poi,1.5,2,1,0,3,4,0,1,2,0.0,14,0.0,1,0.0,0.6666667,0,0,5.5,1,0.5,0
org.apache.poi.poifs.eventfilesystem.POIFSReaderRegistry,1.0,0.0,0.0,0.0,0.0,1.0,100.0,20.0,5.8,100.0,0.0,0.0,,,,5.0,1.0,20.0,5.0,4.0,80.0,13.0,3.77,65.0,9.5,0.95,0.0,0.0,,,6.0,4.0,30.0,13.33,2.0,33.33,26.0,7.54,65.0,13.0,0.87,2.0,6.67,,,6.0,4.878,0.813,0.41,0.097,2.0,-0.891,0.504,0.133,1.739,1.362,0.552,0.032,4.878,0.813,0.334,0.113,0.345,poi,1.5,6,1,0,4,22,0,1,0,0.33333334,163,1.0,0,0.0,0.5,0,0,25.666666,5,2.3333333,0
org.apache.poi.poifs.property.PropertyFactory,1.0,0.0,0.0,0.0,0.0,1.0,100.0,14.0,4.06,100.0,0.0,0.0,,,,9.0,6.0,72.0,8.33,4.0,44.44,35.0,10.14,50.72,33.0,0.92,0.0,0.0,,,10.0,11.0,90.0,12.22,3.0,30.0,38.0,11.01,45.78,39.5,0.88,3.33,3.7,,,10.0,8.714,0.871,0.263,0.118,3.333,-1.337,0.511,0.122,2.899,1.366,0.066,0.106,9.49,0.949,0.155,0.054,0.209,poi,1.5,2,1,0,5,10,1,1,0,2.0,82,0.0,0,0.0,0.5,0,0,40.0,1,0.5,0
org.apache.poi.hssf.record.FooterRecord,2.0,0.0,2.0,0.0,2.0,100.0,107.0,31.01,76.98,1.0,1.0,0.0,0.0,,,4.0,0.0,12.0,0.0,4.0,100.0,132.0,38.26,39.17,6.0,1.0,0.0,0.0,,,6.0,4.0,30.0,13.33,2.0,33.33,142.0,41.16,29.83,13.0,0.87,4.0,13.33,,,6.0,4.958,0.826,0.697,0.265,4.0,-0.361,0.756,0.133,1.739,1.382,0.059,9.948,5.147,0.858,0.235,0.176,0.084,poi,1.5,13,2,0,6,25,66,2,11,0.7777778,174,0.6666667,0,0.52380955,0.33333334,1,6,12.153846,3,1.1538461,2
org.apache.poi.hpsf.SummaryInformation,1.0,0.0,0.0,0.0,0.0,1.0,100.0,7.0,2.03,100.0,0.0,0.0,,,,5.0,2.0,20.0,10.0,3.0,60.0,23.0,6.67,54.76,9.0,0.9,0.0,0.0,,,6.0,5.0,30.0,16.67,2.0,33.33,23.0,6.67,46.94,12.5,0.83,2.0,6.67,,,6.0,4.715,0.786,0.376,0.153,2.0,-0.977,0.369,0.167,1.739,0.312,0.03,0.0,4.719,0.787,0.311,0.244,0.181,poi,1.5,19,3,0,4,30,171,1,19,2.0,126,0.0,0,0.5813953,0.5263158,0,0,5.631579,1,0.94736844,1
