name,Size(in),Ties(in),Pairs(in),Densit(in),AvgDis(in),Diamet(in),nWeakC(in),pWeakC(in),2StepR(in),2StepP(in),ReachE(in),Broker(in),nBroke(in),EgoBet(in),nEgoBe(in),Size(out),Ties(out),Pairs(out),Densit(out),AvgDis(out),Diamet(out),nWeakC(out),pWeakC(out),2StepR(out),2StepP(out),ReachE(out),Broker(out),nBroke(out),EgoBet(out),nEgoBe(out),Size(un),Ties(un),Pairs(un),Densit(un),AvgDis(un),Diamet(un),nWeakC(un),pWeakC(un),2StepR(un),2StepP(un),ReachE(un),Broker(un),nBroke(un),EgoBet(un),nEgoBe(un),Degree_x,EffSize,Efficienc,Constrain,Hierarchy,EgoBetwe,Ln(Constr,Indirects,Density,Degree_y,Closeness,Betweenness,Eigenvector,EffSize(g),Efficie(g),Constra(g),Hierarc(g),Indirec(g),Project,Version,wmc,dit,noc,cbo,rfc,lcom,ca,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max(cc),avg(cc),bugs
org.apache.synapse.FaultHandler,15.0,25.0,210.0,11.9,1.0,6.67,106.0,40.46,39.26,92.5,0.88,0.33,0.16,,,4.0,0.0,12.0,0.0,4.0,100.0,142.0,54.2,52.4,6.0,1.0,3.0,25.0,,,18.0,58.0,306.0,18.95,1.0,5.56,157.0,59.92,32.98,124.0,0.81,11.17,3.65,,,18.0,11.898,0.661,0.339,0.34,11.167,-1.081,0.885,0.19,6.87,15.831,0.242,13.626,13.143,0.73,0.205,0.428,0.339,synapse,1.1,7,1,3,19,32,9,16,5,0.5,211,1.0,0,0.0,0.33333334,0,0,28.857143,9,2.857143,0
org.apache.synapse.registry.AbstractRegistry,1.0,0.0,0.0,0.0,0.0,1.0,100.0,7.0,2.67,100.0,0.0,0.0,,,,10.0,4.0,90.0,4.44,6.0,60.0,83.0,31.68,46.89,43.0,0.96,0.0,0.0,,,11.0,7.0,110.0,6.36,5.0,45.45,83.0,31.68,45.11,51.5,0.94,6.0,5.45,,,11.0,10.384,0.944,0.231,0.39,6.0,-1.466,0.2,0.064,4.198,14.861,0.54,4.574,10.427,0.948,0.21,0.423,0.117,synapse,1.1,7,1,1,10,38,13,1,5,0.75,230,1.0,0,0.0,0.375,0,0,31.571428,20,3.4285715,0
org.apache.synapse.config.xml.AbstractListMediatorFactory,7.0,0.0,42.0,0.0,7.0,100.0,30.0,11.45,53.57,21.0,1.0,0.0,0.0,,,8.0,8.0,56.0,14.29,3.0,37.5,141.0,53.82,50.54,24.0,0.86,0.0,0.0,,,15.0,28.0,210.0,13.33,4.0,26.67,150.0,57.25,44.78,91.0,0.87,34.0,16.19,,,15.0,13.478,0.899,0.222,0.159,34.0,-1.503,0.651,0.133,5.725,15.66,0.872,7.955,13.868,0.925,0.117,0.066,0.274,synapse,1.1,2,2,7,14,15,1,7,1,2.0,46,0.0,0,0.75,0.5,0,0,22.0,3,1.5,0
org.apache.synapse.config.xml.AnonymousListMediatorFactory,1.0,0.0,0.0,0.0,0.0,1.0,100.0,11.0,4.2,100.0,0.0,0.0,,,,3.0,0.0,6.0,0.0,3.0,100.0,23.0,8.78,88.46,3.0,1.0,0.0,0.0,,,4.0,0.0,12.0,0.0,4.0,100.0,29.0,11.07,78.38,6.0,1.0,3.0,25.0,,,4.0,4.0,1.0,0.26,0.055,3.0,-1.347,0.0,0.0,1.527,14.018,0.066,0.994,4.0,1.0,0.26,0.055,0.0,synapse,1.1,2,3,0,5,5,1,1,2,2.0,14,0.0,0,0.8,0.5,0,0,6.0,1,0.5,0
org.apache.synapse.config.xml.AbstractMediatorSerializer,26.0,12.0,650.0,1.85,15.0,57.69,82.0,31.3,48.52,319.0,0.98,0.0,0.0,,,10.0,5.0,90.0,5.56,5.0,50.0,159.0,60.69,37.77,42.5,0.94,0.0,0.0,,,36.0,79.0,1260.0,6.27,1.0,2.78,185.0,70.61,31.36,590.5,0.94,186.5,14.8,,,36.0,34.103,0.947,0.078,0.248,186.5,-2.553,0.304,0.063,13.74,16.263,4.576,14.335,35.152,0.976,0.064,0.27,0.169,synapse,1.1,8,1,17,31,36,22,17,0,0.7714286,190,1.0,0,0.0,0.3469388,0,0,22.125,5,1.75,1
org.apache.synapse.mediators.AbstractMediator,25.0,11.0,600.0,1.83,15.0,60.0,133.0,50.76,43.89,294.5,0.98,0.0,0.0,,,6.0,4.0,30.0,13.33,3.0,50.0,178.0,67.94,43.0,13.0,0.87,0.0,0.0,,,31.0,83.0,930.0,8.92,2.0,6.45,204.0,77.86,28.45,423.5,0.91,60.83,6.54,,,31.0,28.37,0.915,0.156,0.378,60.833,-1.856,0.588,0.089,11.832,16.426,2.169,18.746,28.767,0.928,0.085,0.266,0.286,synapse,1.1,15,1,17,22,33,7,17,5,0.47619048,229,1.0,0,0.0,0.3809524,0,0,14.066667,4,2.3333333,0
org.apache.synapse.mediators.AbstractListMediator,19.0,15.0,342.0,4.39,6.0,31.58,105.0,40.08,42.0,163.5,0.96,0.0,0.0,,,11.0,16.0,110.0,14.55,3.0,27.27,137.0,52.29,37.13,47.0,0.85,0.0,0.0,,,30.0,81.0,870.0,9.31,2.0,6.67,179.0,68.32,28.92,394.5,0.91,142.5,16.38,,,30.0,25.996,0.867,0.202,0.293,142.5,-1.599,0.823,0.093,11.45,16.133,2.477,16.281,27.019,0.901,0.11,0.297,0.325,synapse,1.1,10,2,7,14,35,0,7,10,0.0,173,1.0,0,0.59090906,0.28333333,0,0,16.2,3,1.5,0
org.apache.synapse.startup.AbstractStartup,3.0,3.0,6.0,50.0,1.0,33.33,16.0,6.11,61.54,1.5,0.5,0.0,0.0,,,2.0,0.0,2.0,0.0,2.0,100.0,12.0,4.58,60.0,1.0,1.0,0.0,0.0,,,5.0,7.0,20.0,35.0,1.0,20.0,22.0,8.4,47.83,6.5,0.65,1.0,5.0,,,5.0,3.327,0.665,0.819,0.193,1.0,-0.2,0.849,0.35,1.908,13.703,0.004,0.875,3.861,0.772,0.498,0.178,0.464,synapse,1.1,3,1,1,2,4,0,1,3,0.0,17,1.0,0,0.0,0.6666667,0,0,4.3333335,1,0.6666667,0
org.apache.synapse.config.xml.AbstractDBMediatorFactory,4.0,1.0,12.0,8.33,3.0,75.0,28.0,10.69,70.0,5.5,0.92,2.0,16.67,,,8.0,4.0,56.0,7.14,4.0,50.0,80.0,30.53,42.55,26.0,0.93,5.0,8.93,,,11.0,8.0,110.0,7.27,5.0,45.45,84.0,32.06,40.0,51.0,0.93,24.0,21.82,,,11.0,9.629,0.875,0.318,0.275,24.0,-1.144,0.492,0.073,4.198,14.827,0.472,4.198,10.144,0.922,0.188,0.291,0.147,synapse,1.1,8,2,2,13,60,12,4,1,0.75,727,0.0,0,0.33333334,0.6785714,0,0,88.375,23,5.125,0
org.apache.synapse.config.xml.AbstractListMediatorSerializer,8.0,1.0,56.0,1.79,7.0,87.5,32.0,12.21,51.61,27.5,0.98,0.0,0.0,,,7.0,10.0,42.0,23.81,2.0,28.57,83.0,31.68,40.69,16.0,0.76,0.0,0.0,,,15.0,37.0,210.0,17.62,2.0,13.33,93.0,35.5,34.96,86.5,0.82,23.0,10.95,,,15.0,12.604,0.84,0.296,0.24,23.0,-1.216,0.81,0.176,5.725,14.971,0.259,6.329,13.46,0.897,0.16,0.157,0.396,synapse,1.1,2,2,7,12,14,1,7,1,2.0,40,0.0,0,0.85714287,0.6666667,0,0,19.0,3,1.5,0
org.apache.synapse.config.xml.AbstractMediatorFactory,24.0,9.0,552.0,1.63,15.0,62.5,80.0,30.53,36.04,271.5,0.98,0.0,0.0,,,8.0,3.0,56.0,5.36,5.0,62.5,156.0,59.54,39.49,26.5,0.95,0.0,0.0,,,32.0,110.0,992.0,11.09,2.0,6.25,180.0,68.7,29.17,441.0,0.89,80.67,8.13,,,32.0,29.331,0.917,0.128,0.217,80.667,-2.055,0.598,0.111,12.214,16.173,1.763,15.878,30.421,0.951,0.086,0.185,0.34,synapse,1.1,5,1,17,24,18,10,17,0,1.0,142,1.0,0,0.0,0.45,0,0,24.8,5,1.4,0
