name,Size(in),Ties(in),Pairs(in),Densit(in),AvgDis(in),Diamet(in),nWeakC(in),pWeakC(in),2StepR(in),2StepP(in),ReachE(in),Broker(in),nBroke(in),EgoBet(in),nEgoBe(in),Size(out),Ties(out),Pairs(out),Densit(out),AvgDis(out),Diamet(out),nWeakC(out),pWeakC(out),2StepR(out),2StepP(out),ReachE(out),Broker(out),nBroke(out),EgoBet(out),nEgoBe(out),Size(un),Ties(un),Pairs(un),Densit(un),AvgDis(un),Diamet(un),nWeakC(un),pWeakC(un),2StepR(un),2StepP(un),ReachE(un),Broker(un),nBroke(un),EgoBet(un),nEgoBe(un),Degree_x,EffSize,Efficienc,Constrain,Hierarchy,EgoBetwe,Ln(Constr,Indirects,Density,Degree_y,Closeness,Betweenness,Eigenvector,EffSize(g),Efficie(g),Constra(g),Hierarc(g),Indirec(g),Project,Version,wmc,dit,noc,cbo,rfc,lcom,ca,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max(cc),avg(cc),bugs
org.apache.velocity.runtime.resource.Resource,24.0,32.0,552.0,5.8,1.0,4.17,125.0,37.31,34.82,260.0,0.94,11.33,2.05,,,8.0,8.0,56.0,14.29,2.0,25.0,92.0,27.46,31.62,24.0,0.86,2.0,3.57,,,31.0,104.0,930.0,11.18,1.0,3.23,158.0,47.16,25.0,413.0,0.89,115.67,12.44,,,31.0,26.752,0.863,0.186,0.326,115.667,-1.683,0.787,0.112,9.254,39.976,1.888,7.001,27.558,0.889,0.135,0.398,0.446,velocity,1.5,17,1,2,26,20,96,23,17,0.9027778,120,1.0,2,0.0,0.23529412,0,0,5.529412,3,1.0588236,2
org.apache.velocity.app.event.implement.EscapeReference,4.0,0.0,12.0,0.0,4.0,100.0,4.0,1.19,6.0,1.0,0.0,0.0,,,,9.0,4.0,72.0,5.56,5.0,55.56,119.0,35.52,38.89,34.0,0.94,0.0,0.0,,,13.0,4.0,156.0,2.56,9.0,69.23,123.0,36.72,39.68,76.0,0.97,36.0,23.08,,,13.0,12.01,0.924,0.199,0.405,36.0,-1.613,0.208,0.026,3.881,37.81,2.633,2.629,12.944,0.996,0.14,0.426,0.008,velocity,1.5,6,1,4,12,18,7,4,3,0.6666667,99,1.0,1,0.0,0.41666666,0,0,15.0,4,1.8333334,1
org.apache.velocity.runtime.directive.InputBase,2.0,0.0,2.0,0.0,2.0,100.0,30.0,8.96,61.22,1.0,1.0,0.0,0.0,,,9.0,11.0,72.0,15.28,1.0,11.11,135.0,40.3,34.09,30.5,0.85,0.0,0.0,,,11.0,29.0,110.0,26.36,1.0,9.09,136.0,40.6,30.56,40.5,0.74,0.0,0.0,,,11.0,7.694,0.699,0.437,0.21,0.0,-0.828,0.914,0.264,3.284,37.725,0.026,5.558,9.138,0.831,0.158,0.097,0.241,velocity,1.5,2,2,2,6,6,1,2,1,2.0,19,0.0,0,0.875,0.75,0,0,8.5,2,1.0,0
org.apache.velocity.runtime.parser.node.AbstractExecutor,6.0,6.0,30.0,20.0,1.0,16.67,31.0,9.25,50.82,12.0,0.8,0.0,0.0,,,2.0,0.0,2.0,0.0,2.0,100.0,76.0,22.69,51.7,1.0,1.0,0.0,0.0,,,8.0,16.0,56.0,28.57,1.0,12.5,92.0,27.46,44.23,20.0,0.71,2.0,3.57,,,8.0,6.472,0.809,0.348,0.092,2.0,-1.055,0.588,0.286,2.388,35.079,0.17,1.662,7.026,0.878,0.265,0.105,0.375,velocity,1.5,5,1,3,6,6,0,5,4,0.625,30,1.0,1,0.0,0.46666667,0,0,4.6,2,1.0,1
org.apache.velocity.runtime.parser.node.SetExecutor,5.0,4.0,20.0,20.0,1.0,20.0,31.0,9.25,64.58,8.0,0.8,0.0,0.0,,,2.0,0.0,2.0,0.0,2.0,100.0,76.0,22.69,51.7,1.0,1.0,0.0,0.0,,,7.0,12.0,42.0,28.57,1.0,14.29,92.0,27.46,47.18,15.0,0.71,2.0,4.76,,,7.0,5.795,0.828,0.362,0.077,2.0,-1.015,0.534,0.286,2.09,35.042,0.159,1.592,6.327,0.904,0.283,0.087,0.347,velocity,1.5,5,1,3,6,6,0,5,4,0.625,30,1.0,1,0.0,0.46666667,0,0,4.6,2,1.0,1
org.apache.velocity.runtime.resource.loader.ResourceLoader,12.0,12.0,132.0,9.09,1.0,8.33,76.0,22.69,43.68,60.0,0.91,1.0,0.76,,,7.0,8.0,42.0,19.05,1.0,14.29,127.0,37.91,34.42,17.0,0.81,1.0,2.38,,,18.0,70.0,306.0,22.88,1.0,5.56,151.0,45.07,29.49,118.0,0.77,16.5,5.39,,,18.0,14.251,0.792,0.255,0.17,16.5,-1.367,0.831,0.229,5.373,39.645,0.198,4.942,14.876,0.826,0.199,0.181,0.594,velocity,1.5,12,1,6,16,28,40,12,11,0.8484849,159,0.8333333,2,0.0,0.23809524,0,0,11.75,2,1.0,2
org.apache.velocity.context.AbstractContext,3.0,2.0,6.0,33.33,1.0,33.33,32.0,9.55,76.19,2.0,0.67,0.0,0.0,,,5.0,2.0,20.0,10.0,3.0,60.0,40.0,11.94,67.8,9.0,0.9,0.0,0.0,,,8.0,6.0,56.0,10.71,3.0,37.5,62.0,18.51,61.39,25.0,0.89,12.5,22.32,,,8.0,6.987,0.873,0.286,0.095,12.5,-1.252,0.433,0.107,2.388,30.762,0.299,0.647,7.218,0.902,0.176,0.164,0.089,velocity,1.5,13,2,1,5,17,66,1,13,0.75,95,1.0,1,0.5217391,0.46153846,0,0,6.230769,4,1.3846154,1
org.apache.velocity.util.introspection.IntrospectorBase,2.0,1.0,2.0,50.0,1.0,50.0,18.0,5.37,81.82,0.5,0.5,0.0,0.0,,,11.0,17.0,110.0,15.45,2.0,18.18,85.0,25.37,44.27,46.5,0.85,0.0,0.0,,,13.0,23.0,156.0,14.74,2.0,15.38,87.0,25.97,40.65,66.5,0.85,16.5,10.58,,,13.0,11.322,0.871,0.243,0.157,16.5,-1.414,0.567,0.147,3.881,34.932,1.926,1.637,11.7,0.9,0.202,0.174,0.408,velocity,1.5,9,1,1,7,17,34,1,4,0.6875,93,1.0,2,0.0,0.35185185,0,0,9.111111,1,0.8888889,3
org.apache.velocity.runtime.visitor.BaseVisitor,2.0,0.0,2.0,0.0,2.0,100.0,86.0,25.67,95.56,1.0,1.0,0.0,0.0,,,86.0,326.0,7310.0,4.46,1.0,1.16,149.0,44.48,12.14,3492.0,0.96,0.0,0.0,,,88.0,410.0,7656.0,5.36,1.0,1.14,149.0,44.48,11.31,3623.0,0.95,80.43,1.05,,,88.0,64.847,0.737,0.236,0.663,80.435,-1.442,0.868,0.054,26.269,40.508,3.593,28.104,67.53,0.767,0.185,0.696,0.617,velocity,1.5,44,1,2,45,86,946,2,44,1.0,344,1.0,1,0.0,0.06464647,0,0,6.7727275,1,0.97727275,1
org.apache.velocity.servlet.VelocityServlet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,31.0,342.0,9.06,4.0,21.05,124.0,37.01,31.31,155.5,0.91,0.0,0.0,,,19.0,31.0,342.0,9.06,4.0,21.05,124.0,37.01,31.31,155.5,0.91,0.0,0.0,,,19.0,17.419,0.917,0.212,0.276,0.0,-1.553,0.598,0.091,5.672,35.487,1.724,4.522,17.738,0.934,0.098,0.162,0.185,velocity,1.5,18,3,0,10,62,149,0,6,1.0196079,417,0.44444445,1,0.6,0.3382353,1,2,21.666666,5,1.1111112,0
