name,Size(in),Ties(in),Pairs(in),Densit(in),AvgDis(in),Diamet(in),nWeakC(in),pWeakC(in),2StepR(in),2StepP(in),ReachE(in),Broker(in),nBroke(in),EgoBet(in),nEgoBe(in),Size(out),Ties(out),Pairs(out),Densit(out),AvgDis(out),Diamet(out),nWeakC(out),pWeakC(out),2StepR(out),2StepP(out),ReachE(out),Broker(out),nBroke(out),EgoBet(out),nEgoBe(out),Size(un),Ties(un),Pairs(un),Densit(un),AvgDis(un),Diamet(un),nWeakC(un),pWeakC(un),2StepR(un),2StepP(un),ReachE(un),Broker(un),nBroke(un),EgoBet(un),nEgoBe(un),Degree_x,EffSize,Efficienc,Constrain,Hierarchy,EgoBetwe,Ln(Constr,Indirects,Density,Degree_y,Closeness,Betweenness,Eigenvector,EffSize(g),Efficie(g),Constra(g),Hierarc(g),Indirec(g),Project,Version,wmc,dit,noc,cbo,rfc,lcom,ca,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max(cc),avg(cc),bugs
org.apache.velocity.util.introspection.IntrospectorBase,2.0,1.0,2.0,50.0,1.0,50.0,18.0,5.07,81.82,0.5,0.5,0.0,0.0,,,9.0,11.0,72.0,15.28,2.0,22.22,91.0,25.63,47.89,30.5,0.85,0.0,0.0,,,11.0,17.0,110.0,15.45,2.0,18.18,93.0,26.2,43.87,46.5,0.85,12.5,11.36,,,11.0,9.506,0.864,0.262,0.093,12.5,-1.339,0.589,0.155,3.099,35.01,1.331,1.701,9.794,0.89,0.194,0.109,0.35,velocity,1.6.1,3,1,1,6,9,1,1,1,0.5,52,1.0,2,0.0,0.46666667,0,0,15.666667,1,0.6666667,0
org.apache.velocity.app.event.implement.EscapeReference,4.0,0.0,12.0,0.0,4.0,100.0,4.0,1.13,6.0,1.0,0.0,0.0,,,,9.0,4.0,72.0,5.56,5.0,55.56,129.0,36.34,38.51,34.0,0.94,0.0,0.0,,,13.0,4.0,156.0,2.56,9.0,69.23,133.0,37.46,39.23,76.0,0.97,36.0,23.08,,,13.0,12.01,0.924,0.199,0.405,36.0,-1.613,0.208,0.026,3.662,37.927,2.459,2.89,12.943,0.996,0.14,0.426,0.007,velocity,1.6.1,6,1,4,12,18,7,4,3,0.6666667,99,1.0,1,0.0,0.41666666,0,0,15.0,4,1.8333334,0
org.apache.velocity.servlet.VelocityServlet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,31.0,342.0,9.06,4.0,21.05,130.0,36.62,30.95,155.5,0.91,0.0,0.0,,,19.0,31.0,342.0,9.06,4.0,21.05,130.0,36.62,30.95,155.5,0.91,0.0,0.0,,,19.0,17.2,0.905,0.21,0.263,0.0,-1.561,0.605,0.091,5.352,35.714,1.597,4.651,17.633,0.928,0.098,0.166,0.183,velocity,1.6.1,18,3,0,10,62,149,0,6,1.0196079,417,0.44444445,1,0.6,0.3382353,1,2,21.666666,5,1.1111112,0
org.apache.velocity.runtime.resource.loader.ResourceLoader,12.0,12.0,132.0,9.09,1.0,8.33,74.0,20.85,38.14,60.0,0.91,1.0,0.76,,,9.0,10.0,72.0,13.89,1.0,11.11,143.0,40.28,29.55,31.0,0.86,2.0,2.78,,,20.0,92.0,380.0,24.21,1.0,5.0,160.0,45.07,24.69,144.0,0.76,17.17,4.52,,,20.0,15.992,0.8,0.22,0.143,17.167,-1.512,0.836,0.242,5.634,39.621,0.113,6.403,16.528,0.826,0.162,0.154,0.547,velocity,1.6.1,13,1,6,17,33,48,12,12,0.8472222,255,0.8333333,2,0.0,0.24175824,0,0,18.153847,7,1.4615384,1
org.apache.velocity.runtime.parser.node.SetExecutor,5.0,4.0,20.0,20.0,1.0,20.0,35.0,9.86,62.5,8.0,0.8,0.0,0.0,,,2.0,0.0,2.0,0.0,2.0,100.0,84.0,23.66,52.83,1.0,1.0,0.0,0.0,,,7.0,12.0,42.0,28.57,1.0,14.29,102.0,28.73,47.44,15.0,0.71,2.0,4.76,,,7.0,5.867,0.838,0.363,0.077,2.0,-1.012,0.536,0.286,1.972,35.218,0.144,1.751,6.339,0.906,0.261,0.101,0.282,velocity,1.6.1,5,1,3,6,6,0,5,4,0.625,30,1.0,1,0.0,0.46666667,0,0,4.6,2,1.0,0
org.apache.velocity.util.introspection.AbstractChainableUberspector,1.0,0.0,0.0,0.0,0.0,1.0,100.0,9.0,2.54,100.0,0.0,0.0,,,,11.0,14.0,110.0,12.73,3.0,27.27,55.0,15.49,42.64,48.0,0.87,0.0,0.0,,,12.0,21.0,132.0,15.91,3.0,25.0,55.0,15.49,39.86,55.5,0.84,4.0,3.03,,,12.0,9.641,0.803,0.409,0.295,4.0,-0.894,0.736,0.159,3.38,30.923,0.148,0.994,10.121,0.843,0.253,0.289,0.382,velocity,1.6.1,7,2,1,8,13,0,1,7,0.16666667,71,1.0,1,0.5714286,0.47619048,0,0,9.0,1,0.85714287,2
org.apache.velocity.runtime.parser.node.AbstractExecutor,6.0,6.0,30.0,20.0,1.0,16.67,35.0,9.86,49.3,12.0,0.8,0.0,0.0,,,2.0,0.0,2.0,0.0,2.0,100.0,84.0,23.66,52.83,1.0,1.0,0.0,0.0,,,8.0,16.0,56.0,28.57,1.0,12.5,102.0,28.73,44.35,20.0,0.71,2.0,3.57,,,8.0,6.577,0.822,0.349,0.099,2.0,-1.053,0.583,0.286,2.254,35.253,0.155,1.849,7.064,0.883,0.248,0.122,0.315,velocity,1.6.1,5,1,3,6,6,0,5,4,0.625,30,1.0,1,0.0,0.46666667,0,0,4.6,2,1.0,0
org.apache.velocity.runtime.resource.Resource,23.0,33.0,506.0,6.52,1.0,4.35,113.0,31.83,31.56,236.5,0.93,10.33,2.04,,,8.0,8.0,56.0,14.29,2.0,25.0,104.0,29.3,31.42,24.0,0.86,2.0,3.57,,,30.0,104.0,870.0,11.95,1.0,3.33,153.0,43.1,22.87,383.0,0.88,114.33,13.14,,,30.0,25.165,0.839,0.223,0.432,114.333,-1.501,0.753,0.12,8.451,39.183,1.443,7.239,25.854,0.862,0.174,0.525,0.427,velocity,1.6.1,19,1,2,25,22,129,22,19,0.9166667,130,1.0,2,0.0,0.20300752,0,0,5.3157897,3,1.0526316,1
org.apache.velocity.context.AbstractContext,3.0,2.0,6.0,33.33,1.0,33.33,31.0,8.73,75.61,2.0,0.67,0.0,0.0,,,5.0,2.0,20.0,10.0,3.0,60.0,43.0,12.11,71.67,9.0,0.9,0.0,0.0,,,8.0,6.0,56.0,10.71,3.0,37.5,65.0,18.31,64.36,25.0,0.89,12.5,22.32,,,8.0,6.962,0.87,0.29,0.113,12.5,-1.236,0.429,0.107,2.254,31.416,0.28,0.61,7.194,0.899,0.182,0.189,0.09,velocity,1.6.1,13,2,1,5,18,58,1,13,0.6666667,103,1.0,1,0.6333333,0.46153846,0,0,6.8461537,4,1.4615384,0
org.apache.velocity.context.ChainedInternalContextAdapter,4.0,1.0,12.0,8.33,3.0,75.0,39.0,10.99,55.71,5.5,0.92,0.0,0.0,,,13.0,17.0,156.0,10.9,1.0,7.69,130.0,36.62,43.33,69.5,0.89,0.0,0.0,,,17.0,32.0,272.0,11.76,1.0,5.88,148.0,41.69,40.0,120.0,0.88,24.83,9.13,,,17.0,15.471,0.91,0.183,0.217,24.833,-1.696,0.471,0.118,4.789,37.487,0.373,4.153,16.107,0.947,0.118,0.278,0.129,velocity,1.6.1,28,1,3,8,55,0,3,28,0.0,162,1.0,1,0.0,0.17857143,0,0,4.75,1,0.96428573,1
