name,Size(in),Ties(in),Pairs(in),Densit(in),AvgDis(in),Diamet(in),nWeakC(in),pWeakC(in),2StepR(in),2StepP(in),ReachE(in),Broker(in),nBroke(in),EgoBet(in),nEgoBe(in),Size(out),Ties(out),Pairs(out),Densit(out),AvgDis(out),Diamet(out),nWeakC(out),pWeakC(out),2StepR(out),2StepP(out),ReachE(out),Broker(out),nBroke(out),EgoBet(out),nEgoBe(out),Size(un),Ties(un),Pairs(un),Densit(un),AvgDis(un),Diamet(un),nWeakC(un),pWeakC(un),2StepR(un),2StepP(un),ReachE(un),Broker(un),nBroke(un),EgoBet(un),nEgoBe(un),Degree_x,EffSize,Efficienc,Constrain,Hierarchy,EgoBetwe,Ln(Constr,Indirects,Density,Degree_y,Closeness,Betweenness,Eigenvector,EffSize(g),Efficie(g),Constra(g),Hierarc(g),Indirec(g),Project,Version,wmc,dit,noc,cbo,rfc,lcom,ca,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max(cc),avg(cc),bugs
org.apache.xalan.xsltc.compiler.XslElement,1.0,0.0,0.0,0.0,0.0,1.0,100.0,53.0,4.12,100.0,0.0,0.0,,,,26.0,131.0,650.0,20.15,1.0,3.85,224.0,17.4,10.98,259.5,0.8,0.0,0.0,,,27.0,157.0,702.0,22.36,1.0,3.7,226.0,17.56,10.79,272.5,0.78,7.33,1.04,,,27.0,22.405,0.83,0.233,0.273,7.333,-1.459,0.869,0.224,2.098,6.853,0.049,9.992,23.555,0.872,0.098,0.259,0.217,xalan,2.7.0,8,3,0,28,63,0,1,7,0.54285717,498,1.0,2,0.8888889,0.35416666,1,9,60.625,14,3.75,3
org.apache.xalan.xsltc.dom.SortSettings,2.0,1.0,2.0,50.0,1.0,50.0,15.0,1.17,62.5,0.5,0.5,0.0,0.0,,,2.0,0.0,2.0,0.0,2.0,100.0,45.0,3.5,76.27,1.0,1.0,0.0,0.0,,,4.0,5.0,12.0,41.67,1.0,25.0,51.0,3.96,61.45,3.5,0.58,0.0,0.0,,,4.0,2.0,0.5,0.806,0.392,0.0,-0.216,0.553,0.417,0.311,6.735,0.0,0.032,3.095,0.774,0.473,0.416,0.181,xalan,2.7.0,7,1,0,3,8,9,2,0,0.8333333,52,1.0,1,0.0,0.2857143,0,0,5.571429,1,0.85714287,1
org.apache.xalan.xsltc.compiler.StringCall,1.0,0.0,0.0,0.0,0.0,1.0,100.0,83.0,6.45,100.0,0.0,0.0,,,,16.0,34.0,240.0,14.17,2.0,12.5,205.0,15.93,13.53,103.0,0.86,0.0,0.0,,,17.0,40.0,272.0,14.71,1.0,5.88,219.0,17.02,13.7,116.0,0.85,3.33,1.23,,,17.0,14.282,0.84,0.387,0.361,3.333,-0.95,0.911,0.147,1.321,6.842,0.004,7.062,15.202,0.894,0.112,0.162,0.195,xalan,2.7.0,3,4,0,13,17,3,0,3,2.0,75,0.0,0,0.97959185,0.44444445,3,13,24.0,3,1.3333334,1
org.apache.xalan.xsltc.compiler.FilteredAbsoluteLocationPath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,85.0,420.0,20.24,2.0,9.52,189.0,14.69,10.04,167.5,0.8,0.0,0.0,,,21.0,85.0,420.0,20.24,2.0,9.52,189.0,14.69,10.04,167.5,0.8,0.0,0.0,,,21.0,18.26,0.87,0.281,0.243,0.0,-1.271,0.915,0.202,1.632,6.69,0.001,8.971,19.229,0.916,0.099,0.232,0.162,xalan,2.7.0,7,3,0,23,34,0,0,7,0.0,168,1.0,1,0.93421054,0.2857143,2,7,22.857143,2,1.1428572,2
org.apache.xalan.xsltc.compiler.LiteralElement,6.0,9.0,30.0,30.0,1.0,16.67,132.0,10.26,49.81,10.5,0.7,15.5,51.67,,,52.0,550.0,2652.0,20.74,2.0,3.85,263.0,20.44,9.85,1051.0,0.79,494.8,18.66,,,53.0,576.0,2756.0,20.9,2.0,3.77,264.0,20.51,9.75,1090.0,0.79,520.7,18.89,,,53.0,40.437,0.763,0.185,0.438,520.695,-1.686,0.914,0.209,4.118,6.938,1.567,14.422,41.471,0.782,0.137,0.489,0.54,xalan,2.7.0,18,3,0,45,93,89,6,11,0.8137255,946,1.0,1,0.7671233,0.18888889,2,9,51.22222,24,5.8333335,3
org.apache.xalan.xsltc.compiler.Choose,3.0,4.0,6.0,66.67,1.0,33.33,117.0,9.09,58.79,1.0,0.33,0.0,0.0,,,27.0,153.0,702.0,21.79,2.0,7.41,218.0,16.94,10.29,274.5,0.78,33.08,4.71,,,29.0,201.0,812.0,24.75,2.0,6.9,225.0,17.48,10.16,305.5,0.75,38.66,4.76,,,29.0,23.745,0.819,0.218,0.267,38.661,-1.521,0.918,0.248,2.253,6.72,0.022,10.688,24.674,0.851,0.099,0.283,0.28,xalan,2.7.0,3,3,0,25,37,3,3,2,2.0,245,0.0,0,0.9655172,0.5,2,4,80.666664,15,5.3333335,2
org.apache.xalan.xsltc.compiler.Variable,12.0,42.0,132.0,31.82,1.0,8.33,195.0,15.15,29.1,45.0,0.68,11.17,8.46,,,31.0,187.0,930.0,20.11,1.0,3.23,224.0,17.4,10.06,371.5,0.8,46.22,4.97,,,39.0,325.0,1482.0,21.93,1.0,2.56,242.0,18.8,9.57,578.5,0.78,96.61,6.52,,,39.0,34.516,0.885,0.198,0.378,96.613,-1.621,0.856,0.219,3.03,6.892,0.051,12.503,34.776,0.892,0.141,0.468,0.428,xalan,2.7.0,6,4,0,35,46,3,11,5,2.0,274,0.0,0,0.9382716,0.4,2,13,44.666668,8,3.6666667,2
org.apache.xalan.xsltc.compiler.RealExpr,1.0,0.0,0.0,0.0,0.0,1.0,100.0,83.0,6.45,100.0,0.0,0.0,,,,11.0,13.0,110.0,11.82,2.0,18.18,168.0,13.05,14.29,48.5,0.88,0.0,0.0,,,12.0,16.0,132.0,12.12,1.0,8.33,183.0,14.22,14.54,58.0,0.88,4.0,3.03,,,12.0,10.086,0.84,0.571,0.42,4.0,-0.56,0.889,0.121,0.932,6.81,0.0,5.658,10.975,0.915,0.199,0.439,0.161,xalan,2.7.0,4,3,0,11,14,0,0,4,0.33333334,44,1.0,0,0.9594595,0.4,2,7,9.75,1,0.75,1
org.apache.xalan.xsltc.compiler.ApplyImports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,124.0,552.0,22.46,2.0,8.33,199.0,15.46,10.54,214.0,0.78,0.0,0.0,,,24.0,124.0,552.0,22.46,2.0,8.33,199.0,15.46,10.54,214.0,0.78,0.0,0.0,,,24.0,19.852,0.827,0.279,0.298,0.0,-1.278,0.93,0.225,1.865,6.839,0.007,9.054,20.54,0.856,0.114,0.237,0.299,xalan,2.7.0,7,3,0,17,41,15,0,5,0.75,205,1.0,1,0.9032258,0.30952382,1,4,28.0,3,1.4285715,2
org.apache.xalan.xsltc.compiler.StringLengthCall,1.0,0.0,0.0,0.0,0.0,1.0,100.0,83.0,6.45,100.0,0.0,0.0,,,,12.0,25.0,132.0,18.94,2.0,16.67,176.0,13.68,15.21,53.5,0.81,0.0,0.0,,,13.0,31.0,156.0,19.87,1.0,7.69,190.0,14.76,15.32,62.5,0.8,2.0,1.28,,,13.0,10.721,0.825,0.394,0.233,2.0,-0.932,0.919,0.199,1.01,6.814,0.0,5.524,11.405,0.877,0.133,0.141,0.183,xalan,2.7.0,2,4,0,11,13,1,0,2,2.0,44,0.0,0,0.9896907,0.6,2,4,21.0,2,1.0,1
