name,Size(in),Ties(in),Pairs(in),Densit(in),AvgDis(in),Diamet(in),nWeakC(in),pWeakC(in),2StepR(in),2StepP(in),ReachE(in),Broker(in),nBroke(in),EgoBet(in),nEgoBe(in),Size(out),Ties(out),Pairs(out),Densit(out),AvgDis(out),Diamet(out),nWeakC(out),pWeakC(out),2StepR(out),2StepP(out),ReachE(out),Broker(out),nBroke(out),EgoBet(out),nEgoBe(out),Size(un),Ties(un),Pairs(un),Densit(un),AvgDis(un),Diamet(un),nWeakC(un),pWeakC(un),2StepR(un),2StepP(un),ReachE(un),Broker(un),nBroke(un),EgoBet(un),nEgoBe(un),Degree_x,EffSize,Efficienc,Constrain,Hierarchy,EgoBetwe,Ln(Constr,Indirects,Density,Degree_y,Closeness,Betweenness,Eigenvector,EffSize(g),Efficie(g),Constra(g),Hierarc(g),Indirec(g),Project,Version,wmc,dit,noc,cbo,rfc,lcom,ca,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max(cc),avg(cc),bugs
org.apache.xerces.readers.UTF8Reader,1.0,0.0,0.0,0.0,0.0,1.0,100.0,19.0,2.6,100.0,0.0,0.0,,,,18.0,18.0,306.0,5.88,4.0,22.22,91.0,12.43,25.35,144.0,0.94,0.0,0.0,,,19.0,26.0,342.0,7.6,4.0,21.05,94.0,12.84,24.87,158.0,0.92,7.33,2.14,,,19.0,17.687,0.931,0.191,0.534,7.333,-1.657,0.112,0.076,2.596,25.976,0.365,1.517,18.704,0.984,0.18,0.547,0.046,xerces,1.2.0,41,2,0,13,75,0,1,22,0.60882354,7413,0.88235295,3,0.1521739,0.17083333,1,4,179.39024,2,1.0487804,1
org.apache.xerces.readers.UTF8Recognizer,1.0,0.0,0.0,0.0,0.0,1.0,100.0,17.0,2.32,100.0,0.0,0.0,,,,15.0,30.0,210.0,14.29,2.0,13.33,75.0,10.25,23.44,90.0,0.86,4.5,2.14,,,15.0,30.0,210.0,14.29,2.0,13.33,75.0,10.25,23.44,90.0,0.86,4.5,2.14,,,15.0,12.906,0.86,0.288,0.299,4.5,-1.246,0.63,0.143,2.049,25.72,0.07,1.322,14.366,0.958,0.164,0.395,0.197,xerces,1.2.0,2,2,0,9,18,0,2,1,0.0,239,1.0,0,0.75,0.5714286,2,2,118.0,1,0.5,0
org.apache.xerces.readers.UCSReader,1.0,0.0,0.0,0.0,0.0,1.0,100.0,14.0,1.91,100.0,0.0,0.0,,,,20.0,19.0,380.0,5.0,5.0,25.0,91.0,12.43,24.2,180.5,0.95,0.0,0.0,,,21.0,28.0,420.0,6.67,4.0,19.05,93.0,12.7,23.85,196.0,0.93,7.83,1.87,,,21.0,19.621,0.934,0.28,0.668,7.833,-1.271,0.147,0.067,2.869,25.985,0.15,1.564,20.704,0.986,0.256,0.688,0.039,xerces,1.2.0,31,2,0,15,60,0,1,24,0.8137255,2556,0.64705884,3,0.19444445,0.18888889,1,4,80.90323,5,1.2580645,0
org.apache.xerces.readers.EBCDICRecognizer,1.0,0.0,0.0,0.0,0.0,1.0,100.0,17.0,2.32,100.0,0.0,0.0,,,,14.0,23.0,182.0,12.64,2.0,14.29,74.0,10.11,24.1,79.5,0.87,2.5,1.37,,,14.0,23.0,182.0,12.64,2.0,14.29,74.0,10.11,24.1,79.5,0.87,2.5,1.37,,,14.0,12.203,0.872,0.289,0.301,2.5,-1.243,0.59,0.126,1.913,25.702,0.067,1.274,13.501,0.964,0.127,0.213,0.147,xerces,1.2.0,2,2,0,8,14,1,1,1,2.0,140,0.0,0,0.75,0.5714286,2,2,69.0,1,0.5,0
org.apache.xerces.readers.CharReader,1.0,0.0,0.0,0.0,0.0,1.0,100.0,19.0,2.6,100.0,0.0,0.0,,,,10.0,10.0,90.0,11.11,2.0,20.0,74.0,10.11,30.83,40.0,0.89,0.0,0.0,,,11.0,16.0,110.0,14.55,2.0,18.18,77.0,10.52,29.73,47.0,0.85,4.0,3.64,,,11.0,8.092,0.736,0.499,0.504,4.0,-0.695,0.544,0.145,1.503,25.711,0.172,1.099,9.539,0.867,0.354,0.549,0.208,xerces,1.2.0,4,3,0,6,9,0,1,0,0.3809524,583,1.0,0,0.9268293,0.40625,1,3,143.0,1,0.75,0
org.apache.xerces.readers.StringReader,1.0,0.0,0.0,0.0,0.0,1.0,100.0,19.0,2.6,100.0,0.0,0.0,,,,15.0,14.0,210.0,6.67,4.0,26.67,88.0,12.02,25.29,98.0,0.93,0.0,0.0,,,16.0,22.0,240.0,9.17,3.0,18.75,91.0,12.43,24.8,109.0,0.91,4.83,2.01,,,16.0,14.842,0.928,0.185,0.39,4.833,-1.686,0.216,0.092,2.186,25.921,0.076,1.473,15.565,0.973,0.147,0.418,0.024,xerces,1.2.0,30,2,0,11,64,0,1,22,0.5229885,2599,0.8333333,3,0.2,0.20114942,1,2,85.23333,4,1.3,0
org.apache.xerces.readers.UCSRecognizer,1.0,0.0,0.0,0.0,0.0,1.0,100.0,17.0,2.32,100.0,0.0,0.0,,,,14.0,32.0,182.0,17.58,1.0,7.14,75.0,10.25,23.08,75.0,0.82,2.5,1.37,,,14.0,32.0,182.0,17.58,1.0,7.14,75.0,10.25,23.08,75.0,0.82,2.5,1.37,,,14.0,10.782,0.77,0.509,0.541,2.5,-0.674,0.745,0.176,1.913,25.72,0.043,1.316,12.859,0.918,0.292,0.635,0.181,xerces,1.2.0,2,2,0,8,5,1,1,1,2.0,145,0.0,0,0.75,0.5714286,0,0,71.5,1,0.5,0
org.apache.xerces.utils.regex.RangeToken,6.0,13.0,30.0,43.33,1.87,4.0,1.0,16.67,41.0,5.6,53.25,8.5,0.57,4.0,13.33,4.0,4.0,12.0,33.33,1.0,25.0,37.0,5.05,50.0,4.0,0.67,1.0,8.33,,,8.0,20.0,56.0,35.71,1.0,12.5,41.0,5.6,39.05,18.0,0.64,6.17,11.01,,,8.0,5.491,0.686,0.637,0.226,6.167,-0.451,0.879,0.357,1.093,16.674,0.078,0.013,5.748,0.719,0.474,0.255,0.569,xerces,1.2.0,18,2,0,6,35,0,6,1,0.6806723,2128,0.14285715,1,0.734375,0.3611111,1,7,116.833336,17,8.0,0
org.apache.xml.serialize.SerializerFactoryImpl,1.0,0.0,0.0,0.0,0.0,1.0,100.0,6.0,0.82,100.0,0.0,0.0,,,,15.0,22.0,210.0,10.48,5.0,33.33,43.0,5.87,38.05,94.0,0.9,9.0,4.29,,,15.0,22.0,210.0,10.48,5.0,33.33,43.0,5.87,38.05,94.0,0.9,9.0,4.29,,,15.0,13.398,0.893,0.232,0.207,9.0,-1.461,0.554,0.105,2.049,25.747,0.965,0.642,13.763,0.918,0.194,0.223,0.411,xerces,1.2.0,6,2,0,7,20,9,1,3,0.0,136,1.0,0,0.54545456,0.43333334,1,2,21.5,5,1.5,0
org.apache.html.dom.HTMLCollectionImpl,7.0,11.0,42.0,26.19,1.0,14.29,114.0,15.57,51.82,15.5,0.74,0.0,0.0,,,30.0,36.0,870.0,4.14,12.0,40.0,166.0,22.68,34.37,417.0,0.96,0.0,0.0,,,37.0,106.0,1332.0,7.96,7.0,18.92,216.0,29.51,30.73,613.0,0.92,138.17,10.37,,,37.0,33.519,0.906,0.242,0.493,138.167,-1.42,0.671,0.08,5.055,32.318,2.541,9.55,34.297,0.927,0.112,0.417,0.228,xerces,1.2.0,9,1,0,9,22,18,7,3,1.0288461,366,0.15384616,1,0.0,0.31746033,0,0,38.22222,17,4.6666665,0
