,mean_shap,wp_r,cp_r
pWeakC(un),0.0377207731084323,,2.0
amc,0.017743894595485,2.0,3.0
Betweenness,0.0169888538248874,2.0,2.0
npm,0.014990840830178098,4.0,4.0
lcom3,0.01455975470868665,7.0,3.0
cam,0.0140034054554876,,4.0
2StepP(out),0.0134120555289493,,5.0
lcom,0.0125273484960781,3.0,4.0
cbm,0.0115845326040357,,4.0
Closeness,0.01127929277099855,1.0,1.0
moa,0.01044740412998145,3.0,4.0
2StepR(out),0.0102841227836665,,6.0
avg(cc),0.009149051224008501,1.0,6.0
Ties(out),0.0086542564457515,1.0,
pWeakC(out),0.0075974278737416,2.0,
Hierarc(g),0.0063102013480805,7.0,7.0
2StepR(un),0.0058986726056985,,6.0
Efficie(g),0.0057181316077655,5.0,9.0
nBroke(un),0.0047816711058243,6.0,8.0
ReachE(out),0.0047679082210984,,10.0
pWeakC(in),0.00451181509018625,7.0,7.0
Densit(out),0.0043695060870256,4.0,9.0
Constrain,0.0043241803296622,,10.0
Indirec(g),0.0040023783107547,6.0,9.0
Indirects,0.0039140583348328505,7.0,9.0
nBroke(in),0.0038656379282238,,10.0
dit,0.0037918174092842,9.0,7.0
AvgDis(un),0.0035325160283479,6.0,10.0
Hierarchy,0.0035063500336988,5.0,
ca,0.0034801372217877,6.0,10.0
2StepP(in),0.0028046634830608,,12.0
Diamet(in),0.0026231157600144998,7.0,11.0
noc,0.00249028421428115,9.0,11.0
ic,0.0022262314879584,7.0,
nBroke(out),0.0021638272270814,7.0,
Densit(in),0.0020923497607762,8.0,12.0
Diamet(out),0.0018782611486709,7.0,
nEgoBe(in),2.8143379054982824e-06,,13.0
nEgoBe(un),0.0,,
nEgoBe(out),0.0,,
EgoBet(out),0.0,,
EgoBet(in),0.0,,
EgoBet(un),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
nWeakC(in),,,
2StepR(in),,,
ReachE(in),,,
Broker(in),,,
Size(out),,,
Pairs(out),,,
AvgDis(out),,,
nWeakC(out),,,
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
Diamet(un),,,
nWeakC(un),,,
2StepP(un),,,
ReachE(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Efficienc,,,
EgoBetwe,,,
Ln(Constr,,,
Density,,,
Degree_y,,,
Eigenvector,,,
EffSize(g),,,
Constra(g),,,
wmc,,,
cbo,,,
rfc,,,
loc,,,
dam,,,
mfa,,,
max(cc),,,
