,mean_shap,wp_r,cp_r
Closeness,0.0521745770915854,,1.0
Betweenness,0.0330734615096448,,2.0
pWeakC(un),0.0291397441478477,,3.0
lcom,0.01896099837418365,1.0,4.0
npm,0.0179081473619459,,5.0
cam,0.0149807939189368,3.0,4.0
lcom3,0.014875657894427149,5.0,3.0
amc,0.0146620986122581,5.0,4.0
Diamet(un),0.0134513445173613,2.0,
2StepP(out),0.013343300680040849,2.0,6.0
moa,0.012435555390433301,4.0,5.0
cbm,0.010103586924493051,6.0,5.0
2StepR(out),0.0094238151003741,,8.0
2StepR(un),0.0081535100656389,,9.0
avg(cc),0.008091908960340899,5.0,7.0
dit,0.0076490607067228,,9.0
ReachE(out),0.0065704197734245,,11.0
Hierarc(g),0.0065373909441445496,6.0,9.0
Diamet(out),0.0064345570870184,4.0,
Constra(g),0.0061949139986501,4.0,
Indirec(g),0.0061074735548863,,10.0
pWeakC(in),0.0056633597049948504,6.0,9.0
ca,0.0054443011358746,,11.0
Constrain,0.0050194086841236,,11.0
nBroke(un),0.0048928549732705495,8.0,9.0
Densit(out),0.0046541439435947,6.0,10.0
Hierarchy,0.0044835384476205,5.0,
Indirects,0.0044134024505803,6.0,11.0
Efficie(g),0.0043589856809098,7.0,10.0
AvgDis(un),0.00374434270797925,7.0,12.0
nBroke(in),0.0035162515036048,,13.0
2StepP(in),0.0033418621593241,,13.0
mfa,0.0033314918377331,6.0,
Diamet(in),0.00298861293341315,8.0,13.0
Densit(in),0.0026860013437896,7.0,14.0
nBroke(out),0.0022889894238382,7.0,
noc,0.0019948857328065,9.0,14.0
nEgoBe(in),2.8261830159787517e-06,,15.0
EgoBet(un),0.0,,
nEgoBe(out),0.0,,
EgoBet(out),0.0,,
EgoBet(in),0.0,,
nEgoBe(un),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
nWeakC(in),,,
2StepR(in),,,
ReachE(in),,,
Broker(in),,,
Size(out),,,
Ties(out),,,
Pairs(out),,,
AvgDis(out),,,
nWeakC(out),,,
pWeakC(out),,,
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
nWeakC(un),,,
2StepP(un),,,
ReachE(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Efficienc,,,
EgoBetwe,,,
Ln(Constr,,,
Density,,,
Degree_y,,,
Eigenvector,,,
EffSize(g),,,
wmc,,,
cbo,,,
rfc,,,
loc,,,
dam,,,
ic,,,
max(cc),,,
