,mean_shap,wp_r,cp_r
Closeness,0.052876370859333,,1.0
Betweenness,0.0310813030202037,,2.0
pWeakC(un),0.0304776954174662,,2.0
npm,0.0192862024701766,,5.0
amc,0.01740742926564375,2.0,3.0
cam,0.0169492012318605,,4.0
cbm,0.0159101163861178,,5.0
lcom3,0.0147489396253816,3.0,3.0
2StepP(out),0.01474502030838515,1.0,5.0
lcom,0.013836019015127701,2.0,4.0
moa,0.010674671980591799,4.0,5.0
Hierarc(g),0.00928917451207105,2.0,7.0
pWeakC(in),0.0088789475422039,,6.0
nBroke(un),0.0080837119122916,3.0,7.0
2StepR(un),0.0077233998860249,,7.0
avg(cc),0.0075137202320736,4.0,6.0
2StepR(out),0.006370011480501999,4.0,7.0
Indirects,0.00501550787133045,4.0,8.0
Efficie(g),0.00501224756636745,4.0,8.0
Densit(out),0.004597531371420049,4.0,8.0
Indirec(g),0.004355611787352,4.0,8.0
AvgDis(un),0.0041543440692861505,3.0,9.0
dit,0.00413575519209065,7.0,7.0
ca,0.00412981643869155,5.0,8.0
nBroke(out),0.0040944382677716,4.0,
Constrain,0.0040453984025538,,9.0
2StepP(in),0.00371842647635475,4.0,11.0
Diamet(in),0.0035648177355921498,5.0,10.0
ReachE(out),0.0033539942348908497,6.0,9.0
nBroke(in),0.0027383710691138,,10.0
Diamet(un),0.0026379671260305,5.0,
Densit(in),0.0024063574176565,6.0,11.0
noc,0.00224624127320565,8.0,10.0
ic,0.0011350397939709,7.0,
nEgoBe(in),3.679472226526012e-06,,12.0
EgoBet(un),0.0,,
nEgoBe(out),0.0,,
EgoBet(out),0.0,,
EgoBet(in),0.0,,
nEgoBe(un),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
nWeakC(in),,,
2StepR(in),,,
ReachE(in),,,
Broker(in),,,
Size(out),,,
Ties(out),,,
Pairs(out),,,
AvgDis(out),,,
Diamet(out),,,
nWeakC(out),,,
pWeakC(out),,,
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
nWeakC(un),,,
2StepP(un),,,
ReachE(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Efficienc,,,
Hierarchy,,,
EgoBetwe,,,
Ln(Constr,,,
Density,,,
Degree_y,,,
Eigenvector,,,
EffSize(g),,,
Constra(g),,,
wmc,,,
cbo,,,
rfc,,,
loc,,,
dam,,,
mfa,,,
max(cc),,,
