,mean_shap,wp_r,cp_r
Closeness,0.0630465806292301,,1.0
Betweenness,0.0303268556702905,,2.0
pWeakC(un),0.0284288335804952,,2.0
dit,0.0249882838264929,,6.0
moa,0.024949220985046,1.0,5.0
cam,0.0221202215801495,,4.0
npm,0.0207925245402765,,5.0
amc,0.01854764508696785,2.0,4.0
lcom,0.0173920905285332,2.0,4.0
lcom3,0.016938067156684097,5.0,3.0
cbm,0.01528803808512095,2.0,5.0
2StepR(un),0.01217391117356405,3.0,7.0
Constra(g),0.0109736210117113,4.0,
2StepP(out),0.009816998924565501,5.0,5.0
nBroke(out),0.0097703428109868,4.0,
avg(cc),0.009420904561371249,4.0,6.0
Indirec(g),0.00745656240559435,5.0,8.0
nBroke(in),0.0072010566056727,,9.0
Hierarc(g),0.007078703168677449,7.0,7.0
pWeakC(in),0.006952551451581201,6.0,6.0
Diamet(out),0.0069330728739091,6.0,
2StepR(out),0.0068792407909909,,7.0
ReachE(out),0.00687230071244495,5.0,9.0
Densit(in),0.00680039381949025,5.0,11.0
Diamet(un),0.0065715597027654,6.0,
2StepP(in),0.0062543226368289,4.0,11.0
Densit(out),0.00554647109609285,7.0,8.0
Indirects,0.0051740749855863,,8.0
2StepR(in),0.004800705290556,7.0,
Efficie(g),0.0046377825555473,9.0,8.0
ca,0.0042584572565062,,8.0
ReachE(in),0.004193466676517,8.0,
AvgDis(un),0.004162492979853,,9.0
nBroke(un),0.0041143726813733,10.0,7.0
Constrain,0.0041107682612529,,9.0
mfa,0.0034002234569222,9.0,
Diamet(in),0.0031630768212855,,10.0
noc,0.0016074895332578501,11.0,10.0
nEgoBe(in),3.201124654516182e-06,,12.0
EgoBet(out),0.0,,
EgoBet(in),0.0,,
nEgoBe(out),0.0,,
nEgoBe(un),0.0,,
EgoBet(un),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
nWeakC(in),,,
Broker(in),,,
Size(out),,,
Ties(out),,,
Pairs(out),,,
AvgDis(out),,,
nWeakC(out),,,
pWeakC(out),,,
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
nWeakC(un),,,
2StepP(un),,,
ReachE(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Efficienc,,,
Hierarchy,,,
EgoBetwe,,,
Ln(Constr,,,
Density,,,
Degree_y,,,
Eigenvector,,,
EffSize(g),,,
wmc,,,
cbo,,,
rfc,,,
loc,,,
dam,,,
ic,,,
max(cc),,,
