,mean_shap,wp_r,cp_r
Closeness,0.0753785981325328,,1.0
pWeakC(un),0.0388387248668009,,2.0
Betweenness,0.026221965595471002,2.0,2.0
npm,0.0228603505967094,,5.0
cbm,0.021045376032183,,5.0
lcom,0.0192261702009427,2.0,5.0
cam,0.017912623839309652,2.0,5.0
nBroke(un),0.0168616363129077,1.0,8.0
avg(cc),0.014245608689043052,2.0,7.0
pWeakC(out),0.0140225175216437,3.0,
2StepP(out),0.0139642080891999,,6.0
moa,0.01363528222999975,4.0,6.0
lcom3,0.01312460325611615,8.0,3.0
amc,0.01278174270587535,6.0,4.0
dit,0.0123502295749361,,7.0
Indirects,0.0104150286543122,,9.0
2StepR(out),0.009907191890992,,8.0
2StepR(un),0.00932018338602815,6.0,8.0
nBroke(in),0.0071671438103272,,10.0
nBroke(out),0.0070759640703539,5.0,
Constra(g),0.0068052393622674,5.0,
2StepR(in),0.0064192933728366,5.0,
Constrain,0.0062521857615232,,10.0
ReachE(out),0.0060328303150651,,10.0
ic,0.005597609324824,6.0,
Efficie(g),0.005534693868421,7.0,9.0
pWeakC(in),0.005426029508285,9.0,8.0
nWeakC(in),0.005246244572508,6.0,
Densit(out),0.0050662201341656,7.0,9.0
Hierarc(g),0.0049191089774844494,9.0,8.0
mfa,0.0047783511590979,7.0,
dam,0.004728157348665,7.0,
Diamet(out),0.0046378816783791,7.0,
Indirec(g),0.004530261053065,8.0,9.0
ca,0.0044760459261964,,9.0
Diamet(in),0.0042931105780455,,11.0
AvgDis(un),0.0035784002918512,11.0,10.0
Ties(in),0.003517830210991,8.0,
Densit(in),0.0034254195658755997,9.0,12.0
2StepP(in),0.00303884532203,,12.0
ReachE(in),0.0021102243062952,10.0,
noc,0.0018751503576966001,12.0,11.0
EgoBet(in),0.0003226071756188,13.0,
nEgoBe(in),1.0284095168036126e-05,,13.0
nEgoBe(un),0.0,,
nEgoBe(out),0.0,,
EgoBet(out),0.0,,
EgoBet(un),0.0,,
Size(in),,,
Pairs(in),,,
AvgDis(in),,,
Broker(in),,,
Size(out),,,
Ties(out),,,
Pairs(out),,,
AvgDis(out),,,
nWeakC(out),,,
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
Diamet(un),,,
nWeakC(un),,,
2StepP(un),,,
ReachE(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Efficienc,,,
Hierarchy,,,
EgoBetwe,,,
Ln(Constr,,,
Density,,,
Degree_y,,,
Eigenvector,,,
EffSize(g),,,
wmc,,,
cbo,,,
rfc,,,
loc,,,
max(cc),,,
