,mean_shap,wp_r,cp_r
pWeakC(un),0.0426352942438431,,2.0
Closeness,0.03840625162666395,2.0,1.0
Betweenness,0.0359046761610674,,2.0
pWeakC(out),0.0238264611736128,1.0,
npm,0.0172549985627662,2.0,5.0
lcom3,0.0156983900024624,9.0,3.0
amc,0.0152682598019366,5.0,4.0
2StepR(un),0.01422202034656295,1.0,8.0
dam,0.0134850033737269,3.0,
2StepP(out),0.0126281115675503,,6.0
Ties(out),0.011901232257774,4.0,
Efficie(g),0.0114641486853964,2.0,10.0
lcom,0.011302147305663101,6.0,5.0
cam,0.01117260071553245,7.0,5.0
2StepR(out),0.01068731173872405,4.0,8.0
Hierarc(g),0.01032545699434905,4.0,8.0
cbm,0.009099031972501,8.0,5.0
moa,0.00866395449719735,9.0,6.0
avg(cc),0.007620515857639551,7.0,7.0
Indirec(g),0.0074236510745262,,10.0
nBroke(un),0.00726457925401355,7.0,8.0
dit,0.0069608500294198,,8.0
pWeakC(in),0.006286394027946901,8.0,8.0
Densit(in),0.0061054523222197005,6.0,13.0
ca,0.0058825465868006,6.0,11.0
nBroke(in),0.005755450818322,,11.0
Indirects,0.0056873929938349,8.0,9.0
Diamet(in),0.00554877921920065,6.0,12.0
AvgDis(un),0.0052759572171241,8.0,11.0
Densit(out),0.0051559860637131,8.0,10.0
Constrain,0.0051186750845579,,11.0
ReachE(out),0.0042314351151892,,11.0
2StepP(in),0.00327907280989625,9.0,13.0
noc,0.0031081661241973,10.0,12.0
mfa,0.0030768139644916,9.0,
nBroke(out),0.0013927283895492,11.0,
nEgoBe(in),6.0941823631004925e-06,,14.0
EgoBet(out),0.0,,
EgoBet(in),0.0,,
nEgoBe(out),0.0,,
EgoBet(un),0.0,,
nEgoBe(un),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
nWeakC(in),,,
2StepR(in),,,
ReachE(in),,,
Broker(in),,,
Size(out),,,
Pairs(out),,,
AvgDis(out),,,
Diamet(out),,,
nWeakC(out),,,
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
Diamet(un),,,
nWeakC(un),,,
2StepP(un),,,
ReachE(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Efficienc,,,
Hierarchy,,,
EgoBetwe,,,
Ln(Constr,,,
Density,,,
Degree_y,,,
Eigenvector,,,
EffSize(g),,,
Constra(g),,,
wmc,,,
cbo,,,
rfc,,,
loc,,,
ic,,,
max(cc),,,
