,mean_shap,wp_r,cp_r
Closeness,0.0431006902157391,,1.0
pWeakC(out),0.041973815306248,1.0,
Betweenness,0.0233091916494782,7.0,2.0
pWeakC(un),0.0201593829304067,,2.0
lcom,0.01764182329585685,2.0,4.0
lcom3,0.01710350127607355,3.0,3.0
ReachE(out),0.0167099548552643,,10.0
amc,0.0166471980162566,5.0,4.0
mfa,0.014556283308424,3.0,
2StepP(out),0.014343832265890701,5.0,5.0
Densit(out),0.014293044163122251,7.0,9.0
cbm,0.0135205327600542,,4.0
cam,0.0130240957723787,8.0,4.0
moa,0.012124086926229748,14.0,5.0
dam,0.0120330786584658,4.0,
2StepR(un),0.011629465665759849,4.0,7.0
Efficie(g),0.0113388945280413,,9.0
pWeakC(in),0.010131578579312801,4.0,7.0
avg(cc),0.00986453926999,10.0,6.0
Indirec(g),0.00967786141491685,7.0,9.0
2StepR(out),0.00965129987078165,7.0,7.0
npm,0.009300699082963,,4.0
Hierarc(g),0.0083714883230038,9.0,7.0
Constrain,0.0079743290486724,,10.0
Constra(g),0.0071252308137777,6.0,
ca,0.0057446009253238495,8.0,10.0
dit,0.0050569562490275,,7.0
Indirects,0.00486007947647785,13.0,9.0
ic,0.0046285520284358,8.0,
nBroke(un),0.00423213335273595,11.0,8.0
AvgDis(un),0.00353699794208015,13.0,11.0
2StepP(in),0.0035235688884494003,12.0,13.0
Diamet(un),0.003398805337802,11.0,
Densit(in),0.0032372521413994,14.0,13.0
Diamet(in),0.00317264558757745,11.0,12.0
nBroke(in),0.00298267602108625,14.0,11.0
noc,0.0027613404034168,15.0,12.0
Hierarchy,0.002726669440328,12.0,
nBroke(out),0.0015057187939495,14.0,
nEgoBe(in),4.259894199249069e-06,,14.0
nEgoBe(un),0.0,,
EgoBet(in),0.0,,
EgoBet(out),0.0,,
EgoBet(un),0.0,,
nEgoBe(out),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
nWeakC(in),,,
2StepR(in),,,
ReachE(in),,,
Broker(in),,,
Size(out),,,
Ties(out),,,
Pairs(out),,,
AvgDis(out),,,
Diamet(out),,,
nWeakC(out),,,
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
nWeakC(un),,,
2StepP(un),,,
ReachE(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Efficienc,,,
EgoBetwe,,,
Ln(Constr,,,
Density,,,
Degree_y,,,
Eigenvector,,,
EffSize(g),,,
wmc,,,
cbo,,,
rfc,,,
loc,,,
max(cc),,,
