,mean_shap,wp_r,cp_r
Closeness,0.0686880546245493,,1.0
amc,0.0307675586254251,,4.0
pWeakC(out),0.0281381187746364,1.0,
npm,0.028104138506372,,5.0
cam,0.02248940043827275,2.0,4.0
pWeakC(un),0.0224472486313206,,2.0
Ties(out),0.0159254148534458,2.0,
lcom,0.0158283293676441,3.0,4.0
2StepP(out),0.0151391768496117,,6.0
Betweenness,0.01459494961265905,10.0,2.0
lcom3,0.0145574972829235,8.0,3.0
moa,0.01246913856986165,10.0,5.0
cbm,0.01219392389749615,12.0,4.0
2StepR(un),0.0121480154584407,3.0,7.0
loc,0.0110349932973775,4.0,
avg(cc),0.01096704843684365,7.0,7.0
cbo,0.0098925753762348,5.0,
2StepR(out),0.0097155618585796,,8.0
pWeakC(in),0.0087276677846631,,8.0
dit,0.0082372842845736,6.0,8.0
Hierarc(g),0.00820209444049435,7.0,8.0
Constra(g),0.0076941134508117,6.0,
ca,0.0070751613768884,,10.0
Indirec(g),0.0068691882242306,,9.0
nBroke(un),0.0066887761234864,9.0,9.0
nWeakC(in),0.0066578514028167,7.0,
ReachE(in),0.0064925793837445,7.0,
Efficie(g),0.00612677961897895,8.0,9.0
Density,0.0058214076926252,8.0,
Constrain,0.0056840740052539,,10.0
Diamet(in),0.0055448157389798,,11.0
Densit(out),0.0053993778989677,8.0,9.0
ReachE(out),0.005117904186132,,10.0
Indirects,0.0049651840108382,,9.0
Diamet(out),0.0044681262906239,9.0,
AvgDis(un),0.00446205301362805,11.0,10.0
2StepP(in),0.0042744546341197,,12.0
nBroke(in),0.00239983058986645,13.0,10.0
Densit(in),0.0019413518114844998,12.0,12.0
noc,0.0014694773968302998,13.0,11.0
nEgoBe(in),4.0444529389639465e-06,,13.0
EgoBet(un),0.0,,
nEgoBe(out),0.0,,
EgoBet(out),0.0,,
EgoBet(in),0.0,,
nEgoBe(un),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
2StepR(in),,,
Broker(in),,,
Size(out),,,
Pairs(out),,,
AvgDis(out),,,
nWeakC(out),,,
Broker(out),,,
nBroke(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
Diamet(un),,,
nWeakC(un),,,
2StepP(un),,,
ReachE(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Efficienc,,,
Hierarchy,,,
EgoBetwe,,,
Ln(Constr,,,
Degree_y,,,
Eigenvector,,,
EffSize(g),,,
wmc,,,
rfc,,,
dam,,,
mfa,,,
ic,,,
max(cc),,,
