,mean_shap,wp_r,cp_r
Closeness,0.0685933003185385,,1.0
Betweenness,0.0360984632209649,,2.0
pWeakC(un),0.0343832919032095,,2.0
lcom3,0.0302307021223896,,3.0
amc,0.021863382651992253,2.0,3.0
2StepP(out),0.0209995931576157,1.0,5.0
lcom,0.0208177496885108,,4.0
npm,0.0168342707182355,,4.0
nBroke(out),0.0160820087934112,3.0,
Diamet(out),0.0138668413667952,3.0,
cam,0.01344483217801255,4.0,4.0
Indirec(g),0.012911925461237851,2.0,9.0
avg(cc),0.0109663858176135,,6.0
Hierarc(g),0.01061705940396885,3.0,7.0
nBroke(in),0.0104492473920538,,11.0
cbm,0.01015245011750245,7.0,4.0
2StepR(out),0.0101083643096641,,7.0
2StepR(un),0.00844603009135345,5.0,7.0
pWeakC(in),0.0083362933456896,7.0,7.0
moa,0.00817767746352755,9.0,5.0
Densit(out),0.0079323305654239,6.0,9.0
dit,0.007630596686679401,5.0,7.0
nBroke(un),0.00750981385286925,7.0,8.0
2StepP(in),0.0073489899046931,4.0,13.0
ca,0.0071753464321641,,10.0
Efficie(g),0.00709722259984585,7.0,9.0
ReachE(out),0.0062299681789216,,10.0
2StepR(in),0.0055428246244299,7.0,
ReachE(un),0.0054087637149527,7.0,
Densit(in),0.005332099031928,6.0,13.0
Indirects,0.0053018159113065,,9.0
max(cc),0.0048191007862735,7.0,
Constrain,0.0045519758490753,,10.0
dam,0.0043885237786193,8.0,
AvgDis(un),0.0037450083653495503,8.0,11.0
Diamet(in),0.0036072345826862,,12.0
noc,0.00233235713500495,10.0,12.0
nEgoBe(in),2.6305432272430843e-06,,14.0
nEgoBe(un),0.0,,
nEgoBe(out),0.0,,
EgoBet(out),0.0,,
EgoBet(in),0.0,,
EgoBet(un),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
nWeakC(in),,,
ReachE(in),,,
Broker(in),,,
Size(out),,,
Ties(out),,,
Pairs(out),,,
AvgDis(out),,,
nWeakC(out),,,
pWeakC(out),,,
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
Diamet(un),,,
nWeakC(un),,,
2StepP(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Efficienc,,,
Hierarchy,,,
EgoBetwe,,,
Ln(Constr,,,
Density,,,
Degree_y,,,
Eigenvector,,,
EffSize(g),,,
Constra(g),,,
wmc,,,
cbo,,,
rfc,,,
loc,,,
mfa,,,
ic,,,
