,mean_shap,wp_r,cp_r
Closeness,0.0945635940591569,,1.0
pWeakC(un),0.0355962636804197,,2.0
Betweenness,0.0296986058694904,,2.0
lcom3,0.0245777296571331,,3.0
cam,0.02165571810834425,1.0,4.0
2StepP(out),0.0177824250694808,2.0,5.0
amc,0.0172582954494372,5.0,3.0
npm,0.0151133373773127,5.0,4.0
ReachE(un),0.0133766477538906,4.0,
Indirec(g),0.01285703723072225,2.0,9.0
cbm,0.0127647633130458,4.0,4.0
lcom,0.0123262457653999,,4.0
moa,0.0100339761864846,10.0,4.0
Densit(out),0.0095333780727374,3.0,9.0
2StepR(un),0.009410539356119501,5.0,7.0
nWeakC(un),0.0092051308383888,6.0,
2StepR(out),0.0091513134664659,,7.0
avg(cc),0.008892834651951,,6.0
nBroke(un),0.00859030978246365,6.0,8.0
Hierarc(g),0.008541018863985849,6.0,7.0
nBroke(in),0.0080410971368454,,11.0
Efficie(g),0.007821380999263,6.0,9.0
pWeakC(in),0.0074141283928972,8.0,7.0
Indirects,0.007298090061606,,9.0
Diamet(out),0.007171970281247,7.0,
Constrain,0.0055745886705549,,10.0
dit,0.0050843349805486,10.0,7.0
ca,0.00501943771975125,10.0,10.0
max(cc),0.0048634500694372,9.0,
ReachE(out),0.0048406258563501,,10.0
Diamet(in),0.0048302991266905,9.0,12.0
2StepP(in),0.00463613840182615,8.0,13.0
Densit(in),0.004440716512254099,9.0,13.0
dam,0.0036524231736569,10.0,
AvgDis(un),0.00360605099955045,10.0,11.0
nBroke(out),0.0025644757438845,11.0,
noc,0.0016191270807933002,12.0,12.0
nEgoBe(in),5.009264674384798e-06,,14.0
nEgoBe(un),0.0,,
nEgoBe(out),0.0,,
EgoBet(out),0.0,,
EgoBet(in),0.0,,
EgoBet(un),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
nWeakC(in),,,
2StepR(in),,,
ReachE(in),,,
Broker(in),,,
Size(out),,,
Ties(out),,,
Pairs(out),,,
AvgDis(out),,,
nWeakC(out),,,
pWeakC(out),,,
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
Diamet(un),,,
2StepP(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Efficienc,,,
Hierarchy,,,
EgoBetwe,,,
Ln(Constr,,,
Density,,,
Degree_y,,,
Eigenvector,,,
EffSize(g),,,
Constra(g),,,
wmc,,,
cbo,,,
rfc,,,
loc,,,
mfa,,,
ic,,,
