,mean_shap,wp_r,cp_r
Closeness,0.0656601020409137,,1.0
amc,0.033697910741017204,1.0,3.0
pWeakC(un),0.03203494742204385,2.0,2.0
cbm,0.0303308703597862,,4.0
Betweenness,0.02457152801059745,3.0,2.0
lcom3,0.0197027663845901,3.0,3.0
npm,0.0179695359626073,3.0,4.0
cam,0.01717208302280665,2.0,4.0
lcom,0.01492090071411145,5.0,4.0
2StepP(out),0.0127025923682824,3.0,5.0
moa,0.01169040760638115,5.0,5.0
avg(cc),0.0114426330750763,4.0,6.0
Indirects,0.0098351628279616,,9.0
2StepR(out),0.00936543137158985,4.0,7.0
2StepR(un),0.0091814040816454,4.0,7.0
pWeakC(in),0.0075195547527691,,8.0
Efficie(g),0.0072802404410457,,9.0
Hierarchy,0.0069784803897647,5.0,
nBroke(un),0.006851802918861449,7.0,8.0
Hierarc(g),0.0068144985444234,,8.0
ReachE(out),0.006271869846398,,10.0
ca,0.0062361184403552,6.0,10.0
Indirec(g),0.0060082844977901,,10.0
dit,0.00570317965303735,8.0,8.0
Efficienc,0.0056502000750254,6.0,
Eigenvector,0.0056436048301363,6.0,
Diamet(in),0.0053624713632723,6.0,12.0
Constrain,0.0050751629473144,,11.0
Densit(out),0.0046410763535469,7.0,10.0
2StepP(in),0.0035656392778743,,13.0
noc,0.00322037962836435,8.0,13.0
nBroke(in),0.0027773197708519503,11.0,11.0
Densit(in),0.0027384992079188,9.0,13.0
AvgDis(un),0.00273053842654285,10.0,12.0
ic,0.0019462876494305,10.0,
nEgoBe(in),5.961525386564096e-06,,14.0
nEgoBe(un),0.0,,
EgoBet(un),0.0,,
nEgoBe(out),0.0,,
EgoBet(out),0.0,,
EgoBet(in),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
nWeakC(in),,,
2StepR(in),,,
ReachE(in),,,
Broker(in),,,
Size(out),,,
Ties(out),,,
Pairs(out),,,
AvgDis(out),,,
Diamet(out),,,
nWeakC(out),,,
pWeakC(out),,,
Broker(out),,,
nBroke(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
Diamet(un),,,
nWeakC(un),,,
2StepP(un),,,
ReachE(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
EgoBetwe,,,
Ln(Constr,,,
Density,,,
Degree_y,,,
EffSize(g),,,
Constra(g),,,
wmc,,,
cbo,,,
rfc,,,
loc,,,
dam,,,
mfa,,,
max(cc),,,
