,mean_shap,wp_r,cp_r
lcom3,0.0637234821811735,,4.0
pWeakC(un),0.0542316682815629,,2.0
amc,0.0464849409040293,2.0,4.0
ca,0.0362140664872937,1.0,9.0
Closeness,0.0317589199511959,,1.0
mfa,0.0297124251408839,3.0,
pWeakC(out),0.0283148696693778,3.0,
dit,0.0195443617929935,,8.0
Betweenness,0.0172020093731585,7.0,3.0
pWeakC(in),0.0146070942623777,6.0,8.0
2StepR(out),0.0143649059676775,4.0,7.0
npm,0.0134048199612585,,5.0
Indirec(g),0.0126225916525965,,9.0
nBroke(un),0.0121807063590359,,8.0
Hierarc(g),0.011970404845633,,8.0
2StepP(out),0.0119220346304491,,6.0
Densit(out),0.011850568151820451,5.0,9.0
cam,0.0106125957444502,12.0,5.0
cbm,0.01031758226372945,9.0,5.0
moa,0.0098934483195339,15.0,6.0
2StepR(un),0.0089847776637131,,8.0
avg(cc),0.0089421054205649,8.0,7.0
2StepP(in),0.00883224744799725,6.0,11.0
Efficie(g),0.0085581339407326,,9.0
ReachE(out),0.0077795067229625,,9.0
Constra(g),0.0074900861496621,8.0,
Indirects,0.0071055604702888,,9.0
Constrain,0.0065676093600458,,10.0
Diamet(in),0.006002479755133,,11.0
AvgDis(un),0.0058635963100961,13.0,10.0
Densit(in),0.00586278519213205,8.0,11.0
Hierarchy,0.0053513146207176,9.0,
lcom,0.00480837132913605,14.0,5.0
AvgDis(out),0.0042840405033515,10.0,
Efficienc,0.0035548500145706,11.0,
noc,0.0030118226459256,16.0,11.0
nBroke(in),0.00214535753890455,15.0,10.0
dam,0.0013399424016026,14.0,
nBroke(out),0.0003405340238186,16.0,
nEgoBe(in),1.2608721217449081e-06,,12.0
nEgoBe(un),0.0,,
EgoBet(un),0.0,,
nEgoBe(out),0.0,,
EgoBet(out),0.0,,
EgoBet(in),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
nWeakC(in),,,
2StepR(in),,,
ReachE(in),,,
Broker(in),,,
Size(out),,,
Ties(out),,,
Pairs(out),,,
Diamet(out),,,
nWeakC(out),,,
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
Diamet(un),,,
nWeakC(un),,,
2StepP(un),,,
ReachE(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
EgoBetwe,,,
Ln(Constr,,,
Density,,,
Degree_y,,,
Eigenvector,,,
EffSize(g),,,
wmc,,,
cbo,,,
rfc,,,
loc,,,
ic,,,
max(cc),,,
