,cs_Mean
Closeness,0.05639713643257502
lcom3,0.04238285126033366
pWeakC(out),0.03745074203327632
Betweenness,0.03713463322568496
Eigenvector,0.026028621109954197
cam,0.02507480413559857
cbm,0.023856927195987768
lcom,0.02276940189739484
avg(cc),0.018861260735976344
2StepP(out),0.0177550690777764
2StepR(un),0.015016900707926861
mfa,0.0149621065974512
2StepR(out),0.013859179498911639
pWeakC(in),0.011743949285357175
Hierarc(g),0.011228393748084277
Indirects,0.01083153575796239
nBroke(un),0.010050901702798645
ca,0.009918148961237577
Efficie(g),0.009059674117884203
Densit(out),0.008953169278681877
ReachE(out),0.008946004963712523
Indirec(g),0.008942969691405333
Constrain,0.008528941176191516
AvgDis(un),0.0075074580553396416
nBroke(in),0.006665950844732564
Diamet(in),0.00513021570324219
2StepP(in),0.004977841841683416
Densit(in),0.00398263821615576
nEgoBe(in),1.3186228654697141e-05
nEgoBe(un),0.0
nEgoBe(out),0.0
EgoBet(out),0.0
EgoBet(un),0.0
