,mean_shap,wp_r,cp_r
Betweenness,0.0565035705,1.0,2.0
Ties(out),0.045599272,2.0,
lcom3,0.0421932435,2.0,2.0
Hierarchy,0.0360429,3.0,
avg(cc),0.032267014999999996,2.0,6.0
nBroke(out),0.031005421,4.0,
pWeakC(out),0.020008056,7.0,3.0
lcom,0.0172064855,7.0,4.0
cam,0.017159985,7.0,4.0
Eigenvector,0.016138031,,5.0
2StepP(out),0.014884246,,6.0
nBroke(un),0.0144579,5.0,9.0
cbm,0.014339027,,5.0
Densit(out),0.0138696245,5.0,10.0
pWeakC(in),0.0137310495,6.0,9.0
Efficie(g),0.013417767,6.0,10.0
Diamet(out),0.013169305,7.0,
Hierarc(g),0.0129798465,7.0,8.0
Densit(in),0.012348652,5.0,13.0
Closeness,0.0118082545,9.0,1.0
dit,0.011623771,8.0,
Indirec(g),0.0112192395,6.0,10.0
2StepR(out),0.010170563,,8.0
Indirects,0.009530154,8.0,9.0
Diamet(in),0.008734789,7.0,12.0
ca,0.008200061500000001,9.0,10.0
mfa,0.00794931,,7.0
AvgDis(un),0.007465421999999999,9.0,11.0
Constra(g),0.007306871,10.0,
ReachE(out),0.006226238,,10.0
2StepR(un),0.006145017,,8.0
Constrain,0.005089991,,11.0
2StepP(in),0.003490668,,13.0
nBroke(in),0.002881148,,11.0
ic,0.002775582,11.0,
nEgoBe(in),3.385e-06,,14.0
EgoBet(out),0.0,,
nEgoBe(out),0.0,,
EgoBet(in),0.0,,
nEgoBe(un),0.0,,
EgoBet(un),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
nWeakC(in),,,
2StepR(in),,,
ReachE(in),,,
Broker(in),,,
Size(out),,,
Pairs(out),,,
AvgDis(out),,,
nWeakC(out),,,
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
Diamet(un),,,
nWeakC(un),,,
pWeakC(un),,,
2StepP(un),,,
ReachE(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Efficienc,,,
EgoBetwe,,,
Ln(Constr,,,
Density,,,
Degree_y,,,
EffSize(g),,,
wmc,,,
noc,,,
cbo,,,
rfc,,,
npm,,,
loc,,,
dam,,,
moa,,,
amc,,,
max(cc),,,
