,mean_shap,wp_r,cp_r
Closeness,0.051020589,,1.0
lcom,0.0498784065,1.0,4.0
Betweenness,0.034182634,,2.0
avg(cc),0.032010142000000005,2.0,6.0
cam,0.031908943499999995,3.0,4.0
lcom3,0.030002498,4.0,3.0
pWeakC(out),0.0270529,,4.0
cbo,0.026791379,5.0,
2StepP(out),0.0264341505,3.0,6.0
Hierarchy,0.024211102,6.0,
2StepR(un),0.0198701575,4.0,8.0
nBroke(un),0.0168972465,5.0,8.0
Eigenvector,0.015673385,,5.0
Diamet(out),0.015173135,7.0,
mfa,0.014266848999999998,7.0,7.0
Indirec(g),0.0135120065,6.0,9.0
cbm,0.012804415999999999,11.0,5.0
Indirects,0.01116716,7.0,9.0
AvgDis(un),0.011136916,7.0,10.0
pWeakC(in),0.011116105,,7.0
Efficie(g),0.00993628,8.0,9.0
Densit(out),0.009738323,8.0,9.0
2StepR(out),0.008765144,,8.0
Hierarc(g),0.008695326,,8.0
nBroke(out),0.008646656,10.0,
ca,0.008233453,,8.0
ReachE(out),0.008223563,9.0,10.0
Densit(in),0.006507526,9.0,13.0
2StepP(in),0.0062656775,10.0,12.0
Constrain,0.005398252,,10.0
nBroke(in),0.004050911,,11.0
Diamet(in),0.003078793,,12.0
nEgoBe(in),7.28e-06,,14.0
nEgoBe(un),0.0,,
nEgoBe(out),0.0,,
EgoBet(out),0.0,,
EgoBet(in),0.0,,
EgoBet(un),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
nWeakC(in),,,
2StepR(in),,,
ReachE(in),,,
Broker(in),,,
Size(out),,,
Ties(out),,,
Pairs(out),,,
AvgDis(out),,,
nWeakC(out),,,
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
Diamet(un),,,
nWeakC(un),,,
pWeakC(un),,,
2StepP(un),,,
ReachE(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Efficienc,,,
EgoBetwe,,,
Ln(Constr,,,
Density,,,
Degree_y,,,
EffSize(g),,,
Constra(g),,,
wmc,,,
dit,,,
noc,,,
rfc,,,
npm,,,
loc,,,
dam,,,
moa,,,
ic,,,
amc,,,
max(cc),,,
