,mean_shap,wp_r,cp_r
nBroke(out),0.067337567,2.0,
2StepP(out),0.051561139000000006,1.0,6.0
Closeness,0.043512954,,1.0
lcom,0.037634689,3.0,4.0
Betweenness,0.037311439,,2.0
avg(cc),0.0343132305,4.0,6.0
lcom3,0.034165332,6.0,2.0
2StepR(out),0.0296814525,4.0,8.0
pWeakC(out),0.026715533,,3.0
cam,0.022539474,,3.0
AvgDis(un),0.0218321415,5.0,11.0
Densit(in),0.0209079375,5.0,13.0
cbm,0.017817293,,5.0
Eigenvector,0.016897986,,6.0
Densit(out),0.014407203,7.0,10.0
Hierarc(g),0.011889684000000001,9.0,8.0
Diamet(un),0.011064302,10.0,
Indirects,0.011005402000000001,10.0,9.0
Diamet(in),0.0109547845,8.0,12.0
pWeakC(in),0.009794341,,7.0
Efficie(g),0.009377187,10.0,10.0
nBroke(un),0.0088643825,11.0,8.0
dit,0.008664152,11.0,
mfa,0.007663646,,7.0
ic,0.007146204,12.0,
2StepR(un),0.007012831,,8.0
ca,0.006837324,12.0,9.0
Indirec(g),0.0067589225,11.0,10.0
ReachE(out),0.0064602375,12.0,10.0
2StepP(in),0.0059907035,11.0,12.0
Constrain,0.00462153,,11.0
nBroke(in),0.00363755,,12.0
nEgoBe(in),3.32e-06,,14.0
EgoBet(out),0.0,,
EgoBet(in),0.0,,
nEgoBe(un),0.0,,
nEgoBe(out),0.0,,
EgoBet(un),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
nWeakC(in),,,
2StepR(in),,,
ReachE(in),,,
Broker(in),,,
Size(out),,,
Ties(out),,,
Pairs(out),,,
AvgDis(out),,,
Diamet(out),,,
nWeakC(out),,,
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
nWeakC(un),,,
pWeakC(un),,,
2StepP(un),,,
ReachE(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Efficienc,,,
Hierarchy,,,
EgoBetwe,,,
Ln(Constr,,,
Density,,,
Degree_y,,,
EffSize(g),,,
Constra(g),,,
wmc,,,
noc,,,
cbo,,,
rfc,,,
npm,,,
loc,,,
dam,,,
moa,,,
amc,,,
max(cc),,,
