,mean_shap,wp_r,cp_r
Closeness,0.064844791,,1.0
nWeakC(out),0.056812557,1.0,
nBroke(out),0.034357292,3.0,
Betweenness,0.030445502,,2.0
avg(cc),0.027125594500000003,2.0,6.0
mfa,0.026461465,6.0,7.0
lcom3,0.025617494999999997,5.0,2.0
pWeakC(out),0.023753378,,3.0
cam,0.022825244,,3.0
lcom,0.021341146,4.0,4.0
Eigenvector,0.020041307,,5.0
cbm,0.019477521,4.0,5.0
Indirec(g),0.0176876355,4.0,10.0
Diamet(out),0.016907785,6.0,
ReachE(out),0.016292721,4.0,11.0
Diamet(un),0.015547477,6.0,
2StepR(un),0.0150465295,5.0,9.0
2StepR(in),0.013903024,7.0,
2StepP(out),0.013011831,,6.0
Constrain,0.012788880999999998,5.0,12.0
ReachE(in),0.011204641,9.0,
pWeakC(in),0.010144681,8.0,8.0
2StepP(in),0.009747711499999999,6.0,14.0
Densit(out),0.009508391,9.0,11.0
Efficie(g),0.0089412715,9.0,10.0
Hierarc(g),0.0088361485,10.0,9.0
Densit(in),0.0085851875,8.0,15.0
nBroke(un),0.007650699,10.0,9.0
2StepR(out),0.007288785,,9.0
nBroke(in),0.007108935,,13.0
Indirects,0.005576369,,10.0
ca,0.005379882,,10.0
AvgDis(un),0.004085163,,12.0
Diamet(in),0.003460343,,14.0
nEgoBe(in),2.235e-06,,16.0
nEgoBe(un),0.0,,
EgoBet(un),0.0,,
EgoBet(out),0.0,,
EgoBet(in),0.0,,
nEgoBe(out),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
nWeakC(in),,,
Broker(in),,,
Size(out),,,
Ties(out),,,
Pairs(out),,,
AvgDis(out),,,
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
nWeakC(un),,,
pWeakC(un),,,
2StepP(un),,,
ReachE(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Efficienc,,,
Hierarchy,,,
EgoBetwe,,,
Ln(Constr,,,
Density,,,
Degree_y,,,
EffSize(g),,,
Constra(g),,,
wmc,,,
dit,,,
noc,,,
cbo,,,
rfc,,,
npm,,,
loc,,,
dam,,,
moa,,,
ic,,,
amc,,,
max(cc),,,
