,mean_shap,wp_r,cp_r
Betweenness,0.0645508625,1.0,2.0
pWeakC(out),0.050926863,2.0,3.0
lcom,0.034203874499999995,4.0,4.0
Closeness,0.034060646,,1.0
avg(cc),0.03367597,3.0,6.0
lcom3,0.0250906325,8.0,2.0
nBroke(un),0.0212943685,5.0,8.0
cbm,0.021251517,,5.0
nBroke(out),0.020751293,7.0,
Eigenvector,0.019834609,,5.0
Constra(g),0.019171954,8.0,
cam,0.019013841,8.0,4.0
mfa,0.0174159285,8.0,7.0
Indirec(g),0.0157670135,6.0,10.0
Densit(out),0.0151946225,7.0,10.0
2StepP(out),0.015110063,,7.0
2StepR(un),0.0143741155,8.0,8.0
2StepR(out),0.012269156,,8.0
cbo,0.010975097,10.0,
Indirects,0.010717968,,9.0
Diamet(out),0.010431432,10.0,
Efficie(g),0.0097825245,9.0,10.0
2StepR(in),0.009524723,11.0,
pWeakC(in),0.008745942999999999,12.0,8.0
nBroke(in),0.008457376,,11.0
Hierarc(g),0.008290099,11.0,8.0
nWeakC(in),0.007358712,12.0,
ReachE(out),0.00734698,,10.0
Constrain,0.006761485,,11.0
ca,0.006380218,,9.0
ReachE(in),0.006001512,13.0,
AvgDis(un),0.0052728355,14.0,11.0
Densit(in),0.0049922985,13.0,13.0
Diamet(in),0.004415164,,12.0
ic,0.004281849,14.0,
2StepP(in),0.004016033,,12.0
EgoBet(in),0.000297601,15.0,
nEgoBe(in),3.88e-05,,14.0
nEgoBe(un),0.0,,
EgoBet(un),0.0,,
nEgoBe(out),0.0,,
EgoBet(out),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
Broker(in),,,
Size(out),,,
Ties(out),,,
Pairs(out),,,
AvgDis(out),,,
nWeakC(out),,,
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
Diamet(un),,,
nWeakC(un),,,
pWeakC(un),,,
2StepP(un),,,
ReachE(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Efficienc,,,
Hierarchy,,,
EgoBetwe,,,
Ln(Constr,,,
Density,,,
Degree_y,,,
EffSize(g),,,
wmc,,,
dit,,,
noc,,,
rfc,,,
npm,,,
loc,,,
dam,,,
moa,,,
amc,,,
max(cc),,,
