,mean_shap,wp_r,cp_r
cbo,0.083125431,1.0,
Closeness,0.04334033,,1.0
Betweenness,0.039462601,,2.0
Ln(Constr,0.035186142,3.0,
avg(cc),0.031899881,2.0,6.0
nBroke(un),0.029916307500000003,2.0,8.0
dam,0.02802012,5.0,
2StepR(in),0.026269132,5.0,
Hierarc(g),0.024032923999999997,3.0,8.0
cbm,0.022696928,,5.0
lcom,0.0222857175,6.0,4.0
lcom3,0.0220409995,8.0,3.0
cam,0.0219189285,7.0,4.0
Diamet(un),0.020172273,7.0,
Diamet(out),0.019543424,7.0,
pWeakC(out),0.019261943,,3.0
Eigenvector,0.019127296,,5.0
Densit(in),0.0172244565,4.0,12.0
nWeakC(out),0.016129623,8.0,
2StepP(out),0.015357084,,6.0
2StepR(out),0.010246998,,8.0
2StepR(un),0.009920968,,8.0
pWeakC(in),0.00979968,,8.0
nWeakC(in),0.009483044,10.0,
AvgDis(un),0.0091113435,9.0,10.0
Densit(out),0.008594592,10.0,9.0
ca,0.008488069,,9.0
Efficie(g),0.007923663000000001,10.0,9.0
mfa,0.007568319,,7.0
nBroke(in),0.007323044,,10.0
ReachE(out),0.006187106,,9.0
Indirec(g),0.006034716,,9.0
Indirects,0.005629016,,8.0
nBroke(out),0.004688269,11.0,
Constrain,0.004167004,,10.0
Diamet(in),0.003685381,,11.0
2StepP(in),0.003436601,,11.0
dit,0.002013114,12.0,
nEgoBe(in),5.45e-06,,13.0
EgoBet(in),0.0,,
nEgoBe(un),0.0,,
EgoBet(un),0.0,,
nEgoBe(out),0.0,,
EgoBet(out),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
ReachE(in),,,
Broker(in),,,
Size(out),,,
Ties(out),,,
Pairs(out),,,
AvgDis(out),,,
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
nWeakC(un),,,
pWeakC(un),,,
2StepP(un),,,
ReachE(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Efficienc,,,
Hierarchy,,,
EgoBetwe,,,
Density,,,
Degree_y,,,
EffSize(g),,,
Constra(g),,,
wmc,,,
noc,,,
rfc,,,
npm,,,
loc,,,
moa,,,
ic,,,
amc,,,
max(cc),,,
