,mean_shap,wp_r,cp_r
Closeness,0.073265135,,1.0
Constra(g),0.051901987,1.0,
wmc,0.0438808,2.0,
Betweenness,0.037138549,,2.0
pWeakC(out),0.033766466,,3.0
nBroke(un),0.0299229055,1.0,7.0
lcom3,0.028164208,4.0,3.0
Eigenvector,0.025096749,,5.0
2StepP(out),0.023509157000000003,3.0,6.0
cam,0.021264125,,4.0
Efficie(g),0.020518279,3.0,8.0
lcom,0.018958264,,4.0
Hierarc(g),0.0177978755,4.0,7.0
avg(cc),0.0167727165,6.0,5.0
cbm,0.01631098,,5.0
ca,0.0137972935,4.0,8.0
2StepR(un),0.0127454965,5.0,7.0
dam,0.011979526,7.0,
pWeakC(in),0.0118174805,5.0,7.0
2StepP(in),0.011468448499999999,4.0,10.0
Diamet(in),0.011194576000000001,4.0,10.0
2StepR(out),0.01115295,6.0,7.0
nBroke(out),0.010802307,8.0,
Indirects,0.009916275,6.0,7.0
AvgDis(un),0.0097000715,5.0,9.0
Indirec(g),0.009528503,,8.0
Densit(out),0.0086258425,8.0,8.0
mfa,0.008347607,9.0,6.0
nBroke(in),0.005855791,,9.0
Constrain,0.005794768,,9.0
ReachE(out),0.00540838,,8.0
Densit(in),0.005042743,10.0,11.0
ic,0.002335258,11.0,
nEgoBe(in),4.545e-06,,12.0
EgoBet(un),0.0,,
nEgoBe(out),0.0,,
EgoBet(out),0.0,,
EgoBet(in),0.0,,
nEgoBe(un),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
nWeakC(in),,,
2StepR(in),,,
ReachE(in),,,
Broker(in),,,
Size(out),,,
Ties(out),,,
Pairs(out),,,
AvgDis(out),,,
Diamet(out),,,
nWeakC(out),,,
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
Diamet(un),,,
nWeakC(un),,,
pWeakC(un),,,
2StepP(un),,,
ReachE(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Efficienc,,,
Hierarchy,,,
EgoBetwe,,,
Ln(Constr,,,
Density,,,
Degree_y,,,
EffSize(g),,,
dit,,,
noc,,,
cbo,,,
rfc,,,
npm,,,
loc,,,
moa,,,
amc,,,
max(cc),,,
