,mean_shap,wp_r,cp_r
ic,0.06180491,2.0,
pWeakC(out),0.050304934999999995,1.0,3.0
Closeness,0.040850046,,1.0
lcom,0.033049788999999996,3.0,4.0
lcom3,0.0280791065,5.0,3.0
Betweenness,0.027459361499999998,10.0,2.0
mfa,0.0234864405,4.0,6.0
2StepP(out),0.020843188,7.0,5.0
2StepR(out),0.01933763,6.0,7.0
ReachE(out),0.018295984,,9.0
cam,0.018017029,10.0,4.0
2StepR(un),0.0179501025,6.0,7.0
Densit(out),0.0173236015,11.0,8.0
Hierarc(g),0.016452356,8.0,7.0
pWeakC(in),0.0154310835,6.0,7.0
avg(cc),0.015303217000000001,10.0,5.0
Eigenvector,0.015152761,,4.0
Diamet(un),0.014993898,9.0,
Indirec(g),0.0137106715,9.0,9.0
cbm,0.013081723,,4.0
Efficie(g),0.010441628,,9.0
dam,0.009999873,10.0,
Indirects,0.008215359,,8.0
Constrain,0.008194950999999999,11.0,10.0
nBroke(un),0.00753182,11.0,8.0
Diamet(in),0.007437275,10.0,11.0
2StepP(in),0.006934589499999999,11.0,11.0
Densit(in),0.006817016,11.0,11.0
ca,0.006775113,13.0,9.0
Hierarchy,0.006615167,12.0,
AvgDis(un),0.00635672,12.0,10.0
nBroke(in),0.003652712,15.0,10.0
nBroke(out),0.00337117,14.0,
nEgoBe(in),3.58e-06,,12.0
nEgoBe(un),0.0,,
nEgoBe(out),0.0,,
EgoBet(out),0.0,,
EgoBet(in),0.0,,
EgoBet(un),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
nWeakC(in),,,
2StepR(in),,,
ReachE(in),,,
Broker(in),,,
Size(out),,,
Ties(out),,,
Pairs(out),,,
AvgDis(out),,,
Diamet(out),,,
nWeakC(out),,,
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
nWeakC(un),,,
pWeakC(un),,,
2StepP(un),,,
ReachE(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Efficienc,,,
EgoBetwe,,,
Ln(Constr,,,
Density,,,
Degree_y,,,
EffSize(g),,,
Constra(g),,,
wmc,,,
dit,,,
noc,,,
cbo,,,
rfc,,,
npm,,,
loc,,,
moa,,,
amc,,,
max(cc),,,
