,mean_shap,wp_r,cp_r
rfc,0.050620765,1.0,
Closeness,0.049610164,,1.0
Betweenness,0.0419779315,1.0,2.0
Eigenvector,0.034623357,,5.0
cbo,0.032258591,4.0,
lcom,0.032153907,1.0,4.0
nBroke(un),0.029054340499999998,1.0,9.0
cam,0.026308361000000002,5.0,4.0
lcom3,0.025052026,6.0,3.0
2StepR(un),0.025017067,2.0,8.0
Hierarc(g),0.0247164315,3.0,8.0
2StepP(out),0.0237811275,4.0,6.0
cbm,0.020203096,,5.0
avg(cc),0.017009820000000002,6.0,6.0
pWeakC(out),0.016878905,,3.0
AvgDis(out),0.016059699,6.0,
dit,0.01576314,6.0,
Densit(un),0.015551805,6.0,
dam,0.014496262,6.0,
Constra(g),0.012710944,7.0,
ic,0.011909715,7.0,
Densit(out),0.010577831,7.0,9.0
pWeakC(in),0.010428658,,8.0
mfa,0.010203535,,7.0
2StepR(in),0.009977405,8.0,
Indirects,0.00914944,,9.0
2StepR(out),0.008749407,9.0,8.0
Efficie(g),0.007851736,9.0,10.0
ReachE(out),0.00783396,,10.0
ca,0.006576821,,10.0
AvgDis(un),0.0060218405,9.0,11.0
Indirec(g),0.005714436,,9.0
Constrain,0.005181035,,11.0
Diamet(in),0.003839437,,12.0
nBroke(in),0.0035957515,11.0,11.0
2StepP(in),0.003462403,,12.0
Densit(in),0.0033415859999999997,10.0,12.0
nWeakC(in),0.002721497,11.0,
nEgoBe(in),3.85e-06,,13.0
EgoBet(un),0.0,,
nEgoBe(out),0.0,,
EgoBet(out),0.0,,
EgoBet(in),0.0,,
nEgoBe(un),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
ReachE(in),,,
Broker(in),,,
Size(out),,,
Ties(out),,,
Pairs(out),,,
Diamet(out),,,
nWeakC(out),,,
Broker(out),,,
nBroke(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Diamet(un),,,
nWeakC(un),,,
pWeakC(un),,,
2StepP(un),,,
ReachE(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Efficienc,,,
Hierarchy,,,
EgoBetwe,,,
Ln(Constr,,,
Density,,,
Degree_y,,,
EffSize(g),,,
wmc,,,
noc,,,
npm,,,
loc,,,
moa,,,
amc,,,
max(cc),,,
