,mean_shap,wp_r,cp_r
Closeness,0.05298684,,1.0
2StepR(in),0.047769627,2.0,
dit,0.046169745,2.0,
lcom3,0.043226763,,2.0
Betweenness,0.040280721,,2.0
Efficienc,0.035537582,3.0,
AvgDis(un),0.033333712,1.0,11.0
pWeakC(out),0.029059531,,3.0
Densit(out),0.027058192000000002,2.0,10.0
cam,0.026127058,4.0,4.0
Eigenvector,0.022620544,,5.0
avg(cc),0.022025021,,6.0
cbm,0.0213211295,5.0,5.0
ReachE(un),0.021027464,6.0,
Ties(out),0.019579171,6.0,
2StepR(un),0.018875482,4.0,8.0
2StepP(in),0.018127982499999997,3.0,12.0
2StepP(out),0.017235754,,6.0
nBroke(un),0.016369019999999998,5.0,10.0
lcom,0.014865431,8.0,5.0
Densit(in),0.0146974125,5.0,13.0
Hierarc(g),0.013830356499999998,6.0,8.0
mfa,0.012872595,,7.0
Indirec(g),0.012497597499999999,7.0,10.0
cbo,0.01093896,9.0,
2StepR(out),0.0107426085,9.0,8.0
dam,0.010671351,9.0,
max(cc),0.008353998,10.0,
ReachE(out),0.008325027,,10.0
ca,0.008238633,,10.0
pWeakC(in),0.008163054,,9.0
Efficie(g),0.006705816,,10.0
nBroke(in),0.006247802,,11.0
Indirects,0.005928223,,10.0
Constrain,0.005676253,,11.0
nBroke(out),0.00312056,11.0,
Diamet(in),0.002915325,,12.0
nEgoBe(in),1.75e-06,,14.0
EgoBet(in),0.0,,
nEgoBe(un),0.0,,
EgoBet(out),0.0,,
nEgoBe(out),0.0,,
EgoBet(un),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
nWeakC(in),,,
ReachE(in),,,
Broker(in),,,
Size(out),,,
Pairs(out),,,
AvgDis(out),,,
Diamet(out),,,
nWeakC(out),,,
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
Diamet(un),,,
nWeakC(un),,,
pWeakC(un),,,
2StepP(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Hierarchy,,,
EgoBetwe,,,
Ln(Constr,,,
Density,,,
Degree_y,,,
EffSize(g),,,
Constra(g),,,
wmc,,,
noc,,,
rfc,,,
npm,,,
loc,,,
moa,,,
ic,,,
amc,,,
