,mean_shap,wp_r,cp_r
Closeness,0.101409619,,1.0
cam,0.052406395999999994,1.0,4.0
ReachE(un),0.03573731,3.0,
lcom3,0.033811838,,2.0
Betweenness,0.031170917,,2.0
pWeakC(out),0.02976819,,3.0
Densit(out),0.026741565,2.0,9.0
Eigenvector,0.026738904,,5.0
dam,0.024109421,5.0,
Hierarchy,0.021724347,6.0,
Diamet(out),0.020780296,6.0,
Indirec(g),0.0207510635,3.0,9.0
dit,0.01798893,7.0,
nWeakC(un),0.017307604,7.0,
Efficie(g),0.0166621575,4.0,9.0
avg(cc),0.016279971,,6.0
nBroke(un),0.015767575,5.0,9.0
cbm,0.015243007,8.0,5.0
2StepR(un),0.0152241095,6.0,8.0
2StepP(out),0.013876659999999999,8.0,6.0
lcom,0.013020574,,5.0
ca,0.0130058945,7.0,9.0
pWeakC(in),0.012545506500000001,8.0,8.0
mfa,0.01165389,,7.0
Hierarc(g),0.010375864,,8.0
max(cc),0.01003412,9.0,
Indirects,0.009186902,,9.0
nBroke(in),0.00851395,,10.0
2StepR(out),0.008398125,,8.0
AvgDis(un),0.007560125500000001,9.0,10.0
Diamet(in),0.0072457255,9.0,11.0
2StepP(in),0.0071361005,9.0,12.0
Densit(in),0.006675467,9.0,12.0
Constrain,0.005326835,,10.0
ReachE(out),0.004647824,,9.0
nBroke(out),0.004154413,10.0,
nEgoBe(in),3.135e-06,,13.0
nEgoBe(un),0.0,,
nEgoBe(out),0.0,,
EgoBet(out),0.0,,
EgoBet(in),0.0,,
EgoBet(un),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
nWeakC(in),,,
2StepR(in),,,
ReachE(in),,,
Broker(in),,,
Size(out),,,
Ties(out),,,
Pairs(out),,,
AvgDis(out),,,
nWeakC(out),,,
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
Diamet(un),,,
pWeakC(un),,,
2StepP(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Efficienc,,,
EgoBetwe,,,
Ln(Constr,,,
Density,,,
Degree_y,,,
EffSize(g),,,
Constra(g),,,
wmc,,,
noc,,,
cbo,,,
rfc,,,
npm,,,
loc,,,
moa,,,
ic,,,
amc,,,
