,mean_shap,wp_r,cp_r
Closeness,0.059802845,,1.0
pWeakC(un),0.055689979,1.0,
lcom3,0.043836634,1.0,2.0
pWeakC(out),0.03901973,,3.0
Betweenness,0.033531283,2.0,2.0
Hierarchy,0.030321142,2.0,
Efficienc,0.02958172,2.0,
wmc,0.027669901,2.0,
cbm,0.022197033999999997,6.0,4.0
max(cc),0.020897545,3.0,
2StepP(out),0.020485912,2.0,5.0
Eigenvector,0.018769805,5.0,4.0
avg(cc),0.018693156,,5.0
lcom,0.017319346,5.0,4.0
2StepR(un),0.017221457000000003,3.0,7.0
cam,0.01593689,,4.0
2StepR(out),0.015187842,4.0,6.0
Diamet(in),0.014945024500000001,3.0,10.0
mfa,0.012981388,,6.0
dit,0.012892078,5.0,
nBroke(un),0.0126641625,5.0,7.0
Indirects,0.011809786,,7.0
Densit(out),0.0097966405,5.0,8.0
ca,0.0090279005,6.0,8.0
pWeakC(in),0.00893812,,7.0
Hierarc(g),0.007850133,,7.0
Efficie(g),0.007679953,,8.0
ReachE(out),0.007264412,,8.0
Indirec(g),0.00655552,,8.0
AvgDis(un),0.005503452000000001,7.0,9.0
Constrain,0.005292099,,9.0
Densit(in),0.005253868,6.0,11.0
nBroke(in),0.0044600635,8.0,9.0
2StepP(in),0.0034505,,11.0
EgoBet(in),4.78e-05,9.0,
nEgoBe(in),1.34e-05,,12.0
nEgoBe(un),0.0,,
EgoBet(un),0.0,,
EgoBet(out),0.0,,
nEgoBe(out),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
nWeakC(in),,,
2StepR(in),,,
ReachE(in),,,
Broker(in),,,
Size(out),,,
Ties(out),,,
Pairs(out),,,
AvgDis(out),,,
Diamet(out),,,
nWeakC(out),,,
Broker(out),,,
nBroke(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
Diamet(un),,,
nWeakC(un),,,
2StepP(un),,,
ReachE(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
EgoBetwe,,,
Ln(Constr,,,
Density,,,
Degree_y,,,
EffSize(g),,,
Constra(g),,,
noc,,,
cbo,,,
rfc,,,
npm,,,
loc,,,
dam,,,
moa,,,
ic,,,
amc,,,
