,mean_shap,wp_r,cp_r
dam,0.119360135,1.0,
Closeness,0.082841154,,1.0
nBroke(out),0.044754284,3.0,
lcom3,0.041674021,,2.0
Betweenness,0.038076288,,2.0
2StepP(out),0.035464632999999995,2.0,5.0
Broker(un),0.030324726,4.0,
Eigenvector,0.027030212,,4.0
pWeakC(out),0.025414539,11.0,3.0
avg(cc),0.0232149475,4.0,5.0
2StepR(out),0.021362389000000002,6.0,6.0
Densit(out),0.015207876,7.0,7.0
nBroke(in),0.014869332,5.0,8.0
cam,0.01483032,9.0,4.0
2StepR(un),0.0147890375,8.0,6.0
Hierarc(g),0.0135418915,8.0,6.0
lcom,0.0134036235,9.0,4.0
cbm,0.013265162,,4.0
ca,0.012958746,8.0,7.0
nBroke(un),0.012695181,7.0,7.0
nWeakC(in),0.012349622,9.0,
pWeakC(un),0.012209975,9.0,
Constrain,0.010780479,,8.0
Indirects,0.009930513,,7.0
2StepP(in),0.009218424,8.0,9.0
ReachE(out),0.008996103,,7.0
AvgDis(out),0.008928128,10.0,
pWeakC(in),0.008722726,,7.0
mfa,0.008362986,11.0,6.0
Efficienc,0.008318577,10.0,
Indirec(g),0.007219951,,7.0
Efficie(g),0.006928396,,7.0
Constra(g),0.006787679,11.0,
AvgDis(un),0.0067069395,11.0,8.0
ic,0.006063732,12.0,
Densit(in),0.0060257144999999995,10.0,10.0
ReachE(in),0.005626026,12.0,
Diamet(in),0.004376554,,9.0
nEgoBe(in),8.28e-06,,11.0
EgoBet(out),0.0,,
EgoBet(in),0.0,,
nEgoBe(out),0.0,,
nEgoBe(un),0.0,,
EgoBet(un),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
2StepR(in),,,
Broker(in),,,
Size(out),,,
Ties(out),,,
Pairs(out),,,
Diamet(out),,,
nWeakC(out),,,
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
Diamet(un),,,
nWeakC(un),,,
2StepP(un),,,
ReachE(un),,,
Degree_x,,,
EffSize,,,
Hierarchy,,,
EgoBetwe,,,
Ln(Constr,,,
Density,,,
Degree_y,,,
EffSize(g),,,
wmc,,,
dit,,,
noc,,,
cbo,,,
rfc,,,
npm,,,
loc,,,
moa,,,
amc,,,
max(cc),,,
