,wp_shap,wp_r,cp_r
Betweenness,0.080085791,1.0,2.0
avg(cc),0.047739866,2.0,6.0
Ties(out),0.045599272,2.0,
lcom3,0.042521759,2.0,2.0
Hierarchy,0.0360429,3.0,
nBroke(out),0.031005421,4.0,
nBroke(un),0.022998235,5.0,9.0
Densit(in),0.022439975,5.0,13.0
Densit(out),0.021784237,5.0,10.0
pWeakC(in),0.019815771,6.0,9.0
Efficie(g),0.017873445,6.0,10.0
Indirec(g),0.016809613,6.0,10.0
Hierarc(g),0.014346135,7.0,8.0
pWeakC(out),0.013891216,7.0,3.0
Diamet(in),0.013622816,7.0,12.0
Diamet(out),0.013169305,7.0,
lcom,0.012905009,7.0,4.0
cam,0.012544101,7.0,4.0
dit,0.011623771,8.0,
Indirects,0.011343402,8.0,9.0
AvgDis(un),0.010566068,9.0,11.0
Closeness,0.010106043,9.0,1.0
ca,0.009514391,9.0,10.0
Constra(g),0.007306871,10.0,
ic,0.002775582,11.0,
EgoBet(in),0.0,,
nEgoBe(in),0.0,,14.0
EgoBet(un),0.0,,
nEgoBe(out),0.0,,
EgoBet(out),0.0,,
nEgoBe(un),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
nWeakC(in),,,
2StepR(in),,,
2StepP(in),,,13.0
ReachE(in),,,
Broker(in),,,
nBroke(in),,,11.0
Size(out),,,
Pairs(out),,,
AvgDis(out),,,
nWeakC(out),,,
2StepR(out),,,8.0
2StepP(out),,,6.0
ReachE(out),,,10.0
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
Diamet(un),,,
nWeakC(un),,,
pWeakC(un),,,
2StepR(un),,,8.0
2StepP(un),,,
ReachE(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Efficienc,,,
Constrain,,,11.0
EgoBetwe,,,
Ln(Constr,,,
Density,,,
Degree_y,,,
Eigenvector,,,5.0
EffSize(g),,,
wmc,,,
noc,,,
cbo,,,
rfc,,,
npm,,,
loc,,,
dam,,,
moa,,,
mfa,,,7.0
cbm,,,5.0
amc,,,
max(cc),,,
