,wp_shap,wp_r,cp_r
lcom,0.078772125,1.0,4.0
avg(cc),0.051826555,2.0,6.0
cam,0.04169629,3.0,4.0
2StepP(out),0.038374289,3.0,6.0
lcom3,0.03173471,4.0,3.0
2StepR(un),0.029233488,4.0,8.0
cbo,0.026791379,5.0,
nBroke(un),0.026059123,5.0,8.0
Hierarchy,0.024211102,6.0,
Indirec(g),0.020427916,6.0,9.0
mfa,0.017375197,7.0,7.0
AvgDis(un),0.016131643,7.0,10.0
Indirects,0.015272855,7.0,9.0
Diamet(out),0.015173135,7.0,
Densit(out),0.013637162,8.0,9.0
Efficie(g),0.013427305,8.0,9.0
ReachE(out),0.011419221,9.0,10.0
Densit(in),0.011113524,9.0,13.0
2StepP(in),0.009581751,10.0,12.0
nBroke(out),0.008646656,10.0,
cbm,0.004642944,11.0,5.0
nEgoBe(un),0.0,,
nEgoBe(out),0.0,,
EgoBet(out),0.0,,
EgoBet(in),0.0,,
EgoBet(un),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
Diamet(in),,,12.0
nWeakC(in),,,
pWeakC(in),,,7.0
2StepR(in),,,
ReachE(in),,,
Broker(in),,,
nBroke(in),,,11.0
nEgoBe(in),,,14.0
Size(out),,,
Ties(out),,,
Pairs(out),,,
AvgDis(out),,,
nWeakC(out),,,
pWeakC(out),,,4.0
2StepR(out),,,8.0
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
Diamet(un),,,
nWeakC(un),,,
pWeakC(un),,,
2StepP(un),,,
ReachE(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Efficienc,,,
Constrain,,,10.0
EgoBetwe,,,
Ln(Constr,,,
Density,,,
Degree_y,,,
Closeness,,,1.0
Betweenness,,,2.0
Eigenvector,,,5.0
EffSize(g),,,
Constra(g),,,
Hierarc(g),,,8.0
wmc,,,
dit,,,
noc,,,
rfc,,,
ca,,,8.0
npm,,,
loc,,,
dam,,,
moa,,,
ic,,,
amc,,,
max(cc),,,
