,wp_shap,wp_r,cp_r
2StepP(out),0.086834505,1.0,6.0
nBroke(out),0.067337567,2.0,
lcom,0.055002888,3.0,4.0
2StepR(out),0.049561169,4.0,8.0
avg(cc),0.048600942,4.0,6.0
AvgDis(un),0.039764987,5.0,11.0
Densit(in),0.038831259,5.0,13.0
lcom3,0.03315525,6.0,2.0
Densit(out),0.023522939,7.0,10.0
Diamet(in),0.017932786,8.0,12.0
Hierarc(g),0.013704083,9.0,8.0
Indirects,0.012288775,10.0,9.0
Efficie(g),0.011137345,10.0,10.0
Diamet(un),0.011064302,10.0,
2StepP(in),0.008701534,11.0,12.0
dit,0.008664152,11.0,
nBroke(un),0.008063309,11.0,8.0
Indirec(g),0.007893953,11.0,10.0
ReachE(out),0.007344313,12.0,10.0
ic,0.007146204,12.0,
ca,0.006142213,12.0,9.0
EgoBet(in),0.0,,
nEgoBe(out),0.0,,
EgoBet(un),0.0,,
nEgoBe(un),0.0,,
EgoBet(out),0.0,,
nEgoBe(in),0.0,,14.0
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
nWeakC(in),,,
pWeakC(in),,,7.0
2StepR(in),,,
ReachE(in),,,
Broker(in),,,
nBroke(in),,,12.0
Size(out),,,
Ties(out),,,
Pairs(out),,,
AvgDis(out),,,
Diamet(out),,,
nWeakC(out),,,
pWeakC(out),,,3.0
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
nWeakC(un),,,
pWeakC(un),,,
2StepR(un),,,8.0
2StepP(un),,,
ReachE(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Efficienc,,,
Constrain,,,11.0
Hierarchy,,,
EgoBetwe,,,
Ln(Constr,,,
Density,,,
Degree_y,,,
Closeness,,,1.0
Betweenness,,,2.0
Eigenvector,,,6.0
EffSize(g),,,
Constra(g),,,
wmc,,,
noc,,,
cbo,,,
rfc,,,
npm,,,
loc,,,
dam,,,
moa,,,
mfa,,,7.0
cam,,,3.0
cbm,,,5.0
amc,,,
max(cc),,,
