,wp_shap,wp_r,cp_r
nWeakC(out),0.056812557,1.0,
avg(cc),0.041218374,2.0,6.0
nBroke(out),0.034357292,3.0,
lcom,0.027746305,4.0,4.0
Indirec(g),0.02709606,4.0,10.0
cbm,0.026708301,4.0,5.0
ReachE(out),0.025951768,4.0,11.0
Constrain,0.021425773,5.0,12.0
lcom3,0.019499355,5.0,2.0
2StepR(un),0.019214591,5.0,9.0
Diamet(out),0.016907785,6.0,
2StepP(in),0.01671578,6.0,14.0
mfa,0.015907706,6.0,7.0
Diamet(un),0.015547477,6.0,
2StepR(in),0.013903024,7.0,
Densit(in),0.012990727,8.0,15.0
pWeakC(in),0.012772106,8.0,8.0
Densit(out),0.011717132,9.0,11.0
Efficie(g),0.011406006,9.0,10.0
ReachE(in),0.011204641,9.0,
Hierarc(g),0.009127089,10.0,9.0
nBroke(un),0.009041795,10.0,9.0
nEgoBe(out),0.0,,
EgoBet(un),0.0,,
nEgoBe(un),0.0,,
EgoBet(out),0.0,,
nEgoBe(in),0.0,,16.0
EgoBet(in),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
Diamet(in),,,14.0
nWeakC(in),,,
Broker(in),,,
nBroke(in),,,13.0
Size(out),,,
Ties(out),,,
Pairs(out),,,
AvgDis(out),,,
pWeakC(out),,,3.0
2StepR(out),,,9.0
2StepP(out),,,6.0
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
AvgDis(un),,,12.0
nWeakC(un),,,
pWeakC(un),,,
2StepP(un),,,
ReachE(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Efficienc,,,
Hierarchy,,,
EgoBetwe,,,
Ln(Constr,,,
Indirects,,,10.0
Density,,,
Degree_y,,,
Closeness,,,1.0
Betweenness,,,2.0
Eigenvector,,,5.0
EffSize(g),,,
Constra(g),,,
wmc,,,
dit,,,
noc,,,
cbo,,,
rfc,,,
ca,,,10.0
npm,,,
loc,,,
dam,,,
moa,,,
cam,,,3.0
ic,,,
amc,,,
max(cc),,,
