,wp_shap,wp_r,cp_r
lcom,0.083257078,1.0,4.0
avg(cc),0.064570511,2.0,6.0
pWeakC(out),0.060533424,2.0,3.0
nBroke(out),0.044094125,3.0,
Betweenness,0.031947438,4.0,2.0
cam,0.02624711,5.0,4.0
mfa,0.024633749,5.0,6.0
Densit(out),0.021203457,6.0,8.0
dam,0.02092491,6.0,
nBroke(un),0.018824277,6.0,7.0
Diamet(out),0.014104462,7.0,
AvgDis(un),0.013926148,7.0,9.0
lcom3,0.011530321,8.0,3.0
2StepR(in),0.011502336,8.0,
Indirec(g),0.011175794,8.0,8.0
Constra(g),0.010571015,8.0,
2StepR(un),0.009332594,9.0,7.0
Efficie(g),0.008142569,10.0,8.0
Ties(in),0.008067887,10.0,
ReachE(in),0.007874056,10.0,
Hierarc(g),0.007389427,10.0,7.0
Densit(in),0.005377892,11.0,11.0
nWeakC(in),0.004695416,11.0,
pWeakC(in),0.004442916,11.0,7.0
ic,0.00351631,12.0,
EgoBet(in),0.000232044,13.0,
EgoBet(un),0.0,,
nEgoBe(un),0.0,,
EgoBet(out),0.0,,
nEgoBe(out),0.0,,
Size(in),,,
Pairs(in),,,
AvgDis(in),,,
Diamet(in),,,10.0
2StepP(in),,,10.0
Broker(in),,,
nBroke(in),,,9.0
nEgoBe(in),,,12.0
Size(out),,,
Ties(out),,,
Pairs(out),,,
AvgDis(out),,,
nWeakC(out),,,
2StepR(out),,,7.0
2StepP(out),,,6.0
ReachE(out),,,8.0
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
Diamet(un),,,
nWeakC(un),,,
pWeakC(un),,,
2StepP(un),,,
ReachE(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Efficienc,,,
Constrain,,,9.0
Hierarchy,,,
EgoBetwe,,,
Ln(Constr,,,
Indirects,,,7.0
Density,,,
Degree_y,,,
Closeness,,,1.0
Eigenvector,,,5.0
EffSize(g),,,
wmc,,,
dit,,,
noc,,,
cbo,,,
rfc,,,
ca,,,8.0
npm,,,
loc,,,
moa,,,
cbm,,,5.0
amc,,,
max(cc),,,
