,wp_shap,wp_r,cp_r
cbo,0.083125431,1.0,
nBroke(un),0.05024022,2.0,8.0
avg(cc),0.047921141,2.0,6.0
Hierarc(g),0.039019015,3.0,8.0
Ln(Constr,0.035186142,3.0,
Densit(in),0.032421484,4.0,12.0
dam,0.02802012,5.0,
2StepR(in),0.026269132,5.0,
lcom,0.024058489,6.0,4.0
Diamet(un),0.020172273,7.0,
Diamet(out),0.019543424,7.0,
cam,0.019490345,7.0,4.0
lcom3,0.016225565,8.0,3.0
nWeakC(out),0.016129623,8.0,
AvgDis(un),0.012467054,9.0,10.0
Densit(out),0.010503705,10.0,9.0
nWeakC(in),0.009483044,10.0,
Efficie(g),0.008723724,10.0,9.0
nBroke(out),0.004688269,11.0,
dit,0.002013114,12.0,
EgoBet(in),0.0,,
nEgoBe(un),0.0,,
nEgoBe(in),0.0,,13.0
nEgoBe(out),0.0,,
EgoBet(out),0.0,,
EgoBet(un),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
Diamet(in),,,11.0
pWeakC(in),,,8.0
2StepP(in),,,11.0
ReachE(in),,,
Broker(in),,,
nBroke(in),,,10.0
Size(out),,,
Ties(out),,,
Pairs(out),,,
AvgDis(out),,,
pWeakC(out),,,3.0
2StepR(out),,,8.0
2StepP(out),,,6.0
ReachE(out),,,9.0
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
nWeakC(un),,,
pWeakC(un),,,
2StepR(un),,,8.0
2StepP(un),,,
ReachE(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Efficienc,,,
Constrain,,,10.0
Hierarchy,,,
EgoBetwe,,,
Indirects,,,8.0
Density,,,
Degree_y,,,
Closeness,,,1.0
Betweenness,,,2.0
Eigenvector,,,5.0
EffSize(g),,,
Constra(g),,,
Indirec(g),,,9.0
wmc,,,
noc,,,
rfc,,,
ca,,,9.0
npm,,,
loc,,,
moa,,,
mfa,,,7.0
ic,,,
cbm,,,5.0
amc,,,
max(cc),,,
