,wp_shap,wp_r,cp_r
Constra(g),0.051901987,1.0,
nBroke(un),0.051334585,1.0,7.0
wmc,0.0438808,2.0,
Efficie(g),0.034751273,3.0,8.0
2StepP(out),0.034381356,3.0,6.0
Hierarc(g),0.020916849,4.0,7.0
ca,0.020158375,4.0,8.0
lcom3,0.019789608,4.0,3.0
2StepP(in),0.01971916,4.0,10.0
Diamet(in),0.018482246,4.0,10.0
2StepR(un),0.016740808,5.0,7.0
pWeakC(in),0.016240828,5.0,7.0
AvgDis(un),0.015224219,5.0,9.0
avg(cc),0.014430943,6.0,5.0
Indirects,0.013978074,6.0,7.0
2StepR(out),0.013404156,6.0,7.0
dam,0.011979526,7.0,
nBroke(out),0.010802307,8.0,
Densit(out),0.009973723,8.0,8.0
mfa,0.008210792,9.0,6.0
Densit(in),0.005825204,10.0,11.0
ic,0.002335258,11.0,
nEgoBe(out),0.0,,
EgoBet(un),0.0,,
nEgoBe(un),0.0,,
EgoBet(out),0.0,,
nEgoBe(in),0.0,,12.0
EgoBet(in),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
nWeakC(in),,,
2StepR(in),,,
ReachE(in),,,
Broker(in),,,
nBroke(in),,,9.0
Size(out),,,
Ties(out),,,
Pairs(out),,,
AvgDis(out),,,
Diamet(out),,,
nWeakC(out),,,
pWeakC(out),,,3.0
ReachE(out),,,8.0
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
Diamet(un),,,
nWeakC(un),,,
pWeakC(un),,,
2StepP(un),,,
ReachE(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Efficienc,,,
Constrain,,,9.0
Hierarchy,,,
EgoBetwe,,,
Ln(Constr,,,
Density,,,
Degree_y,,,
Closeness,,,1.0
Betweenness,,,2.0
Eigenvector,,,5.0
EffSize(g),,,
Indirec(g),,,8.0
dit,,,
noc,,,
cbo,,,
rfc,,,
lcom,,,4.0
npm,,,
loc,,,
moa,,,
cam,,,4.0
cbm,,,5.0
amc,,,
max(cc),,,
