,wp_shap,wp_r,cp_r
pWeakC(out),0.080642128,1.0,3.0
ic,0.06180491,2.0,
lcom,0.054407449,3.0,4.0
mfa,0.038537261,4.0,6.0
lcom3,0.031925373,5.0,3.0
2StepR(un),0.02555389,6.0,7.0
2StepR(out),0.025340685,6.0,7.0
pWeakC(in),0.023997752,6.0,7.0
2StepP(out),0.02202541,7.0,5.0
Hierarc(g),0.017780959,8.0,7.0
Diamet(un),0.014993898,9.0,
Indirec(g),0.013764757,9.0,9.0
cam,0.011463647,10.0,4.0
avg(cc),0.010970301,10.0,5.0
Diamet(in),0.010647914,10.0,11.0
Betweenness,0.010563997,10.0,2.0
dam,0.009999873,10.0,
Constrain,0.009603901,11.0,10.0
Densit(out),0.009509517,11.0,8.0
2StepP(in),0.009485991,11.0,11.0
Densit(in),0.008429196,11.0,11.0
nBroke(un),0.008394015,11.0,8.0
Hierarchy,0.006615167,12.0,
AvgDis(un),0.006379501,12.0,10.0
ca,0.005397506,13.0,9.0
nBroke(out),0.00337117,14.0,
nBroke(in),0.001638532,15.0,10.0
nEgoBe(out),0.0,,
nEgoBe(in),0.0,,12.0
nEgoBe(un),0.0,,
EgoBet(in),0.0,,
EgoBet(un),0.0,,
EgoBet(out),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
nWeakC(in),,,
2StepR(in),,,
ReachE(in),,,
Broker(in),,,
Size(out),,,
Ties(out),,,
Pairs(out),,,
AvgDis(out),,,
Diamet(out),,,
nWeakC(out),,,
ReachE(out),,,9.0
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
nWeakC(un),,,
pWeakC(un),,,
2StepP(un),,,
ReachE(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Efficienc,,,
EgoBetwe,,,
Ln(Constr,,,
Indirects,,,8.0
Density,,,
Degree_y,,,
Closeness,,,1.0
Eigenvector,,,4.0
EffSize(g),,,
Efficie(g),,,9.0
Constra(g),,,
wmc,,,
dit,,,
noc,,,
cbo,,,
rfc,,,
npm,,,
loc,,,
moa,,,
cbm,,,4.0
amc,,,
max(cc),,,
