,wp_shap,wp_r,cp_r
nBroke(un),0.059480363,1.0,9.0
avg(cc),0.051753942,2.0,6.0
rfc,0.041589253,3.0,
Hierarc(g),0.039902784,3.0,8.0
Betweenness,0.028406593,4.0,2.0
2StepR(in),0.027344646,4.0,
Densit(out),0.023128882,5.0,9.0
2StepR(un),0.020193068,6.0,8.0
ReachE(un),0.019819118,6.0,
Efficie(g),0.017882696,6.0,10.0
pWeakC(out),0.017862267,6.0,3.0
2StepR(out),0.016498837,7.0,8.0
Ties(out),0.016352788,7.0,
cbo,0.015742777,7.0,
nWeakC(in),0.015173213,8.0,
cam,0.014869614,8.0,4.0
Densit(in),0.014815346,8.0,13.0
lcom3,0.014424132,8.0,2.0
lcom,0.014010433,8.0,5.0
dit,0.011658972,9.0,
Diamet(un),0.010092132,9.0,
ic,0.004404037,10.0,
nBroke(in),0.002051897,11.0,11.0
nEgoBe(out),0.0,,
EgoBet(out),0.0,,
nEgoBe(in),0.0,,14.0
nEgoBe(un),0.0,,
EgoBet(un),0.0,,
EgoBet(in),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
Diamet(in),,,12.0
pWeakC(in),,,8.0
2StepP(in),,,13.0
ReachE(in),,,
Broker(in),,,
Size(out),,,
Pairs(out),,,
AvgDis(out),,,
Diamet(out),,,
nWeakC(out),,,
2StepP(out),,,6.0
ReachE(out),,,10.0
Broker(out),,,
nBroke(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
AvgDis(un),,,11.0
nWeakC(un),,,
pWeakC(un),,,
2StepP(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Efficienc,,,
Constrain,,,11.0
Hierarchy,,,
EgoBetwe,,,
Ln(Constr,,,
Indirects,,,9.0
Density,,,
Degree_y,,,
Closeness,,,1.0
Eigenvector,,,5.0
EffSize(g),,,
Constra(g),,,
Indirec(g),,,9.0
wmc,,,
noc,,,
ca,,,10.0
npm,,,
loc,,,
dam,,,
moa,,,
mfa,,,7.0
cbm,,,5.0
amc,,,
max(cc),,,
