,wp_shap,wp_r,cp_r
Indirec(g),0.05476672,1.0,9.0
Betweenness,0.051240206,1.0,2.0
2StepP(out),0.048735505,1.0,6.0
dam,0.042547902,2.0,
2StepP(in),0.037544611,2.0,12.0
max(cc),0.028662887,3.0,
2StepR(un),0.023561684,4.0,8.0
ReachE(un),0.022425461,4.0,
Diamet(out),0.020243878,5.0,
cam,0.018978046,5.0,4.0
Efficie(g),0.017197961,6.0,9.0
nBroke(un),0.016352129,7.0,9.0
2StepR(in),0.014885062,8.0,
Hierarc(g),0.014520458,8.0,8.0
pWeakC(in),0.01442339,8.0,8.0
Densit(in),0.013727039,8.0,12.0
AvgDis(un),0.013331084,8.0,10.0
Densit(out),0.010716471,9.0,9.0
nBroke(out),0.009456921,10.0,
cbm,0.006443161,11.0,5.0
dit,0.002324164,12.0,
EgoBet(un),0.0,,
nEgoBe(in),0.0,,13.0
nEgoBe(out),0.0,,
EgoBet(in),0.0,,
EgoBet(out),0.0,,
nEgoBe(un),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
Diamet(in),,,11.0
nWeakC(in),,,
ReachE(in),,,
Broker(in),,,
nBroke(in),,,10.0
Size(out),,,
Ties(out),,,
Pairs(out),,,
AvgDis(out),,,
nWeakC(out),,,
pWeakC(out),,,3.0
2StepR(out),,,8.0
ReachE(out),,,9.0
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
Diamet(un),,,
nWeakC(un),,,
pWeakC(un),,,
2StepP(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Efficienc,,,
Constrain,,,10.0
Hierarchy,,,
EgoBetwe,,,
Ln(Constr,,,
Indirects,,,9.0
Density,,,
Degree_y,,,
Closeness,,,1.0
Eigenvector,,,5.0
EffSize(g),,,
Constra(g),,,
wmc,,,
noc,,,
cbo,,,
rfc,,,
lcom,,,5.0
ca,,,9.0
npm,,,
lcom3,,,2.0
loc,,,
moa,,,
mfa,,,7.0
ic,,,
amc,,,
avg(cc),,,6.0
