,wp_shap,wp_r,cp_r
cam,0.083039725,1.0,4.0
Densit(out),0.048175074,2.0,9.0
ReachE(un),0.03573731,3.0,
Indirec(g),0.034284747,3.0,9.0
Efficie(g),0.026948955,4.0,9.0
dam,0.024109421,5.0,
nBroke(un),0.023393639,5.0,9.0
2StepR(un),0.021763737,6.0,8.0
Hierarchy,0.021724347,6.0,
Diamet(out),0.020780296,6.0,
dit,0.01798893,7.0,
ca,0.017458315,7.0,9.0
nWeakC(un),0.017307604,7.0,
cbm,0.016134195,8.0,5.0
pWeakC(in),0.015301703,8.0,8.0
2StepP(out),0.014204089,8.0,6.0
2StepP(in),0.010930119,9.0,12.0
Diamet(in),0.010460178,9.0,11.0
AvgDis(un),0.010454121,9.0,10.0
max(cc),0.01003412,9.0,
Densit(in),0.009798593,9.0,12.0
nBroke(out),0.004154413,10.0,
nEgoBe(un),0.0,,
EgoBet(un),0.0,,
nEgoBe(out),0.0,,
EgoBet(out),0.0,,
nEgoBe(in),0.0,,13.0
EgoBet(in),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
nWeakC(in),,,
2StepR(in),,,
ReachE(in),,,
Broker(in),,,
nBroke(in),,,10.0
Size(out),,,
Ties(out),,,
Pairs(out),,,
AvgDis(out),,,
nWeakC(out),,,
pWeakC(out),,,3.0
2StepR(out),,,8.0
ReachE(out),,,9.0
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
Diamet(un),,,
pWeakC(un),,,
2StepP(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Efficienc,,,
Constrain,,,10.0
EgoBetwe,,,
Ln(Constr,,,
Indirects,,,9.0
Density,,,
Degree_y,,,
Closeness,,,1.0
Betweenness,,,2.0
Eigenvector,,,5.0
EffSize(g),,,
Constra(g),,,
Hierarc(g),,,8.0
wmc,,,
noc,,,
cbo,,,
rfc,,,
lcom,,,5.0
npm,,,
lcom3,,,2.0
loc,,,
moa,,,
mfa,,,7.0
ic,,,
amc,,,
avg(cc),,,6.0
