,wp_shap,wp_r,cp_r
lcom3,0.062699162,1.0,2.0
pWeakC(un),0.055689979,1.0,
Betweenness,0.031807593,2.0,2.0
2StepP(out),0.030805482,2.0,5.0
Hierarchy,0.030321142,2.0,
Efficienc,0.02958172,2.0,
wmc,0.027669901,2.0,
Diamet(in),0.024668689,3.0,10.0
2StepR(un),0.024354652,3.0,7.0
max(cc),0.020897545,3.0,
2StepR(out),0.017284613,4.0,6.0
nBroke(un),0.014862418,5.0,7.0
lcom,0.01426707,5.0,4.0
Eigenvector,0.01394411,5.0,4.0
Densit(out),0.013744957,5.0,8.0
dit,0.012892078,5.0,
cbm,0.00898361,6.0,4.0
ca,0.008543261,6.0,8.0
Densit(in),0.00746983,6.0,11.0
AvgDis(un),0.005883697,7.0,9.0
nBroke(in),0.003486681,8.0,9.0
EgoBet(in),4.78e-05,9.0,
nEgoBe(un),0.0,,
nEgoBe(out),0.0,,
EgoBet(out),0.0,,
EgoBet(un),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
nWeakC(in),,,
pWeakC(in),,,7.0
2StepR(in),,,
2StepP(in),,,11.0
ReachE(in),,,
Broker(in),,,
nEgoBe(in),,,12.0
Size(out),,,
Ties(out),,,
Pairs(out),,,
AvgDis(out),,,
Diamet(out),,,
nWeakC(out),,,
pWeakC(out),,,3.0
ReachE(out),,,8.0
Broker(out),,,
nBroke(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
Diamet(un),,,
nWeakC(un),,,
2StepP(un),,,
ReachE(un),,,
Broker(un),,,
Degree_x,,,
EffSize,,,
Constrain,,,9.0
EgoBetwe,,,
Ln(Constr,,,
Indirects,,,7.0
Density,,,
Degree_y,,,
Closeness,,,1.0
EffSize(g),,,
Efficie(g),,,8.0
Constra(g),,,
Hierarc(g),,,7.0
Indirec(g),,,8.0
noc,,,
cbo,,,
rfc,,,
npm,,,
loc,,,
dam,,,
moa,,,
mfa,,,6.0
cam,,,4.0
ic,,,
amc,,,
avg(cc),,,5.0
