,wp_shap,wp_r,cp_r
dam,0.119360135,1.0,
2StepP(out),0.056409335,2.0,5.0
nBroke(out),0.044754284,3.0,
avg(cc),0.030502426,4.0,5.0
Broker(un),0.030324726,4.0,
nBroke(in),0.025611132,5.0,8.0
2StepR(out),0.022471105,6.0,6.0
Densit(out),0.018283593,7.0,7.0
nBroke(un),0.017194054,7.0,7.0
ca,0.015480466,8.0,7.0
Hierarc(g),0.015213351,8.0,6.0
2StepP(in),0.014364095,8.0,9.0
2StepR(un),0.013966913,8.0,6.0
cam,0.013136926,9.0,4.0
nWeakC(in),0.012349622,9.0,
pWeakC(un),0.012209975,9.0,
lcom,0.011438005,9.0,4.0
Densit(in),0.008990689,10.0,10.0
AvgDis(out),0.008928128,10.0,
Efficienc,0.008318577,10.0,
pWeakC(out),0.007446743,11.0,3.0
mfa,0.007314834,11.0,6.0
Constra(g),0.006787679,11.0,
AvgDis(un),0.006761055,11.0,8.0
ic,0.006063732,12.0,
ReachE(in),0.005626026,12.0,
nEgoBe(out),0.0,,
EgoBet(out),0.0,,
EgoBet(un),0.0,,
nEgoBe(un),0.0,,
EgoBet(in),0.0,,
Size(in),,,
Ties(in),,,
Pairs(in),,,
AvgDis(in),,,
Diamet(in),,,9.0
pWeakC(in),,,7.0
2StepR(in),,,
Broker(in),,,
nEgoBe(in),,,11.0
Size(out),,,
Ties(out),,,
Pairs(out),,,
Diamet(out),,,
nWeakC(out),,,
ReachE(out),,,7.0
Broker(out),,,
Size(un),,,
Ties(un),,,
Pairs(un),,,
Densit(un),,,
Diamet(un),,,
nWeakC(un),,,
2StepP(un),,,
ReachE(un),,,
Degree_x,,,
EffSize,,,
Constrain,,,8.0
Hierarchy,,,
EgoBetwe,,,
Ln(Constr,,,
Indirects,,,7.0
Density,,,
Degree_y,,,
Closeness,,,1.0
Betweenness,,,2.0
Eigenvector,,,4.0
EffSize(g),,,
Efficie(g),,,7.0
Indirec(g),,,7.0
wmc,,,
dit,,,
noc,,,
cbo,,,
rfc,,,
npm,,,
lcom3,,,2.0
loc,,,
moa,,,
cbm,,,4.0
amc,,,
max(cc),,,
