,cs_Mean
pWeakC(out),0.04186835898181533
Betweenness,0.03914695559694157
2StepP(out),0.0357509619186934
avg(cc),0.034490526405990214
lcom,0.034377779478165275
dam,0.030776146726044475
cam,0.030753683325235048
lcom3,0.028906075934003978
cbo,0.02712506921859837
ReachE(un),0.024550926172643938
Indirec(g),0.022580531774675866
2StepR(un),0.02203225116558419
mfa,0.02172206526184414
Densit(out),0.021035331839278366
ca,0.02088113095548504
2StepR(out),0.020847800369352496
nBroke(un),0.020426468249760646
AvgDis(un),0.019241196008815138
dit,0.019122934295120853
Hierarc(g),0.018899527807129925
Hierarchy,0.018771037010720373
2StepR(in),0.018529019043620077
Constra(g),0.017649078509338063
pWeakC(in),0.01741834158886932
nWeakC(in),0.01732729190629131
Diamet(out),0.01730924661998586
Efficie(g),0.015473855049396287
ReachE(in),0.0154612282889087
2StepP(in),0.01523632527608738
cbm,0.015155197580137622
nBroke(out),0.014733440693019387
Indirects,0.014638924298907027
Efficienc,0.0144725184741911
Diamet(in),0.012952412254491815
ic,0.012881175279214178
Densit(in),0.012604040867012086
Diamet(un),0.011559642944086061
nBroke(in),0.00674022479983986
nEgoBe(in),2.333960595025212e-05
EgoBet(in),3.125067270384479e-06
nEgoBe(un),0.0
EgoBet(un),0.0
EgoBet(out),0.0
nEgoBe(out),0.0
