Size(in),Ties(in),Pairs(in),Densit(in),AvgDis(in),Diamet(in),nWeakC(in),pWeakC(in),2StepR(in),2StepP(in),ReachE(in),Broker(in),nBroke(in),EgoBet(in),nEgoBe(in),Size(out),Ties(out),Pairs(out),Densit(out),AvgDis(out),Diamet(out),nWeakC(out),pWeakC(out),2StepR(out),2StepP(out),ReachE(out),Broker(out),nBroke(out),EgoBet(out),nEgoBe(out),Size(un),Ties(un),Pairs(un),Densit(un),AvgDis(un),Diamet(un),nWeakC(un),pWeakC(un),2StepR(un),2StepP(un),ReachE(un),Broker(un),nBroke(un),EgoBet(un),nEgoBe(un),Degree_x,EffSize,Efficienc,Constrain,Hierarchy,EgoBetwe,Ln(Constr,Indirects,Density,Degree_y,Closeness,Betweenness,Eigenvector,EffSize(g),Efficie(g),Constra(g),Hierarc(g),Indirec(g),wmc,dit,noc,cbo,rfc,lcom,ca,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max(cc),avg(cc),pro,method
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03603786720682205,0.01012128248791154,,,0.039199784646507155,0.070057270887667,,0.09784062737959776,,,0.024952525792505755,,0.04486341131796797,0.019445283010304945,,0.053159011982604115,,0.057932259251081496,ant_1.4,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028675797022800337,0.006871151748496655,,,0.09489671140621364,0.0249615935400843,,0.0908266333092045,,,0.020621869882858662,,0.07658734322809191,0.01700267296941261,,0.08077327362300145,,0.0408396929186849,ant_1.5,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005014927701169552,,,0.07542032069005498,0.02544346300499296,,0.03570466490600986,,,0.011385459304212966,0.04388719671721812,0.11904728270263093,0.011327133351562033,,0.11382910862787937,,0.057251942990185316,ant_1.6,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021580063849443058,0.005872309042737968,,,0.10677261079101048,0.02053381130259548,,0.05708215191568895,,,0.014522196045509268,,0.0911432518859034,0.012157993137737494,,0.09880226159757578,,0.05906379648049585,ant_1.7,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014577639769971644,0.01018511913509122,,,0.10593816782019397,0.02413242088881092,,0.11310653663387046,,,0.022932425629694147,,,0.028705049052398394,,0.10222275783100791,,0.08621392909874205,ivy_2.0,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0235519529591628,0.003233060495261633,,,0.0789014377376334,0.0334856737739816,,0.03880908224105538,,,0.1005494262758454,,,0.04218088089026519,,0.0952667773826068,,0.05536334975751713,jEdit_3.2.1,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034727462747662426,0.007552539791267476,,,0.10574246285500201,0.042271041215186475,,0.06739305426035423,,,0.03724784371893129,,0.04384151775975963,0.017229352399996747,,0.04954576348288416,,0.08203819605219358,jEdit_4.0,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020609458527737733,0.0033367948614773106,,,0.0838029858482034,0.029662891076935215,,0.04689529647726714,,0.08291581703501044,0.021159893327453744,,0.05026351555308606,0.013170332037096317,,0.043938788396407295,,0.08970258619768003,jEdit_4.1,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014748210429522863,0.006348658249988433,,,0.07284096039554695,0.08402900077560997,0.04009488142836923,0.0448459801260862,,0.05539433717937015,0.015581439500715862,,0.08163075355759042,0.006219755845356454,,0.04100586222983358,,0.044618487333031434,jEdit_4.2,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00782546029367575,,,0.061355995156194824,0.046720830205135476,0.12206139039203708,0.0406633983027006,,0.10661479809069531,0.011764507613470055,0.03932116185533339,0.04055462716453051,,,0.03945433590815041,,,log4j_1.0.4,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011306976671546235,,,0.03541044219298957,0.027331970692831827,0.04308920594497502,0.03982168353795134,,0.034934809846293415,0.011274991503977053,0.021525257316156746,0.07744604101968634,,0.017871450584752178,0.058222970732448455,,0.054896310987245095,lucene_2.0,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014821568498017258,0.010660179641218495,,,0.05327222950466395,0.04973612750190789,0.05715615404688302,0.058205179075648254,,0.02764019419771242,0.016523383481667292,,0.044929724106837945,0.01384613290112353,,0.04461896802345418,,0.030935934840868068,lucene_2.2,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015013888174004958,,,0.042523927269397306,0.04761289970563384,0.0696853117537722,0.031228552927736446,,0.05466337328034031,0.01687415217633259,0.024436313921164982,0.04317470921184227,0.04064689081944644,,0.05005519171064571,,0.028534099947229264,lucene_2.4,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003526837433563027,,,0.10621133936306877,0.034194255704628494,,0.08026201130880511,,,0.01786688200360559,,0.050689889911991935,0.03455982049561066,,0.08076837735069059,,0.03312437307970474,poi_1.5,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10130007599809997,0.0016507445191094536,,,0.057002191955735436,0.0184731808721795,,0.043224612164664666,,0.07077363847551099,0.007647155416559063,,0.024344132504560585,0.09680336662958441,,0.05085023058194734,,0.07859194551408837,poi_2.0,all_code
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004983201132154633,,,0.08532839415463941,0.023770629528829506,,0.05913780764748899,,0.04170848123782041,0.010576863360141254,0.046910211395370306,0.027961593220742587,,0.12789832953626198,0.04236945216209454,,0.03408324546754335,poi_2.5,all_code
